"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",100.8,NA,4.32113952205764e-06,NA,1,NA,NA,NA,2.20970456274234e-05,NA,NA,NA,2.46763879389991e-07,0.00576428378050387,NA,NA,NA,NA,4.08722031846795e-05,NA,0,0
"2",102.5,NA,5.20457215659261e-06,5.87420714410048e-05,1,NA,NA,NA,2.07828906973395e-05,NA,NA,NA,2.84485068286322e-07,0.00549415127213034,5.52077475021603e-08,NA,NA,NA,3.85945684092012e-05,NA,0,0
"3",104.3,NA,6.64361204831886e-06,5.8741314490414e-05,1,NA,NA,NA,1.98547132661841e-05,NA,NA,NA,2.00483580191033e-07,0.00532358459848781,NA,NA,NA,NA,3.47092780361862e-05,NA,1.01743575950004e-08,0
"4",106.1,NA,5.25901195258572e-06,NA,1,NA,NA,NA,2.28849360500109e-05,NA,NA,NA,2.94586824421473e-07,0.00526176888660307,2.61016363038731e-08,NA,NA,NA,3.03809681538794e-05,NA,0,0
"5",107.8,NA,5.27068249903597e-06,NA,1,NA,NA,NA,2.10413597115609e-05,NA,NA,NA,3.6613876492217e-07,0.00514089407456228,NA,NA,NA,NA,2.72829091208832e-05,NA,0,0
"6",109.6,NA,5.65498098611455e-06,4.67380266776803e-05,1,NA,NA,NA,2.24075460146588e-05,NA,NA,NA,3.29791419016771e-07,0.0052214440886598,NA,NA,NA,NA,2.38110307171712e-05,NA,0,0
"7",111.4,NA,4.87857190651969e-06,NA,1,NA,NA,NA,2.11427677134797e-05,NA,NA,NA,2.89611425151532e-07,0.00490617312729844,NA,NA,NA,NA,1.87548596043624e-05,NA,0,0
"8",113.1,NA,5.09335307171692e-06,NA,1,NA,NA,NA,2.27421272736382e-05,NA,NA,NA,3.27401607911732e-07,0.00475124759515273,4.1628452523406e-08,NA,NA,NA,1.76733899451547e-05,NA,8.5262408088354e-09,0
"9",114.9,NA,5.26643449880122e-06,NA,1,NA,NA,NA,2.35221186247307e-05,NA,NA,NA,1.647072870123e-07,0.00461490721667186,NA,NA,NA,NA,1.67262241355169e-05,NA,0,0
"10",116.7,NA,6.02620363487071e-06,NA,1,NA,NA,NA,2.12647770794994e-05,NA,NA,NA,3.69954986466067e-07,0.00439623367185916,NA,NA,NA,NA,1.56795091516726e-05,NA,0,0
"11",118.4,NA,5.3967895786865e-06,NA,1,NA,NA,NA,2.25222570085394e-05,NA,NA,NA,1.57099677008998e-07,0.0042877497195243,NA,NA,NA,NA,1.58901513347826e-05,NA,0,0
