"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"57",100.8,3028.2,2306,6782,4491305.7,0,1463.6,2065.4,65216,3228.6,1579,581.2,1283.2,2399718.4,87.5,60,1002.2,150,165861.4,33.3,0,0
"58",102.5,3509.5,2105.6,10173,4281849.5,0,1042.4,2386.2,67956,3369,2581.8,320.4,1162.8,2409152,87.5,140,1122.8,100,152297.3,133.7,0,0
"59",104.3,3128.4,1864.8,6782,4447792.1,0,1553.8,1804.4,65216,3409,2356,927.3,1202.8,2408499.2,50,66.7,882.2,130,149557.4,50,40,0
"60",106.1,2546.6,2025.2,5425.6,4583812.6,0,1278,1824.6,67956,2225.6,2155.3,701.5,1122.6,2376614.4,162.5,100,1263,150,146871.7,0,0,0
"61",107.8,2947.8,1644,5425.6,4534819.4,0,1453.5,2230.5,65216,3649.8,2657,320.4,1152.8,2340300.8,50,66.7,1343.2,140,141391.8,66.7,0,0
"62",109.6,2727,1624,6782,4513089.4,3391,1202.8,2386.2,67956,3670,1930,626,1203,2202598.4,75,100,1182.8,220,119635,50,0,0
"63",111.4,2446.4,1764.4,6782,4265491.2,0,1343.4,2607,65216,3509.2,2205.5,601.3,982.4,2085510.4,87.5,150,761.6,100,103331,20,0,0
"64",113.1,2767.4,1724.4,6782,4262751.6,0,1223,1804.4,65216,2827.4,2531.8,721.4,1022.2,2080531.2,37.5,50,962.2,150,89685.6,100,0,0
"65",114.9,2325.8,1523.8,8138.4,4406937.6,0,1127.5,2025.2,62530.3,3409,2381.3,460.8,1002.2,2103104,37.5,60,962,160,73381.6,0,0,0
"66",116.7,3028,2105.6,6782,4548410.6,2712.8,1283,1804.6,65216,3328.8,2857.5,501,1343.4,2036838.4,87.5,100,1122.6,200,65243.1,0,0,0
"67",118.4,3409,1844.8,5425.6,4420582.8,3391,1403.3,1904.8,62503.2,3248.8,2481.5,626.5,1082.6,1958745.6,75,225.3,1162.8,150,62530.3,66.7,0,0
"68",120.2,2987.8,1744.4,6782,4368876.7,4521.4,1428.8,2005.2,62503.2,3830.2,2030.3,826.8,1082.6,1888876.8,33.3,0,1062.2,120,59790.4,100,0,0
"69",122,3148.4,1363,10851.3,4355258.1,0,901.8,1603.8,65216,3248.6,2581.8,651.3,1403.4,1806886.4,60,66.7,862,210,54364.8,167,0,0
"70",123.7,2787.6,1744.4,5425.6,4458643.7,2712.8,1604,1965.2,67928.8,3027.8,2155.3,561.2,1122.6,1696448,62.5,180,982.2,210,57077.6,40,0,0
"71",125.5,2566.6,1523.8,5425.6,4235623,0,1603.8,2005.2,65216,3268.8,2381,520.8,1283,1631398.4,175,160.2,1062.6,120,57077.6,33.3,0,0
"72",127.3,2646.8,1363.2,10173,4276342.8,3391,1403.3,1784.4,62503.2,3309,3183.5,420.8,1183,1588230.4,125,66.7,721.6,180,57077.6,100,25,0
"73",129,2847.6,1604,8138.4,4439653.5,0,1343.2,1724.2,62530.3,2907.4,2406.3,601.3,1403.5,1633196.8,0,300.3,821.8,110,54364.8,25,0,0
"74",130.8,2928,1564,6782,4241021.8,0,1263,2105.6,62503.2,3569.4,2280.8,601.3,1182.6,1520704,25,33.3,1243,80,62503.2,0,0,0
"75",132.6,2807.4,1764.4,2712.8,4292673.9,0,1127.8,1905,62530.3,3328.8,2481.8,561,1002.2,1452870.4,87.5,66.7,982.4,137.5,62530.3,33.3,0,0
"76",134.3,2687,1383.4,6782,4099548.5,0,1002.4,2586.6,59790.4,2967.8,1854.5,621.2,982.2,1402931.2,50,75,1162.6,150,62530.3,0,0,0
"77",136.1,2707,1443.6,6782,4194822.2,0,1579,2145.6,65243.1,3188.2,2957.8,400.5,962.2,1377081.6,62.5,200,1002.4,150,59790.4,0,0,0
"78",137.9,2486.4,1143,6782,4039677.1,4521.4,1503.5,1744.4,65216,3409,2531.5,701.6,1022.6,1405945.6,87.5,66.7,1042.4,230,57077.6,0,0,0
"79",139.6,2867.8,1604,5425.6,4173065.5,3391,1463.4,1864.8,65216,2987.8,2456.5,521.2,1002.2,1454617.6,25,0,1102.8,40,57104.7,50,0,0
"80",141.4,3033,1463.6,6782,4298207.5,0,1027.5,2165.4,62530.3,3750,2556.5,420.6,1363.4,1534080,87.5,125,641.4,50,57077.6,20,0,0
"81",143.2,2867.6,1584,8138.4,4341694.2,4521.4,1428.5,2145.6,62503.2,3629.6,2105.3,460.8,922.2,1561254.4,112.5,50,962.2,187.5,51651.9,150.3,0,0
"82",144.9,2827.2,1884.8,6782,4012440.4,0,1528.8,2105.2,62503.2,3910.4,2055.3,676.5,1463.6,1436505.6,0,60,1323.2,180,51651.9,0,0,0
"83",146.7,2927.6,1503.6,8138.4,3873788.2,0,1142.8,2205.6,59790.4,3068,2531.8,425.8,721.4,1430144,50,50,962.2,187.5,54364.8,0,0,0
"84",148.5,2647,2165.6,5425.6,4080450.8,0,1629,1885,65216,3449.2,2682.3,761.6,1022.2,1499238.4,12.5,66.7,982.2,137.5,54364.8,50,0,0
"85",150.2,2727,2265.8,5425.6,4137609.4,0,1082.6,1945,59790.4,3268.6,2306,580.8,1423.4,1525651.2,87.5,40,801.6,212.5,59817.5,120,0,0
"86",152,2145.6,2125.4,6782,4110454.1,4521.4,1553.8,1884.8,62503.2,3028,2381.3,977.3,1283.2,1550528,50,100,1002.2,210,59817.5,120,0,0
"87",153.8,2466.4,2185.8,3391,4164845.9,0,1263,2526.6,62503.2,3228.4,2356,551,1082.6,1593190.4,87.5,240.2,842,130,65243.1,40,0,0
"88",155.6,2987.6,2226,5425.6,4270889.8,0,1203,2125.6,65216,2988,2030.3,676.3,1303.4,1701625.6,62.5,50,1122.8,262.5,65216,40,0,0
"89",157.3,2526.8,2706.8,2712.8,4472342.8,0,1278.3,2145.6,62503.2,3549.2,1779.3,841.8,1583.8,1701843.2,87.5,200,1042.6,237.5,62530.3,0,0,0
"90",159.1,2687,2025.2,5425.6,4398771.8,0,1228,1724.4,62503.2,3188.4,1804.5,541,1242.8,1709632,50,140,1022.2,250,65243.1,125,0,0
"91",160.9,2907.6,2285.8,10173,4260011.7,0,1203,2566.6,65216,3268.6,1955,852,1252.8,1748000,62.5,100,761.6,170,59817.5,66.7,0,0
"92",162.6,2265.8,2506.4,13564.1,4390606.3,0,1102.5,1824.8,65216,3349,2657,601.3,1062.6,1813158.4,112.5,60,1363.2,190,65243.1,20,0,0
"93",164.4,2807.2,2386.2,5425.6,4542984.8,0,1428.5,2105.4,62530.3,3108.2,2406.3,601.3,1504,1819865.6,62.5,60,942,90,65243.1,75,0,0
"94",166.2,3168.4,2185.8,6782,4352518.5,0,1729.3,1985,62503.2,3067.8,2230.8,927.3,1503.8,1676211.2,0,50,721.4,250,57077.6,40,0,0
"95",167.9,2847.6,2085.4,6782,4121305.2,4521.4,1478.5,1864.6,59790.4,3489.2,2556.8,852,902,1561772.8,50,66.7,1022.4,160,51624.8,33.3,0,0
"96",169.7,3334,1463.8,6782,4064173.4,4521.4,1579,2185.6,62503.2,3108,2281.3,676.5,641.2,1542368,62.5,140,922,112.5,46144.9,25,0,0
"97",171.5,3048.2,1624,8138.4,4012494.4,0,1453.8,2025.4,62503.2,3128.4,2205.5,375.8,881.8,1495187.2,62.5,20,1002.2,140,38006.5,60,0,25
"98",173.2,2782.3,1604,6782,4023399.8,3391,1343.2,1563.8,57077.6,3088.2,1954.8,581,781.8,1545792,25,75,1483.6,100,38006.5,75,0,0
"99",175,2787.4,1604,6782,4056035,0,1729.3,2265.8,62503.2,3790.4,2406.3,500.8,440.8,1575596.8,37.5,33.3,861.8,237.5,37979.4,40,0,0
"100",176.8,2466.4,1303.2,8138.4,4083271.6,0,1182.6,1704.2,62503.2,3248.6,1754.5,801.8,521,1628262.4,75,60,982.4,162.5,43432.1,80,0,0
"101",178.5,3268.6,1283,3391,4072366,0,1328.5,2466.4,59790.4,3188.2,2105.5,581.2,641.2,1675616,50,50,861.8,110,37979.4,50,0,0
"102",180.3,2265.8,1303,6782,3958021.4,0,1253,2285.8,59790.4,3007.8,2331.3,360.6,741.4,1633644.8,37.5,150.3,1142.8,200,32553.8,25,0,0
"103",182.1,2366,1303,3391,3947224.2,0,1804.5,1879.8,62530.3,3749.8,2531.8,576,661.2,1624665.6,150,200,1082.6,110,29840.9,33.3,0,0
"104",183.8,2767,1202.8,3391,3917301.9,0,1528.8,2205.8,62503.2,3288.8,2281,500.8,641.4,1651366.4,25,100,922,190,24415.3,60,0,0
"105",185.6,2867.4,1142.6,6782,4012548.4,0,1328.3,2446.4,62503.2,3128.4,2406,751.5,440.8,1687430.4,75,40,1222.8,160,21702.5,0,20,0
"106",187.4,2225.8,1303,5425.6,3906423.1,2712.8,1363.6,2105.4,59790.4,3689.6,2506.5,521,726.5,1668556.8,50,40,1503.8,120,16276.9,75,0,0
"107",189.1,2687,1082.4,10173,4178410.3,0,1463.8,2105.4,59790.4,3068,2431.3,540.8,841.8,1662041.6,50,167,1403.2,190,18989.7,0,0,0
"108",190.9,2787.4,1423.6,2712.8,4094095.9,0,1463.6,2556.8,62530.3,3168.4,2280.8,601.3,877,1641036.8,71.4,133.7,1353,90,16276.9,0,0,0
"109",192.7,2386.4,841.8,10173,4015207.3,3391,1027.5,2225.6,59790.4,3489,1829.5,300.3,701.5,1681056,100,125,1428.5,150,13564.1,0,0,0
"110",194.4,3083.3,1142.8,6782,4118592.6,5425.6,1278,1824.6,59790.4,3549.6,2657,460.8,360.6,1642208,100,50,1283.2,140,13564.1,40,0,0
"111",196.2,2687,1062.4,6782,4197481.2,0,1704.2,1864.6,59790.4,2867.6,2005,541,726.3,1659353.6,16.7,66.7,1182.8,110,13564.1,0,0,0
"112",198,2787.4,1483.6,3391,4181177,0,982.2,1704.4,62503.2,3048,2180.5,741.4,721.6,1671340.8,42.9,0,1062.4,225,13564.1,50,0,0
"113",199.7,2827.4,1062.6,3391,4241021.8,0,1553.8,2145.4,54364.8,2586.6,2381,425.8,927,1758636.8,100,175.3,821.8,160,18989.7,33.3,0,0
"114",201.5,2767.4,1182.6,8138.4,4276342.8,0,1463.6,2025.2,59790.4,3489.2,2732,701.5,676.5,1772492.8,62.5,50,1102.6,175,20346.1,75,0,0
