"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",100.8,NA,6.24590376805136e-06,NA,1,NA,NA,1.44164112831332e-06,1.97492174275759e-05,NA,NA,NA,4.21838917749536e-07,0.00560134552159241,NA,NA,NA,NA,3.83675169380533e-05,NA,0,0
"2",102.5,NA,4.48631085221696e-06,NA,1,NA,NA,2.33102094816063e-06,2.021207125212e-05,NA,NA,NA,4.12299066874738e-07,0.00560293553246627,2.0423803957359e-08,NA,NA,NA,3.92738891232387e-05,NA,0,0
"3",104.3,NA,6.04366827589076e-06,4.0606709986413e-05,1,NA,NA,2.08554321246845e-06,1.94481711034841e-05,NA,NA,NA,4.9280046298814e-07,0.0054656689213619,2.48580651609793e-08,NA,NA,NA,3.73155843872945e-05,NA,0,0
"4",106.1,NA,4.87812372722313e-06,3.99540998433493e-05,1,NA,NA,1.460458137697e-06,1.91356101072739e-05,NA,NA,NA,3.30687282513227e-07,0.00523765552072163,2.44585591318915e-08,NA,NA,NA,3.1717548120769e-05,NA,0,0
"5",107.8,NA,6.51437982995317e-06,5.75467559523907e-05,1,NA,NA,2.26615529494841e-06,2.0396016193905e-05,NA,NA,NA,3.04575000226628e-07,0.00508435873143832,NA,NA,NA,1.03575562054814e-07,2.80004536076768e-05,NA,0,0
"6",109.6,NA,4.52987884838176e-06,NA,1,NA,NA,NA,1.95307777343482e-05,NA,NA,NA,4.75344068149776e-07,0.00503845007462295,2.93051548909276e-08,NA,NA,NA,2.43796554441458e-05,NA,0,0
"7",111.4,NA,5.69643277914659e-06,NA,1,NA,NA,2.22573878830862e-06,1.93546459812561e-05,NA,NA,NA,5.16477628537135e-07,0.00502633802801587,NA,NA,NA,1.02703605527898e-07,2.05620348849532e-05,NA,0,0
"8",113.1,NA,6.00973351872885e-06,4.03872181356357e-05,1,NA,NA,2.50249562762792e-06,2.02121918014391e-05,NA,NA,NA,3.86334875052981e-07,0.00493055484178302,NA,NA,NA,NA,1.76789858809132e-05,NA,0,0
"9",114.9,NA,3.93799747760211e-06,5.31867833570677e-05,1,6.0000842784307e-05,NA,2.25929706611678e-06,2.11913876586853e-05,NA,NA,NA,3.10298126097277e-07,0.00458941953256493,NA,NA,NA,NA,1.77857816698217e-05,NA,0,0
"10",116.7,NA,5.66212920199586e-06,4.30517266156133e-05,1,NA,NA,NA,2.06191869718335e-05,NA,NA,NA,3.89251165202039e-07,0.00466242953005596,4.46886117103873e-08,NA,NA,NA,1.73076092721255e-05,NA,0,8.00937057392215e-09
"11",118.4,NA,3.95397640725327e-06,NA,1,NA,NA,2.07629880004101e-06,2.10996781703326e-05,NA,NA,NA,2.8797602232548e-07,0.00421971425302356,3.47864200329771e-08,NA,NA,1.3338839584408e-07,1.62076331129126e-05,NA,0,0
"12",120.2,NA,4.51989006742293e-06,NA,1,NA,NA,NA,1.82606988441632e-05,NA,NA,NA,3.46692440521763e-07,0.00411347226502458,2.1174603336135e-08,NA,NA,NA,1.53450730993961e-05,NA,0,0
"13",122,NA,5.25229257534813e-06,NA,1,NA,NA,3.5764465720719e-06,2.06060241563881e-05,NA,NA,NA,4.80749810609521e-07,0.00400925543745285,3.09185193648051e-08,NA,NA,NA,1.73041980186769e-05,NA,0,0
"14",123.7,NA,4.56382644388731e-06,NA,1,NA,NA,2.65819570202991e-06,2.05535381111738e-05,NA,NA,NA,4.91497717918311e-07,0.00392014358660037,NA,NA,NA,1.49128624274203e-07,1.42020982585383e-05,NA,2.00524688237005e-08,0
"15",125.5,NA,5.55501641042368e-06,4.3809843499674e-05,1,NA,NA,NA,1.91153297110796e-05,NA,NA,NA,3.2045459868813e-07,0.00385627862294758,2.2154756700641e-08,NA,NA,1.22246866880162e-07,1.60553827466752e-05,NA,0,0
"16",127.3,NA,4.6555816176999e-06,NA,1,4.10506020036455e-05,NA,2.48962538824352e-06,2.06590401904314e-05,NA,NA,NA,3.63999249513248e-07,0.00371636155565875,NA,NA,NA,NA,1.73487189774164e-05,NA,0,0
"17",129,NA,5.04704131517263e-06,NA,1,NA,NA,NA,1.90161920861899e-05,NA,NA,NA,3.11804818482528e-07,0.00359906069571007,NA,NA,NA,1.43312488476481e-07,1.83032447348038e-05,NA,0,0
"18",130.8,NA,5.24894152458367e-06,NA,1,NA,NA,2.93754679864857e-06,2.15181800327588e-05,NA,NA,NA,4.18191351703167e-07,0.00356376633443648,2.63211938929262e-08,NA,NA,NA,1.72855249961091e-05,NA,0,0
"19",132.6,NA,4.26811317537958e-06,NA,1,NA,NA,NA,2.07520144927858e-05,NA,NA,NA,2.17558810904435e-07,0.00357673291275023,2.19116247800355e-08,NA,NA,NA,1.8196753908903e-05,NA,0,0
