"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",100.8,NA,2018.325,NA,4633117.8,NA,NA,345.925,63717.15,NA,NA,NA,1333.425,2438916.025,NA,NA,NA,NA,148427.05,NA,0,0
"2",102.5,NA,1416.525,NA,4527020,NA,NA,546.525,63717.15,NA,NA,NA,1273.425,2383741.625,59.375,NA,NA,NA,148454.15,NA,0,0
"3",104.3,NA,1897.925,6584.175,4502523.2,NA,NA,486.325,60977.25,NA,NA,NA,1513.825,2312759.225,71.875,NA,NA,NA,140288.55,NA,0,0
"4",106.1,NA,1556.925,6584.175,4576067.4,NA,NA,346.125,60977.25,NA,NA,NA,1032.425,2252477.625,71.875,NA,NA,NA,121190.35,NA,0,0
"5",107.8,NA,2038.325,9297.075,4486192.3,NA,NA,526.525,63717.15,NA,NA,NA,932.225,2143607.225,NA,NA,NA,102.0875,104886.35,NA,0,0
"6",109.6,NA,1416.525,NA,4483479.5,NA,NA,NA,60977.25,NA,NA,NA,1454.025,2122967.225,84.375,NA,NA,NA,91268.05,NA,0,0
"7",111.4,NA,1797.525,NA,4524280.2,NA,NA,521.525,60977.25,NA,NA,NA,1594.225,2137136.825,NA,NA,NA,102.0875,77676.85,NA,0,0
"8",113.1,NA,1897.525,6584.175,4526993,NA,NA,586.725,63717.15,NA,NA,NA,1193.225,2097668.025,NA,NA,NA,NA,66825.65,NA,0,0
"9",114.9,NA,1235.925,8618.775,4499810.4,6358.125,NA,526.525,66402.85,NA,NA,NA,952.625,1940810.425,NA,NA,NA,NA,66825.65,NA,0,0
"10",116.7,NA,1677.125,6584.175,4246813.5,NA,NA,NA,60977.25,NA,NA,NA,1127.825,1860829.625,121.875,NA,NA,NA,61372.85,NA,0,20
"11",118.4,NA,1195.925,NA,4336580.4,NA,NA,466.325,63717.15,NA,NA,NA,852.025,1719735.225,96.875,NA,NA,127.0875,58687.15,NA,0,0
"12",120.2,NA,1376.525,NA,4366503,NA,NA,NA,55524.45,NA,NA,NA,1032.825,1688004.025,59.375,NA,NA,NA,55947.25,NA,0,0
"13",122,NA,1556.725,NA,4249526.3,NA,NA,787.125,60977.25,NA,NA,NA,1393.825,1601162.425,84.375,NA,NA,NA,61399.95,NA,0,0
"14",123.7,NA,1356.125,NA,4260378,NA,NA,586.525,60977.25,NA,NA,NA,1428.625,1569572.025,NA,NA,NA,139.5875,50521.55,NA,50,0
"15",125.5,NA,1616.925,6584.175,4173323.6,NA,NA,NA,55551.65,NA,NA,NA,912.425,1512452.025,59.375,NA,NA,112.0875,55947.25,NA,0,0
"16",127.3,NA,1376.325,NA,4238621,4097.525,NA,546.525,60977.25,NA,NA,NA,1052.625,1480381.625,NA,NA,NA,NA,61399.95,NA,0,0
"17",129,NA,1476.725,NA,4195080.5,NA,NA,NA,55551.65,NA,NA,NA,892.425,1418928.825,NA,NA,NA,132.0875,64112.75,NA,0,0
"18",130.8,NA,1556.725,NA,4252239.3,NA,NA,646.925,63717.15,NA,NA,NA,1213.225,1424157.625,71.875,NA,NA,NA,61372.85,NA,0,0
"19",132.6,NA,1256.125,NA,4219630.9,NA,NA,NA,60977.25,NA,NA,NA,626.325,1418378.425,59.375,NA,NA,NA,64112.75,NA,0,0
"20",134.3,NA,1135.525,8618.775,4143401.5,NA,NA,NA,63690.05,NA,NA,NA,1153.025,1422077.625,71.875,NA,423.625,NA,58660.05,NA,0,0
"21",136.1,NA,1596.925,6584.175,4320249.3,NA,NA,767.325,66430.05,NA,NA,NA,1032.625,1441636.025,59.375,NA,NA,NA,58687.15,NA,0,0
"22",137.9,NA,1015.325,NA,4260404.7,4097.525,NA,NA,60977.25,NA,NA,NA,771.825,1502039.225,109.375,NA,NA,NA,50494.45,NA,0,0
"23",139.6,NA,1356.325,6584.175,4181570.2,NA,NA,406.325,60977.25,NA,NA,NA,1072.625,1499754.425,NA,NA,NA,NA,53234.45,NA,0,0
"24",141.4,NA,1536.725,NA,4257719,NA,NA,NA,63690.05,NA,NA,NA,952.425,1491895.225,59.375,NA,NA,NA,53207.25,NA,0,0
"25",143.2,NA,1657.325,NA,4129837,NA,NA,NA,63690.05,NA,NA,NA,1333.625,1494647.225,NA,NA,NA,NA,55947.25,NA,0,0
"26",144.9,NA,1536.725,NA,4249526.5,4097.525,NA,NA,61004.35,NA,NA,NA,1278.625,1513693.625,71.875,NA,NA,NA,58687.15,NA,0,0
"27",146.7,NA,2198.725,NA,4173377.7,NA,NA,406.125,55551.65,NA,NA,NA,1173.025,1580279.225,NA,NA,NA,NA,55974.35,NA,0,0
"28",148.5,NA,1777.525,NA,4154306.8,NA,NA,526.325,63690.05,NA,NA,NA,1233.225,1580426.425,96.875,NA,NA,139.5875,64112.75,NA,0,0
