"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",97.269,NA,6.74039912311168e-06,NA,1,NA,NA,NA,2.01058479573631e-05,NA,NA,NA,3.74081740113606e-07,0.00564660109202086,NA,NA,NA,NA,4.37730326893363e-05,NA,0,0
"2",99.0126666666667,NA,6.39868432412478e-06,5.40420734151357e-05,1,NA,NA,NA,2.20105568708167e-05,NA,NA,NA,3.5113953004432e-07,0.00594661447988585,NA,NA,NA,NA,4.2118454651627e-05,NA,0,0
"3",100.789666666667,NA,5.3165386044167e-06,NA,1,NA,NA,1.44164112831332e-06,2.07163447338274e-05,NA,NA,NA,3.39941107785363e-07,0.00569618855671005,NA,NA,NA,NA,3.96821306146418e-05,NA,5.12783646869778e-09,0
"4",102.523,NA,5.13860760062159e-06,5.87420714410048e-05,1,NA,NA,2.33102094816063e-06,2.05179836831964e-05,NA,NA,NA,3.37299303311698e-07,0.00552530498369984,4.09269412257582e-08,NA,NA,NA,3.85967060235118e-05,NA,0,0
"5",104.289666666667,NA,5.75585453967401e-06,4.96740122384135e-05,1,NA,NA,2.08554321246845e-06,1.97385306822228e-05,NA,NA,NA,3.40526007675851e-07,0.00541401237581495,2.48580651609793e-08,NA,NA,NA,3.63026118182408e-05,NA,3.39145253166679e-09,0
"6",106.089666666667,NA,4.89196265799696e-06,3.99540998433493e-05,1,NA,NA,1.460458137697e-06,2.09673566666766e-05,NA,NA,NA,3.23824117703586e-07,0.0052178207179936,2.52800977178823e-08,NA,NA,NA,3.11264074631459e-05,NA,0,0
"7",107.823,NA,5.68669174792828e-06,5.75467559523907e-05,1,NA,NA,2.9650140953479e-06,2.08696292279783e-05,NA,NA,NA,3.20379452839676e-07,0.00512879582914049,NA,NA,NA,1.03575562054814e-07,2.79329394015158e-05,NA,0,0
"8",109.589666666667,NA,5.10952280027122e-06,4.67380266776803e-05,1,NA,NA,NA,2.10411527549681e-05,NA,NA,NA,3.69816063887939e-07,0.00513730197912931,2.93051548909276e-08,NA,NA,NA,2.42954063455157e-05,NA,0,0
"9",111.389666666667,NA,4.96561398413012e-06,NA,1,NA,NA,2.22573878830862e-06,2.0037484193186e-05,NA,NA,NA,3.64591437154646e-07,0.00499011041452877,NA,NA,NA,1.02703605527898e-07,1.95892107599733e-05,NA,0,0
"10",113.123,NA,5.70878554388951e-06,4.03872181356357e-05,1,NA,NA,2.50249562762792e-06,2.09358196554656e-05,NA,NA,NA,3.67512472223311e-07,0.00480251890659155,4.1628452523406e-08,NA,NA,NA,1.73507099633207e-05,NA,2.8420802696118e-09,0
"11",114.889666666667,NA,4.85174367211376e-06,5.31867833570677e-05,1,6.0000842784307e-05,NA,2.25929706611678e-06,2.14197052224678e-05,NA,NA,NA,2.62830062695866e-07,0.00462623315383817,NA,NA,NA,NA,1.69864707566301e-05,NA,0,0
"12",116.689666666667,NA,5.5908871202017e-06,4.30517266156133e-05,1,NA,NA,NA,2.05537219029795e-05,NA,NA,NA,3.58801783057403e-07,0.00453935159552847,4.46886117103873e-08,NA,NA,NA,1.62924840964892e-05,NA,0,2.66979019130738e-09
"13",118.423,NA,4.39799077833248e-06,5.74598958840853e-05,1,NA,NA,2.07629880004101e-06,2.14521901700746e-05,NA,NA,NA,2.90451870968378e-07,0.0042935263873781,3.47864200329771e-08,NA,NA,1.3338839584408e-07,1.55147226109596e-05,NA,0,0
"14",120.189666666667,NA,4.86209175025827e-06,5.97474013746355e-05,1,NA,NA,NA,2.04903697845443e-05,NA,NA,4.85031733514401e-06,3.7220480995223e-07,0.00405278114366893,2.1174603336135e-08,NA,NA,4.87284938070468e-07,1.5519726215547e-05,1.66982027207478e-07,0,0
"15",121.989666666667,NA,5.17124246634442e-06,6.10338392205939e-05,1,NA,NA,3.5764465720719e-06,2.11735749357122e-05,2.66412022124711e-06,NA,4.44266393756683e-06,4.22519359666238e-07,0.00399848368360525,4.32746901766872e-08,NA,NA,3.1754533002158e-07,1.60150113112148e-05,7.67689924676004e-08,0,0
"16",123.723,NA,4.32831190935558e-06,5.03317500588332e-05,1,NA,NA,2.65686660566382e-06,2.10258126288611e-05,NA,NA,3.21301745043654e-06,4.02427258887815e-07,0.00390477803669329,3.64790940611319e-08,NA,NA,1.49128624274203e-07,1.51403316691672e-05,NA,1.00176985408894e-08,0
"17",125.489666666667,NA,4.56186289823454e-06,5.14473858405327e-05,1,NA,NA,NA,2.01410636004009e-05,NA,NA,2.23716071164083e-06,3.96802565902698e-07,0.00385795412845159,2.37327125627767e-08,8.14762866427497e-07,NA,1.22246866880162e-07,1.54729521348144e-05,NA,0,0
"18",127.289666666667,NA,4.62332605822841e-06,NA,1,4.10506020036455e-05,NA,2.48962538824352e-06,2.09294298266745e-05,NA,NA,NA,3.55722756761655e-07,0.00372009588295964,NA,NA,NA,NA,1.7382286871245e-05,NA,0,0
"19",129.023,NA,4.60905685745602e-06,NA,1,NA,NA,NA,2.08501915711453e-05,NA,NA,2.48901225974843e-06,3.027939187431e-07,0.0035885886684732,NA,NA,NA,1.95969463270086e-07,1.78259479432696e-05,7.05498818571267e-08,0,0
"20",130.789666666667,NA,4.52695893886046e-06,5.97081582272995e-05,1,NA,NA,3.32685466555642e-06,2.12407128395376e-05,NA,NA,NA,3.0803272169318e-07,0.00354241034519931,2.63211938929262e-08,NA,NA,NA,1.7128442705281e-05,NA,0,0
"21",132.589666666667,NA,4.34514014963105e-06,NA,1,NA,NA,NA,2.13237533491951e-05,NA,NA,NA,2.65104849379304e-07,0.00354380194884488,2.19116247800355e-08,NA,NA,NA,1.71804017280456e-05,1.15377815650984e-07,0,0
"22",134.323,NA,4.05351123294652e-06,5.77618270623014e-05,1,NA,NA,NA,2.24898427983027e-05,NA,NA,NA,3.46154389619458e-07,0.00364984895536525,2.96722090269014e-08,NA,2.05732611251829e-06,NA,1.68066627088823e-05,NA,0,0
"23",136.089666666667,NA,4.889792018052e-06,4.23199313496784e-05,1,NA,NA,3.42940752303425e-06,2.27597721180974e-05,NA,NA,NA,3.10756517371486e-07,0.00365982549405703,2.14013040847072e-08,NA,NA,NA,1.56877844750791e-05,NA,0,0
"24",137.889666666667,NA,3.82099930455799e-06,NA,1,4.08407078593481e-05,NA,NA,2.13094628341433e-05,NA,NA,NA,2.79546564369068e-07,0.003738592122677,3.9977224089663e-08,NA,NA,NA,1.45044960229705e-05,NA,3.63399236276525e-09,0
"25",139.623,NA,4.50144644874579e-06,4.37234447934166e-05,1,NA,NA,1.87621545298471e-06,2.11283572349502e-05,NA,NA,2.47860008876267e-06,2.95172268659528e-07,0.00380004812692586,3.18276175202011e-08,NA,NA,NA,1.46963663653577e-05,8.56495418734189e-08,0,0
"26",141.389666666667,NA,5.50148189953114e-06,6.13240902602996e-05,1,NA,NA,NA,2.15713448591986e-05,NA,NA,3.00740296610417e-06,4.06419838795782e-07,0.00374710216861554,2.17156108684118e-08,NA,NA,NA,1.5547841316036e-05,NA,0,0
"27",143.189666666667,NA,4.79964032757436e-06,NA,1,NA,NA,NA,2.1879712670832e-05,NA,NA,2.13320998310764e-06,2.977838739788e-07,0.00385461418437711,3.2532820314826e-08,NA,NA,NA,1.62771654450781e-05,9.08996741364214e-08,0,0
"28",144.923,NA,5.44180355995365e-06,NA,1,4.09452544219441e-05,NA,NA,2.20632231440714e-05,NA,NA,NA,3.65446122361232e-07,0.0038672964022758,2.63379967378532e-08,NA,NA,NA,1.58873777543802e-05,NA,0,0
"29",146.689666666667,NA,6.80457234530306e-06,NA,1,NA,NA,1.87897321797664e-06,2.11497529236774e-05,NA,3.99610712018583e-06,8.14541395390652e-06,3.76345407056539e-07,0.00398199470372766,NA,NA,NA,7.96798003466764e-07,1.70098809207053e-05,4.3190926421463e-07,0,0
"30",148.489666666667,NA,6.03280020772552e-06,6.22926759468937e-05,1,NA,NA,2.44626774667253e-06,2.20204312309755e-05,2.41034692557454e-06,2.70237402086715e-06,6.88447825403505e-06,4.09080974201389e-07,0.00402409349350706,3.18527485800354e-08,NA,NA,2.90251134142597e-07,1.77577053645069e-05,2.33830725930102e-07,0,0
"31",150.223,NA,7.17112161749797e-06,4.78903681690943e-05,1,3.94551666244923e-05,NA,3.28145940257298e-06,2.15181761102332e-05,NA,NA,4.95650566861931e-06,3.68532726397312e-07,0.00406616515703256,3.63996591781165e-08,NA,NA,1.97088428749231e-07,1.70647653862476e-05,1.13809209832908e-07,0,0
"32",152.023,NA,6.27242940484563e-06,4.7115718406916e-05,1,NA,NA,NA,2.12981349908578e-05,NA,1.23414692689062e-06,2.99640142538482e-06,3.59328951363385e-07,0.00414171863375355,3.03363695004515e-08,NA,NA,2.71186550279225e-07,1.7186970806493e-05,2.46965284392642e-07,0,0
"33",153.789666666667,NA,7.0994045765581e-06,4.43441065464161e-05,1,NA,NA,2.57113099011659e-06,2.06061740849961e-05,NA,NA,NA,4.08223871322037e-07,0.00412657991220646,4.14031383725289e-08,NA,NA,1.31327165390861e-07,1.70661284368247e-05,8.8808323819979e-08,0,0
"34",155.589666666667,NA,7.21084643624351e-06,NA,1,NA,NA,NA,1.97494578878976e-05,NA,NA,2.35360931672689e-06,3.70047351859201e-07,0.00413901548300004,4.73617862012923e-08,NA,NA,1.52399934531327e-07,1.71227451730402e-05,6.97096113613085e-08,0,0
"35",157.323,NA,6.83449783414927e-06,5.22071355511564e-05,1,NA,NA,3.33156900811959e-06,2.0872244801734e-05,NA,NA,3.43472408955179e-06,3.43690758058632e-07,0.00431785297874978,2.69666856738089e-08,NA,NA,1.16896075938324e-07,1.65307287175002e-05,7.14407671595258e-08,0,0
"36",159.089666666667,NA,7.40858694081568e-06,5.99578606773915e-05,1,4.8131830670986e-05,NA,NA,2.05319752006186e-05,NA,1.69670375329333e-06,1.47762520748567e-05,3.34733875088684e-07,0.00437380151929739,3.12204858116123e-08,NA,NA,3.13396928893735e-07,1.70381152474311e-05,1.55383673515068e-07,3.44720619342896e-09,4.57043028470555e-09
"37",160.889666666667,NA,7.36785246914796e-06,6.2941777679467e-05,1,NA,NA,1.92142093487114e-06,1.97563095350024e-05,NA,NA,7.44306402203174e-06,3.66235956498782e-07,0.00426802955855405,3.49450763582723e-08,NA,NA,2.82651205228767e-07,1.63835544909559e-05,7.36632558472803e-08,0,0
"38",162.623,NA,6.40711795699849e-06,4.59694482784444e-05,1,NA,NA,NA,2.04831354636054e-05,NA,NA,5.00702041698766e-06,4.42470319690735e-07,0.0040413065185026,NA,NA,NA,1.35151975356335e-07,1.49638981555152e-05,6.94679192262517e-08,0,3.42684203748877e-09
"39",164.389666666667,NA,5.84859438436099e-06,5.77985422498597e-05,1,NA,NA,NA,2.03699288883468e-05,NA,NA,3.93668051521346e-06,2.54309114764671e-07,0.00397795926970157,NA,NA,NA,NA,1.39832340630525e-05,NA,0,4.55904106937337e-09
"40",166.189666666667,NA,4.84587148179544e-06,4.44472072884038e-05,1,NA,NA,NA,2.10738713180993e-05,NA,NA,NA,2.00634208631514e-07,0.00391284007447395,4.818532398215e-08,NA,NA,9.91290053833455e-08,1.31440775973209e-05,NA,0,0
"41",167.923,NA,5.3419775756658e-06,NA,1,6.56360264315412e-05,NA,2.0940923638316e-06,2.13440016146393e-05,NA,NA,NA,1.96889956104414e-07,0.00395391546925922,4.62114846965656e-08,NA,NA,1.24025365044295e-07,1.17020442527288e-05,NA,3.77004009688071e-09,3.53657965792778e-09
"42",169.689666666667,NA,3.89226828386122e-06,NA,1,NA,NA,3.99063135721475e-06,2.0948074620342e-05,NA,NA,3.16969339747225e-06,2.01646611542993e-07,0.00414129646618715,3.28307735811105e-08,NA,NA,1.16106648967177e-07,1.06785636318528e-05,1.24501293312013e-07,0,0
"43",171.489666666667,NA,4.62687780246585e-06,NA,1,NA,NA,NA,2.14751996027871e-05,NA,NA,NA,1.4416730799608e-07,0.00420583118361043,4.31667994199558e-08,NA,NA,NA,1.10701159865916e-05,NA,0,0
"44",173.223,NA,3.84061137663694e-06,NA,1,NA,NA,4.40422546373193e-06,2.13802204878143e-05,NA,NA,NA,1.25796280309995e-07,0.00432408208353696,NA,NA,NA,NA,1.24428725796547e-05,7.37800332691033e-08,3.99446851101974e-09,0
"45",174.989666666667,NA,3.85319519812266e-06,NA,1,NA,NA,NA,2.10363674095907e-05,NA,NA,NA,2.24774932012248e-07,0.0043113673408759,6.05986710069486e-08,NA,NA,NA,1.04310032276579e-05,NA,0,0
"46",176.789666666667,NA,3.54908300142531e-06,NA,1,NA,NA,NA,2.15898953448269e-05,NA,NA,NA,1.68548463629885e-07,0.00432871126106065,2.99667306476627e-08,NA,NA,1.01270885074122e-07,9.43273306531261e-06,NA,0,0
"47",178.523,NA,3.67375407918156e-06,5.75346822076325e-05,1,NA,NA,NA,2.24981501112398e-05,NA,NA,NA,1.83591309986411e-07,0.00436966564516802,4.22082223533298e-08,NA,NA,NA,8.7050693874872e-06,NA,0,0
"48",180.289666666667,NA,3.35427285188602e-06,NA,1,NA,NA,3.70829881165636e-06,2.12173520353703e-05,NA,NA,NA,2.00321496192584e-07,0.00438413593008659,NA,NA,NA,NA,7.79583762605153e-06,8.40265226774318e-08,0,0
"49",182.089666666667,NA,3.47206696910652e-06,5.16419913902249e-05,1,NA,NA,1.97014267834252e-06,2.14068463386954e-05,2.48076704993708e-06,NA,1.021368772587e-05,1.92454899896491e-07,0.00438396912011196,NA,NA,NA,NA,6.59233189726773e-06,2.25685349808373e-07,2.84237894151901e-09,0
"50",183.823,NA,3.65092990013557e-06,NA,1,NA,NA,2.63139208453154e-06,2.13199849951164e-05,NA,NA,5.73616631189028e-06,2.30892799218196e-07,0.00446197582380171,5.57352300596569e-07,NA,NA,3.3716125768339e-07,4.8871883368794e-06,NA,0,0
"51",185.589666666667,NA,3.83453898042815e-06,5.538153994498e-05,1,NA,NA,NA,2.01743388214395e-05,NA,NA,3.33816509481279e-06,1.87932343880887e-07,0.00433231324636797,2.25365243331837e-08,NA,NA,2.4670237215863e-07,5.04865088053172e-06,NA,3.05794106145621e-09,0
"52",187.389666666667,NA,3.98880614129756e-06,6.28019492695435e-05,1,NA,NA,3.58040192653919e-06,2.14255732307908e-05,NA,NA,2.8900443341922e-06,2.31368937991583e-07,0.00422357988910241,2.83475065874688e-08,NA,NA,NA,4.76999314355436e-06,NA,0,0
"53",189.123,NA,3.158227030456e-06,5.3265424665511e-05,1,NA,NA,2.31391905166538e-06,2.02662549021113e-05,NA,NA,2.57831333757664e-06,2.21259684768805e-07,0.0049233818569772,3.95455120314436e-08,NA,NA,1.3152370980862e-07,3.66323006520844e-06,8.90646477415637e-08,0,3.35444417899944e-09
"54",190.889666666667,NA,3.75748802993853e-06,4.8388338240907e-05,1,NA,NA,2.27814711232011e-06,2.02462671092309e-05,NA,NA,NA,1.04631223016721e-07,0.00421336367736018,2.88218699290083e-08,NA,NA,NA,3.32601378090045e-06,NA,0,0
"55",192.689666666667,NA,3.17154751733532e-06,NA,1,NA,NA,1.68748873516666e-06,1.99969761591209e-05,NA,NA,NA,1.62510415127645e-07,0.00428183257443825,3.47309600024463e-08,NA,NA,NA,3.87651149606516e-06,NA,0,0
"56",194.423,NA,3.01604580758473e-06,NA,1,NA,NA,NA,2.035068534468e-05,NA,NA,NA,1.53769950082661e-07,0.0047019178885144,NA,NA,NA,1.20673319746817e-07,3.81731451552167e-06,NA,0,0
"57",196.189666666667,NA,2.97516916904902e-06,NA,1,NA,NA,NA,1.92950103950778e-05,NA,NA,NA,2.32961988628586e-07,0.00433792908887256,2.45031852201295e-08,NA,NA,NA,5.10893214138181e-06,1.18997180804272e-07,0,0
"58",197.989666666667,NA,3.13868493200197e-06,NA,1,NA,NA,1.91503141142288e-06,1.96497520649467e-05,NA,NA,NA,1.91794394293919e-07,0.00424698663816783,2.6221654703361e-08,NA,NA,1.21335086636887e-07,5.66799767812935e-06,NA,0,0
"59",199.7115,NA,2.82699050841237e-06,4.39532708698128e-05,1,NA,NA,NA,2.01101191162597e-05,NA,NA,NA,2.11938739535371e-07,0.00427858996615727,5.20688772853181e-07,NA,NA,NA,6.29711969023507e-06,NA,0,0
"60",201.5,NA,2.71577500069153e-06,8.77053624264794e-05,1,NA,NA,NA,1.95504893215496e-05,NA,NA,NA,1.68454444832281e-07,0.00433511783916896,4.67547677778265e-08,NA,NA,1.0045600088533e-07,6.29786642968169e-06,NA,0,0
