"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,0.0663808407650037,NA,0.0401626201905766,1,0.0100162312386375,0.252109757762637,0.0217951255628762,NA,0.0634330722338424,0.0657077018202312,0.0241617210387906,0.238041752434819,0.0806285203747317,0.258184919715952,NA,0.0169964224972629,0.100485348747198,0.380003885287182,NA,0.267179559082532,0.292881348217175
"2",30.1,0.0675946183862632,0.0377048296481942,NA,1,0.0143092022897477,0.265198177344212,NA,0.42209855337176,0.0645507658440337,0.0658175991363434,0.0251765580967254,0.248850365617912,0.0867406581105492,0.276809797240291,0.0261494373972776,NA,0.0986387099053873,0.382104863655577,0.224968087050324,0.286274893873141,0.291135990057598
"3",31.8,0.0716511241584456,0.0414699111426435,0.0323928440503376,1,0.013577286999283,0.275361487197799,0.0228851740010551,0.405692524991575,0.0663134628892715,NA,0.0224918974716116,NA,NA,0.275910528749752,0.0230779616936689,0.0175168689677739,0.0989815737080935,0.366011307334539,0.213719402592403,0.278895758482254,0.297825367513656
"4",33.6,0.0699024340717701,0.0299638189513299,0.0354528617976382,1,0.0148372574368251,0.277395794287919,0.0221427895332235,0.393266425468752,NA,0.0627638049013624,NA,0.249567558475417,0.0860098470258741,0.279804284770376,0.0276183031594286,0.0177345441764093,0.101963520389522,0.379891123643764,0.225147631019946,0.289409435417647,0.29659127300295
"5",35.4,0.0685368166009903,0.0262511728048347,0.0300282908419263,1,0.0103209620434824,0.26817237414375,0.0218211781443756,0.364797102166905,0.0641935115796501,0.0634618619032387,0.0206931552766218,0.243045092171762,0.0827100287093332,0.274099532713687,0.0258020802869491,0.0163595042600562,0.0949294455039551,0.362907576237083,0.198067333208466,0.264796735798179,0.269763894996608
"6",37.1,0.068158274415093,0.026276424943936,0.0289928019246552,1,0.0151587743275864,0.257824139817144,0.0214250033038599,0.346310181282091,0.0602965168372566,0.0637928815188189,0.0206103099794239,0.225122839118328,0.0756500836966579,0.258276273010262,0.0219657344710167,0.0151275715192557,0.0861757660343825,0.338609538204962,0.194572462008012,0.248753933475898,0.249599904615415
"7",38.9,0.0676469747461417,0.0233441598888985,0.029515682992315,1,0.00968282306926726,0.256445075226124,0.0242795635368624,0.357144338976982,0.0592168209827465,0.059564913133655,0.0199062498582385,0.228346378828349,0.0775250696074293,0.268961767476059,0.0234749304645765,0.015125159201875,0.0896775564033414,0.348856468720338,0.190189621015031,0.270086978474123,0.263441721058865
"8",40.7,0.0665061412588472,0.0225739328660652,0.0335053706294422,1,0.0115380403052255,0.258433559267014,0.0226565028951661,0.406149905468368,0.0606901975170121,0.0592066796475421,0.0196399219121134,0.235360374576888,0.0767938861136498,0.271010565438607,0.0246198804091385,0.0139815517291351,0.0893600991337254,0.357921958238425,0.192323731561286,0.259054334878531,0.260788999219868
"9",42.4,0.0696958141220005,0.0231746164904881,0.0289127092763117,1,0.0100040748036727,0.265145201015923,0.0228854524707544,0.354902704684697,0.0607833605837149,0.0587471590822893,0.0195226141267618,0.235309767602153,0.0807362781128027,0.269310621640458,0.025160195533227,0.0157467105237932,0.0931637624618523,0.344774453565026,0.197639047882327,0.266147980824916,0.258486926468716
"10",44.2,0.0682638312278884,0.0193782385447419,0.0349351397636282,1,0.00870894567756739,0.262990318948071,0.0221769543198545,0.359114178616261,0.0584246937044412,0.0586539092336028,0.0201846810493547,0.228705098069883,0.0784981484074601,0.269948934405258,0.0244585619895839,0.0156583351839589,0.0910558947062747,0.345347609623949,0.190374980059073,0.254348134825144,0.243818999169544
"11",46,0.071481364678061,0.020629072478317,0.028347731477932,1,0.0110244275593542,0.27396186274683,0.0226651919735854,0.365205298348851,0.0625182921301268,0.0571421745537664,0.0210346526131802,0.242304113205143,0.0790774044728075,0.282577979636171,0.0241648559498926,0.0154010057539312,0.0978073315786836,0.34875025682648,0.193866856165282,0.267519465226724,0.263040375919904
"12",47.7,0.0716541197081699,0.0231673746809585,0.0260648863648456,1,0.0115839925126884,0.271146354497942,0.0221348491217277,0.385716684480356,0.0624831632308361,0.0596498263092683,0.0217567702872997,0.245224544677896,0.0795230934097973,0.290130832149782,0.0246276433906015,0.0152104916945464,0.0935048436588498,0.34797339910326,0.19786007537222,0.280966953698849,0.267952382779195
"13",49.5,0.0721051160208099,0.0211983790240423,0.03057950522103,1,0.00808822443784873,0.279422250027628,0.0236451868028313,0.384391560935028,0.0623541324197726,0.0608432426969808,0.0225105309890699,0.243733404240605,0.084367094868756,0.297202631287913,0.025330686151764,0.0153564745885012,0.0966794018411887,0.349459910028118,0.201046937634201,0.279685959744661,0.279874096814334
"14",51.3,0.0717804782100609,0.0211382875700516,0.0302924526025883,1,0.0117814771311863,0.269591804141276,0.0234234841371923,0.378909844078581,0.061051028519896,0.0603509064361824,0.0212493652065603,0.245750358245815,0.0854312637588425,0.299343433668746,0.0265219839410968,0.0144519163035691,0.0943218013438979,0.351845322347461,0.199728357257262,0.292302724542415,0.278366977302558
"15",53,0.0719314678069868,0.0223367605805991,0.0300013335406078,1,0.012599257964684,0.271816568243507,0.0243723253305865,0.367869639889029,0.064368295470972,0.0604861511237991,0.0216540631138852,0.247976559022205,0.0844322588379029,0.303395771214384,0.0270349564552657,0.0144510012531119,0.0971119653281424,0.363506766789418,0.197171218932927,0.28952745436018,0.283227969089014
"16",54.8,0.0677375545841827,0.0203801436127713,0.0279053558218562,1,0.0117166424646244,0.256184349954866,0.0220733547733067,0.350887851488074,0.0552679614080479,0.0575157523083269,0.0193915006771882,0.226341223248474,0.0748897764205217,0.271495930576547,0.0237024478002306,0.0144840336868732,0.0894307546372026,0.334673924070505,0.182338198671985,0.259831576741455,0.249295598387781
"17",56.6,0.0694951891021362,0.0191671336396169,0.0302315291023075,1,0.0127019082268432,0.263464038348313,0.022101155331995,0.359160905443324,0.0588081075195104,0.0608912813184516,0.0198884285616251,0.235835991833237,0.0797481525051923,0.28475315826663,0.025452707913281,0.0141719358432479,0.092638702835493,0.339730155542101,0.190579997515764,0.273191727656034,0.261045854689676
"18",58.3,0.0728394663854921,0.0192572424842567,0.0297444859957404,1,0.0103642574140359,0.270520536496783,0.0231941929236501,0.372933822369069,0.0602882410515015,0.0593377150232709,0.0202504195204583,0.243498071983885,0.0814699436649534,0.292077892861105,0.0259914680282223,0.0139400696067366,0.0971467506538876,0.366341680077976,0.198191195326258,0.280719417126494,0.279992871367174
