"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,67680.8571428571,41149.6142857143,43406.5714285714,833102.014285714,9285.2,272056.071428571,21362.6428571429,303294.785714286,60125.3142857143,65393.2,28759.7,243228.771428571,83337.6571428571,270927.928571429,25355.4428571429,18612.0285714286,100482.814285714,395248.057142857,205016.914285714,251576.042857143,267786.4
"2",30.1,81198.4571428572,50596.2142857143,42346.8714285714,1023648.01428571,12478.6,309341.671428571,23568.8428571429,360500.285714286,73803.1142857143,73897.4,37724.7,287672.771428571,97396.4571428571,320487.928571429,32354.6428571429,24147.6285714286,118330.814285714,479803.457142857,264083.314285714,294615.242857143,321936.8
"3",31.8,95799.2571428572,37539.4142857143,48400.8714285714,1162278.11428571,18580.9,371136.071428571,30387.8428571429,383262.985714286,85195.5142857143,79873.8,35478.3,323612.771428571,112879.357142857,372741.428571429,34340.4428571429,24889.6285714286,129300.014285714,488827.857142857,266968.914285714,330718.442857143,332585.6
"4",33.6,102096.457142857,42693.6142857143,47013.2714285714,1294654.71428571,17726.1,400377.671428571,32914.6428571429,401588.685714286,86137.9142857143,84086.2,36401.3,329810.371428571,110213.257142857,366432.928571429,34521.0428571429,22563.2285714286,129111.614285714,493263.957142857,254956.114285714,316196.842857143,326390.4
"5",35.4,107832.857142857,38682.6142857143,43100.9714285714,1309216.41428571,18606.7,425088.071428571,35803.2428571429,413505.885714286,88524.7142857143,84025.4,37243.5,350368.771428571,111937.257142857,396402.928571429,36185.4428571429,24067.6285714286,135086.414285714,540566.157142857,251767.314285714,334106.442857143,337943.2
"6",37.1,104904.857142857,41410.0142857143,45374.7714285714,1274572.01428571,25102,403505.671428571,32293.2428571429,379946.085714286,89346.7142857143,86512.6,34555.9,335384.771428571,111075.257142857,362617.428571429,34260.2428571429,22543.0285714286,125907.614285714,469516.857142857,241659.314285714,318805.642857143,309102.4
"7",38.9,100191.257142857,31081.2142857143,43017.7714285714,1151742.61428571,15231.7,390409.671428571,28342.0428571429,369887.285714286,80301.5142857143,79693.2,30524.5,324297.571428571,104136.057142857,351520.928571429,30469.4428571429,18772.2285714286,118711.214285714,440488.257142857,233717.714285714,292390.442857143,293016
"8",40.7,95558.4571428572,31783.2142857143,40921.3714285714,1167300.71428571,17494.2,373342.471428571,31250.4428571429,373619.685714286,84773.9142857143,76765.8,31366.9,318157.571428571,106161.657142857,356761.428571429,34561.0428571429,21159.4285714286,122234.414285714,470852.557142857,226800.114285714,302759.242857143,306854.4
"9",42.4,93753.6571428571,28554.4142857143,35197.1714285714,1151584.71428571,17371.7,379558.471428571,30949.2428571429,343418.785714286,79619.5142857143,75481.8,29321.3,312542.371428571,102872.457142857,337781.428571429,32254.6428571429,19755.2285714286,109842.414285714,427268.057142857,215446.514285714,280876.842857143,281204.8
"10",44.2,87916.8571428571,53283.8142857143,40256.7714285714,1098701.61428571,14533.3,371516.871428571,30307.6428571429,342173.785714286,73161.3142857143,72112.4,31547.5,281132.771428571,94849.6571428571,332588.428571429,30509.6428571429,18512.0285714286,107630.014285714,423604.857142857,212438.514285714,272976.842857143,267023.2
"11",46,85810.8571428571,31101.2142857143,40559.3714285714,1050649.21428571,14658.9,332689.671428571,26858.2428571429,334984.585714286,73401.9142857143,67098,26353.1,276160.771428571,91922.4571428571,313769.428571429,26057.2428571429,18030.4285714286,107119.614285714,389075.357142857,192984.114285714,264052.042857143,274726.4
"12",47.7,85830.8571428571,26869.6142857143,35212.3714285714,1044421.01428571,11986.4,332205.671428571,26898.0428571429,311408.185714286,69932.5142857143,70588,26533.5,280511.971428571,85022.4571428571,318872.928571429,27541.2428571429,19053.4285714286,103876.414285714,400634.357142857,195451.314285714,252720.842857143,256334.4
"13",49.5,85650.8571428571,23199.4142857143,37718.5714285714,1062631.41428571,14595.2,324544.871428571,27600.2428571429,317078.685714286,71436.7142857143,67058,26212.7,270563.971428571,91901.6571428571,321240.428571429,28183.2428571429,16045.0285714286,102655.214285714,392941.957142857,195410.514285714,245881.642857143,243057.6
