"","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"NIST_612_1.csv Mean",0.0696312014582413,0.0245536176089262,0.0310038589172788,1,0.0115563214390311,0.266399091637097,0.0226869108331119,0.374973618944688,0.0614730367013313,0.0608196211851253,0.0211836964575829,0.239000793726634,0.080837147535133,0.279071936378999,0.0250090491197189,0.0153949174582375,0.0946151793817266,0.356039455516453,0.19928147842781,0.272705168012732,0.271507252815002
"NIST_612_2.csv Mean",0.0708084040637982,0.0232395622774668,0.0287729364198944,1,0.0111600762116234,0.275194258003981,0.0226901176344386,0.267560774520124,0.0624388627720874,0.0590011982725293,0.0216818587056421,0.240915148961918,0.0815642377314905,0.280776804472729,0.0255481227370264,0.0159037490708144,0.0959302540892773,0.374027922717145,0.196458131585511,0.265416067709852,0.263254164399794
"NIST_612_3.csv Mean",0.0809955860885481,0.0324926563732336,0.0352289678987305,1,0.0135832003546813,0.320692204561567,0.0261236441025735,0.310168797723986,0.0693444713309048,0.0660272350555616,0.0264737648991934,0.269178968636892,0.0879310927990445,0.303568568845486,0.0277875687427252,0.0175243991404405,0.102388456562749,0.382707259651805,0.194168839321785,0.253789273394506,0.252150332787487
"NIST_612_4.csv Mean",0.0789394446167508,0.0336400627401252,0.0361560997812469,1,0.0169857177859282,0.319489324412897,0.0256401676226943,0.305926459900164,0.0732948455619712,0.0699616114474837,0.0344360314047964,0.265851122214288,0.0862535600054875,0.291845815834149,0.0264095767449099,0.0173696194713405,0.0993119258436027,0.369308000464524,0.186455984922333,0.232896651878049,0.240446650314798
"NIST_612_1.csv SD",0.0021039728301031,0.00636370324089073,0.00338955133410904,0,0.00202250682825053,0.00796350734627588,0.000862159253277456,0.02174887569429,0.0027324309807446,0.00262173818200421,0.00163863640414875,0.00811484110394092,0.00364979680754754,0.0132388395564322,0.00147443525246118,0.00117432169515236,0.00434539680975577,0.0146183164186674,0.0116649722298213,0.0127936936058203,0.0167624021191018
"NIST_612_2.csv SD",0.00298481964250551,0.0046037952657242,0.0026949794604938,0,0.00146251880538032,0.0108450298855832,0.00098570717583184,0.00879364621867704,0.00240125302720328,0.00185856142764034,0.00151025277039519,0.00666600080309271,0.0030270749254845,0.0128380862988297,0.00125064923240004,0.00201513824271379,0.00481767808908361,0.0275145387378933,0.00897972397279554,0.0132111258873049,0.0112513622582738
"NIST_612_3.csv SD",0.00143592967057618,0.010880405715254,0.00340038107366517,0,0.00143670956419994,0.0111400955863117,0.000831830283470273,0.0155694988239745,0.00233298831682363,0.00348546270192387,0.00171814143760319,0.0119384847921842,0.00433541196227496,0.0117335517598348,0.00156518146008388,0.00194770423524279,0.00536084070514738,0.018679894139152,0.0118527684996028,0.0147907581799763,0.0126825334777781
"NIST_612_4.csv SD",0.00217919821307695,0.00658492644530149,0.00584583703415845,0,0.00298618454486982,0.00940702357454551,0.00134972035868395,0.0171047269202657,0.00405421697750691,0.00659130938201158,0.00699904034465975,0.0114893893457617,0.0045421828491154,0.0125130758181957,0.00119330999060907,0.00155924440998742,0.0066958089381661,0.0279261242116767,0.014614393094123,0.0158230415418066,0.0181590803884115
"Total Mean",0.0750936590568346,0.0284814747499379,0.0327904657542877,1,0.013321328947816,0.295443719653885,0.0242852100482046,0.314657412772241,0.0666378040915737,0.063952416490175,0.0259438378668037,0.253736508384933,0.0841465095177889,0.288815781382841,0.0261885793360951,0.0165481712852082,0.0980614539693389,0.370520659587482,0.19409110856436,0.256201790248785,0.25683960007927
"Total SD",0.00571036083600982,0.00534185723498281,0.00349315001369991,0,0.00266349313786624,0.0286897671194488,0.00185424108378155,0.0445440428669341,0.00565532725498302,0.00499146820004917,0.00614333205875381,0.0159870988697419,0.00348246735715884,0.0113489134856499,0.00121203453799156,0.00106035722403007,0.0034978780621828,0.0111353779951368,0.00550284448873948,0.0173802004092818,0.01350314410193
