"","intercept","slope"
"Li7",0.0750936590568346,0
"B11",0.0284814747499379,0
"Mg25",0.0327904657542877,0
"Ca43",1,0
"Ti49",0.013321328947816,0
"V51",0.295443719653885,0
"Cr53",0.0242852100482046,0
"Mn55",0.314657412772241,0
"Ni60",0.0666378040915737,0
"Cu65",0.063952416490175,0
"Zn66",0.0259438378668037,0
"Rb85",0.253736508384933,0
"Sr86",0.0841465095177889,0
"Y89",0.288815781382841,0
"Mo97",0.0261885793360951,0
"Cd111",0.0165481712852082,0
"Sn118",0.0980614539693389,0
"Ba138",0.370520659587482,0
"Pb208",0.19409110856436,0
"Th232",0.256201790248785,0
"U238",0.25683960007927,0
