"Temps";"Li7";"B11";"Mg25";"Ca43";"Ti49";"V51";"Cr53";"Mn55";"Ni60";"Cu65";"Zn66";"Rb85";"Sr86";"Y89";"Mo97";"Cd111";"Sn118";"Ba138";"Pb208";"Th232";"U238"
1.8;3559.5;400.5;6773.4;5418.8;0;2005.2;3469.2;108618.8;2968;1955;440.8;225.3;38507.2;12.5;175.3;1624;90;0;0;0;0
3.5;3328.8;320.4;5418.8;8128.1;2709.4;2331;2686.8;105909.5;3489.2;2907.8;751.8;60;37424.4;12.5;225.3;1152.5;110;3386.7;120;0;0
5.3;2928;300.4;3386.7;8128.1;0;1754.5;3935.8;103173;2947.8;2556.3;601.3;175;38186.6;37.5;25;1483.8;150;0;20;0;0
7.1;3148.4;350.5;4515.6;8128.1;0;2080.5;3228.6;108618.8;3389;2506.3;550.8;120;36762.6;25;60;1583.8;112.5;6773.4;40;0;0
8.8;2381;400.5;5418.8;10160.2;0;1579;3729.8;105882.4;3509.2;2907.5;726.5;50;38768;50;25;1162.6;120;3386.7;20;0;0
10.6;3028;400.6;5418.8;8128.1;3386.7;1854.8;2847.4;100463.6;3529.4;2631.8;576;150;36140.6;12.5;225.3;1203;187.5;0;80;0;0
12.4;3283.5;420.6;6773.4;8128.1;0;2105.4;3248.6;105909.5;3449.2;2356;375.5;75;39129;12.5;0;1202.8;50;2709.4;40;0;0
14.1;3133.5;460.8;3386.7;5418.8;4515.6;1629;3248.6;105909.5;3289;2531.3;576.3;125;35960.2;25;80;1283.2;170;4515.6;40;0;0
15.9;3183.3;200.2;6773.4;6773.4;4515.6;1944.8;2907.4;103200.1;3028.2;1729.3;280.4;75;36602;37.5;75;1463.8;100;0;75;0;0
17.7;2887.6;280.2;3386.7;10160.2;2709.4;1604.2;3007.8;100463.6;3449.2;2406;360.6;66.7;39610.4;50;80;1664;137.5;0;33.3;0;0
19.4;3233.5;240.2;6773.4;10160.2;0;2045.4;2646.8;100490.7;3950.6;2331;701.3;160;35920;25;20;1102.5;75;0;40;0;0
21.2;2767.2;250;6773.4;8128.1;0;1804.8;3148.4;100463.6;3168.2;2757.3;651;100;36461.6;175;240;1503.6;6636.2;32539.6;13657.8;11311.2;15302.4
23;16525.8;24247.2;24992.2;197566.8;3570.3;55013.6;7761.2;237668.6;38447.2;51022.4;41114.8;70496.4;62855.4;75061.9;7821.8;7279.8;42312;180372.2;93661.2;91595.8;120355.2
24.7;46650.2;40793.8;37690.6;515580.8;10768.8;153247.2;18250.8;278022.2;63818.5;59691.9;47833.4;140251.2;88166;148659.5;14440;12855.2;64814;234839.5;131426.8;142276.8;161329.2
26.5;58463.4;37725.2;46171.5;685868.5;13571.9;207157.6;20617.2;329280.8;75129.2;72161.2;86541.6;190271.2;102987.6;199997;17970;14961.2;78618;296599.8;151883.6;177636.4;192617.2
28.3;70657;34095;40972.6;862172;27331;254488;24969.4;388571.4;86922.4;70697.2;50621;237081.6;118350;243865.5;22041;17709.4;94503.6;355706.2;176613.6;204711.6;225328
30.1;76914.2;56908.5;56018.7;934869.7;15982.5;293739.2;26393.2;389946.4;88306.4;100039;47592.8;262933.6;125008;277061.5;28720;19293.4;100629.6;373884;205954.4;237501.6;249255.2
31.8;89449.4;44323.2;47427.3;1123263.4;24382.4;346848;30123.8;488902.6;94182.8;84175;45085.6;284614.4;132268;303436.5;30846;19755;110669.6;449723.9;228798.4;259303.2;267084.8
33.6;93942;32289.8;49678.9;1202521.5;16541.3;343036.8;31367.4;458854.3;86100.4;85077.6;47332.2;293379.2;134636.4;303112;31106.4;19173.2;104433.2;411849.6;213516;244481.6;252625.6
35.4;86501.6;32510.6;43467.2;980087.8;16290;325247.2;27275.8;400136.7;79180.4;71017.6;33533.4;259505.6;116404.8;266775.8;23064.2;17488.4;90269.2;334813.8;178679.2;207779.2;213536.8
37.1;72141.2;40512.8;77580;883253.9;16162.5;267285.6;26634;372707.3;70717.2;62334;31969.2;223564;109645.6;233806.8;21820.4;17488.4;84933.6;302481.2;162533.2;188927.2;199516.8
38.9;69493.8;36140.6;35490;837645.9;13650;272218.4;26213;394130.1;68691.8;77376;36902.6;233231.2;114639.6;257916;22562.6;18411.2;89818.8;339420.9;180062.4;217145.6;228517.6
40.7;77877;34235.4;35124.4;980726.6;23641.4;312571.2;29622.4;438865.6;78699.2;70937.8;37163.6;280060.8;126573.2;299682.5;30324.4;21840.6;106635.6;406335;200199.2;250376.8;260364.8
42.4;91535.6;44604.4;48551.4;1144849.4;16156.9;374665.6;31868.8;448138.3;86501.6;83252.4;49899;307176;140010;349044.5;31888.8;22923.6;119749.2;453497.2;224245.6;284993.6;284472.8
