"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,-466.275,2481.825,4403.5125,4098843.025,-2010.2125,-79.0374999999999,-335.349999999999,-912.262499999997,185.5,-17.525,443.1375,406.95,1957747.825,79.1625,6.54999999999998,-85.175,70,52847.6375,-2.27499999999998,0,-6.25
"2",31.8,-246.075,1900.225,-1745.5875,4320560.925,-2010.2125,-856.0375,-285.049999999999,-4421.0625,-777.1,-27.425,342.7375,206.15,2395360.625,122.0625,-33.65,-185.575,-22.5,59900.2375,47.725,0,-6.25
"3",33.6,-265.875,2221.225,4403.5125,5376098.225,3837.6875,-630.5375,-485.349999999999,-912.262499999997,-1840.1,-17.525,919.2375,547.35,2720909.425,91.6625,-58.65,-105.375,80,74005.3375,-72.575,0,-6.25
"4",35.4,-686.875,1739.625,5271.9125,5942550.925,-2010.2125,-404.8375,918.35,-877.162499999991,-877.700000000001,107.975,1045.0375,246.35,2652378.225,129.1625,-33.65,-125.375,30,84496.5375,27.625,0,-6.25
"5",37.1,-1128.275,1639.425,-1780.6875,4788488.025,-2010.2125,-229.5375,166.150000000001,-7929.7625,-716.9,-7.42499999999995,202.3375,486.95,1934823.025,79.1625,-33.65,115.225,10,49303.7375,-2.57499999999999,0,-6.25
"6",38.9,-666.875,1659.625,-1780.6875,3975720.825,3837.6875,-505.3375,-505.65,-4421.0625,-716.9,-368.525,563.3375,286.55,3116383.325,107.7625,-53.65,-105.175,20,56391.4375,27.625,0,-6.25
"7",40.7,-426.275,1499.225,5271.9125,4130492.325,-2010.2125,-831.0375,-109.65,-912.262499999997,-135.5,72.975,202.5375,266.55,1883034.225,79.1625,-33.35,175.625,20,52847.6375,-32.575,0,-6.25
"8",42.4,-506.475,1178.025,-5254.3875,5003083.125,3837.6875,-1021.8375,-9.34999999999945,-912.262499999997,-376.1,32.975,-58.2625,-14.4499999999999,2290381.425,104.1625,-100.35,-44.975,0,63408.9375,47.425,0,-6.25
"9",44.2,-867.675,1298.425,8789.4125,5295186.425,-2010.2125,-856.5375,617.35,-4421.0625,-1178.5,333.475,503.3375,186.15,2321626.225,166.6625,-33.65,-205.575,102.5,70461.5375,-32.575,0,-6.25
"10",46,-827.275,1699.625,4403.5125,4619576.725,2375.6875,-580.5375,1244.35,-877.162499999991,-1238.5,-7.42499999999995,182.3375,426.95,2663184.425,41.6625,0.0499999999999829,115.425,50,56356.3375,-52.575,0,-6.25
"11",47.7,-1308.875,1358.625,-1780.6875,4791996.825,-2010.2125,-1006.3375,767.85,-4421.0625,-35.1000000000004,-168.025,167.5375,326.55,1757021.225,104.1625,-58.65,155.425,-10,52847.6375,47.825,33.3,-6.25
"12",49.5,-1549.475,1178.225,1798.2125,4331052.125,-2010.2125,-555.5375,792.85,-4421.0625,-636.700000000001,52.775,343.0375,567.15,2284102.025,116.6625,100.05,-185.575,90,59865.1375,207.825,0,-6.25
"13",51.3,-1649.675,1960.225,-5254.3875,4841224.825,-2010.2125,-555.5375,617.650000000001,-7929.7625,185.9,-107.825,61.9375,647.55,2810076.825,79.1625,26.75,-65.175,60,56356.3375,87.625,0,-6.25
"14",53,-1288.675,1238.225,-1780.6875,4316982.225,-2010.2125,-720.8375,-646.049999999999,-7929.7625,-1559.5,-67.625,543.5375,547.15,2208369.325,54.1625,16.35,-65.175,10,56356.3375,67.425,0,-6.25
"15",54.8,-1308.875,1158.025,4403.5125,4626559.425,3837.6875,-430.0375,667.650000000001,-7964.86249999999,-1358.9,-67.625,618.7375,-114.85,2070336.625,136.2625,26.55,115.225,30,56356.3375,7.42500000000001,0,-6.25
"16",56.6,-526.475,1178.225,-1780.6875,3820880.025,-2010.2125,-856.0375,592.35,-4421.0625,-1478.9,-7.625,322.7375,306.55,3126077.825,54.1625,-83.65,-165.575,10,45759.9375,-2.57499999999999,0,-6.25
"17",58.3,-646.875,1158.425,-5254.3875,4130457.325,3837.6875,-655.8375,40.6500000000005,-4421.0625,-917.299999999999,-208.025,82.1375,707.75,1852256.625,116.6625,66.65,-145.375,20,56356.3375,-12.575,0,-6.25
"18",60.1,-1248.675,797.225,-1780.6875,4070633.325,1498.5875,-1182.3375,617.35,-7929.7625,-215.5,82.775,1.9375,421.85,1894280.125,41.6625,-66.95,15.225,140,45759.9375,22.725,0,-6.25
"19",61.9,-1188.475,1378.425,1728.1125,4162106.025,-2010.2125,-605.5375,-535.849999999999,-14982.3625,-2240.9,-208.025,122.3375,647.55,1869100.525,129.1625,41.35,155.425,0,62470.3375,-52.575,0,-6.25
"20",63.6,-1188.475,957.625,8789.4125,4366210.025,3837.6875,-680.8375,943.35,-7929.7625,-777.1,-17.525,42.0374999999999,406.75,2704211.525,66.6625,-53.65,-145.575,-10,49303.7375,-2.57499999999999,33.3,-6.25
"21",65.4,-1730.075,977.625,-1780.6875,4542173.725,-2010.2125,-605.5375,1143.85,-7929.7625,-215.5,-207.825,423.1375,466.95,2088410.225,107.7625,-33.65,-145.375,-40,45759.9375,22.725,0,-6.25
"22",67.2,-727.075,1118.025,-1780.6875,5020557.225,-2010.2125,-1142.0375,592.150000000001,-7929.7625,-195.5,32.775,493.5375,506.95,1775930.225,16.6625,-13.65,-65.175,-20,49303.7375,-32.575,0,-6.25
"23",68.9,-1750.075,1218.225,-5254.3875,4112983.025,-2010.2125,-680.8375,65.8500000000004,-11473.5625,-355.700000000001,308.475,-18.0625,567.35,2067629.425,104.1625,-13.65,-105.175,150,42251.2375,-27.575,0,-6.25
"24",70.7,-1729.875,1118.225,-5289.3875,4292350.925,-2010.2125,-1482.8375,667.650000000001,-7929.7625,-1719.7,-92.725,423.1375,486.95,1783806.725,41.6625,-8.65000000000001,55.225,-10,49338.8375,47.625,0,-6.25
"25",72.5,-1328.675,1198.225,-5289.3875,4116492.025,-2010.2125,-740.8375,416.85,-7929.7625,-1057.9,-27.425,-108.2625,672.65,1719845.825,16.6625,-73.65,115.225,-20,42251.2375,-27.575,0,-6.25
"26",74.2,-807.475,676.825,-1780.6875,3965159.725,-2010.2125,-1142.0375,366.85,-14982.3625,-1519.1,-42.725,42.0374999999999,406.95,2623599.125,41.6625,-13.65,75.225,80,45795.0375,-72.575,0,60.45
"27",76,-1208.275,1258.425,-5289.3875,5147362.825,-2010.2125,-831.0375,-1468.45,-14982.3625,25.1000000000004,107.975,267.7375,507.15,1554057.625,79.1625,-108.65,-4.97500000000002,40,45795.0375,22.725,0,-6.25
"28",77.8,-1348.875,897.425,-5289.3875,4021439.925,3837.6875,-655.5375,166.35,-7964.86249999999,-957.9,82.775,267.7375,506.95,1843386.225,29.1625,66.55,235.825,110,42251.2375,27.425,0,-6.25
"29",79.5,-1389.275,636.425,-5289.3875,4404946.625,6761.6875,-1106.8375,842.85,-7929.7625,-1037.9,132.975,217.5375,226.15,1596307.825,16.6625,-53.65,316.025,102.5,45759.9375,47.425,20,18.75
"30",81.3,-1248.675,696.825,-5254.3875,4334596.025,-2010.2125,-455.0375,40.8500000000004,-11473.5625,-1559.3,-42.525,41.9375,166.15,1725502.925,41.6625,-53.65,15.025,30,42251.2375,14.125,0,-6.25
"31",83.1,-1309.075,496.225,-26.2874999999985,3747020.725,2375.6875,-1302.4375,-546.049999999999,-14982.3625,-1138.1,-107.625,-38.2625,45.75,1688864.625,54.1625,-0.349999999999994,135.425,30,42251.2375,724.425,0,27.05
"32",84.8,-1047.875,837.425,-1780.6875,3887651.825,-2010.2125,-530.3375,491.85,-7929.7625,-1398.7,132.775,-78.2625,306.75,1507847.025,29.1625,6.34999999999999,50.225,-40,45759.9375,228.025,0,-6.25
