"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,0.000274380943403834,0.0129758399573825,1,NA,NA,NA,0.0337402260906648,NA,NA,NA,NA,0.532384185781003,2.92600124745464e-05,NA,NA,NA,0.00926150164736983,NA,NA,0
"2",31.8,NA,NA,0.0114180705928645,1,NA,NA,NA,0.0288001879104394,NA,NA,NA,8.55622165897022e-05,0.497672109984632,3.21432127374801e-05,4.20415243064453e-05,NA,NA,0.00905087902059494,NA,NA,0
"3",33.6,NA,0.000301109305469591,0.0107982131622647,1,NA,NA,NA,0.0280914327599695,NA,NA,NA,NA,0.489011014736189,2.43686385865686e-05,NA,NA,NA,0.0102520397067535,NA,NA,0
"4",35.4,NA,0.00026890325632877,0.00902453797142751,1,NA,NA,NA,0.0247271999489473,NA,NA,NA,0.00012606114172776,0.470616843472079,2.75888715931803e-05,NA,NA,NA,0.00776846860778917,NA,NA,0
"5",37.1,NA,0.000304631689073344,0.0107837715597951,1,NA,NA,NA,0.0238247877144181,NA,NA,NA,6.85863004985974e-05,0.436730090235501,1.2996725523202e-05,NA,NA,NA,0.00797718455133674,NA,NA,0
"6",38.9,NA,0.000235781211641066,0.0109005370270175,1,NA,NA,NA,0.0316008743845404,NA,NA,NA,8.6572606147361e-05,0.459830823957733,2.46188564413566e-05,NA,NA,NA,0.00864741977282567,NA,NA,0
"7",40.7,NA,0.000213591764000402,0.0132902567936691,1,NA,NA,NA,0.0284778567173658,NA,NA,NA,NA,0.452377001296232,NA,NA,NA,NA,0.00806224535612175,NA,NA,0
"8",42.4,NA,0.000235608787804109,0.011207277565258,1,NA,NA,NA,0.0306818511257272,NA,NA,NA,NA,0.486065101800654,2.74424806810181e-05,NA,NA,NA,0.0105922101929834,NA,NA,0
"9",44.2,NA,0.000184932238672821,0.0093433857450929,1,NA,NA,NA,0.027956334064979,NA,NA,NA,NA,0.455296792825311,1.57242362819951e-05,NA,NA,NA,0.00878295577425061,NA,NA,0
"10",46,NA,0.000271918091683696,0.0120792519103613,1,NA,NA,NA,0.0304773779097835,NA,NA,NA,NA,0.475815415258492,NA,NA,NA,NA,0.00768168524694936,NA,NA,0
