"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"17",30.1,8062.2,1303,49192.7,3455101.7,0,2531.8,5389.8,123087,13697.8,500.8,1624,1082.4,1855526.4,125,125,641.4,262.5,35087.5,40,0,0
"18",31.8,8122.2,1784.4,49157.6,3923133.5,0,2531.8,5991.3,119508,14038.8,681.4,1263.2,1122.8,1968588.8,150,275.5,1002.4,270,38596.3,200.2,0,0
"19",33.6,7260,1604,49157.6,4148220.5,0,2185.6,5665.5,123051.9,14098.8,751.5,1162.6,1082.6,2044697.6,125,125,661.2,330,45613.8,100,0,0
"20",35.4,7560.6,1584,45613.8,4570428.3,0,2105.4,5765.8,119543.1,14199.4,761.4,1082.4,1363.2,2167129.6,150,100,881.8,240,38596.3,175,0,0
"21",37.1,8202.4,1844.8,57104.9,4890741.6,0,2255.8,5715.5,123051.9,13557.6,877,962.2,1122.6,2152211.2,87.5,60,942,250,42105,75,0,0
"22",38.9,6998.8,1323.2,49122.5,4106079.8,7017.5,2406.3,5364.8,136271.1,13196.4,701.4,1604,1142.6,1904332.8,125,100,721.4,280,38596.3,140.2,0,0
"23",40.7,7280,1202.8,57104.9,3968747.9,0,2165.6,5314.5,119543.1,13035.8,761.6,1062.6,821.8,1811616,62.5,120,842,290,35087.5,66.7,0,0
"24",42.4,7540.6,1223,45648.8,3683802,4385.9,2581.5,5053.6,119543.1,13497.2,902,862,841.6,1806745.6,125,100,601.4,240,42105,160,0,0
"25",44.2,6939,1102.8,42140.1,4042747,0,1879.8,6693.3,119543.1,12193.6,1082.6,1563.6,1062.4,1856889.6,87.5,33.3,862,375,38596.3,160,0,0
"26",46,6838.6,1363.4,49157.6,3708503.2,0,2682.3,5063.8,119543.1,12394.4,1177.8,942.2,1002.4,1780761.6,62.5,125,1062.4,350,31578.8,175.3,0,0
"27",47.7,6417.4,1263.2,45648.8,3894888.5,0,2305.8,5139.3,119508,12073.4,876.8,1077.8,721.4,1815072,62.5,150,1052.5,180,38596.3,100,0,0
"28",49.5,7099.4,1243,52675.1,3708538.3,0,2230.8,6041.5,119543.1,13036.2,952.3,1303.3,1102.6,1793152,62.5,66.7,481,190,35087.5,300.5,0,0
"29",51.3,6497.6,1483.6,45648.8,3747064.9,0,2130.5,5514.8,116034.4,12996,801.8,1453.8,1102.4,1785625.6,75,275.5,661.6,230,38596.3,140,0,0
"30",53,7961.8,982.2,48289.2,3835204.2,4385.9,1729.5,5339.5,123087,12895.4,1062.6,1077.5,1162.8,1931404.8,62.5,160,1102.8,280,38631.3,125,0,0
"31",54.8,7340,962.2,42140.1,4327762.7,5847.9,2055.3,5740.8,116069.5,13718,826.8,922,801.8,1921676.8,112.5,66.7,681.4,210,35087.5,140,0,0
"32",56.6,7219.6,1082.6,42105,4169377.9,0,2005.3,4963.3,126595.7,12534.4,561.2,1483.8,1263.2,2290515.2,87.5,175.3,826.8,290,45613.8,100,0,0
"33",58.3,7039.2,1303.2,42140.1,4007589,0,1704.2,5816,115999.3,13537.2,1002.4,1077.8,1222.8,1745939.2,75,120,641.2,200,38596.3,160,0,0
"34",60.1,7360.2,982.4,49157.6,4383973.3,0,2230.8,5966.3,126595.7,12193.6,741.6,801.6,1223,1933453.8,75,200,521,280,49157.6,150,0,0
"35",61.9,7640.8,1082.6,45613.8,4345341.5,0,2285.8,4612.2,115964.2,14560.2,641.4,1027.5,1162.6,1897309.3,142.9,200.2,1162.8,250,45648.8,140,0,0
"36",63.6,7420.4,882,49157.6,4542358,7017.5,1579,6191.8,119543.1,12434.4,721.6,1202.8,901.8,1326906.6,162.5,75,1027.3,287.5,35087.5,100,0,0
"37",65.4,6918.8,942.2,49192.7,2969560.8,0,2030.3,5941,112490.5,12434.6,881.8,1027.3,1042.2,1661945.6,75,66.7,922.2,210,38596.3,80,0,0
"38",67.2,6858.8,841.8,52675.1,3842221.6,0,1553.5,4712.6,112490.5,13075.8,801.8,1242.8,1027.5,1655283.2,125,50,701.6,250,35087.5,140,0,0
"39",68.9,6618,801.8,42105,3356646,0,1784.2,4963.5,112490.5,13236.4,1162.6,1428.5,1163,1744864,62.5,140.2,400.8,175,28070,33.3,0,0
"40",70.7,7119.4,942,45648.8,2948368.1,0,1884.6,4838.3,108946.7,12955.6,601.2,1077.5,1227.8,1462240,87.5,125,581.2,325,35087.5,200,0,0
"41",72.5,7239.8,861.8,45648.8,3423452.8,0,1904.8,5665,123087,12795.2,721.4,902,1343.2,1445145.6,25,100,541,200,28070,325.3,0,0
