"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,865.05,42916.425,3920576.575,NA,NA,NA,132078.175,NA,NA,470.725,NA,2033191.725,NA,NA,NA,NA,46561.1375,NA,0,0
"2",31.8,NA,1366.45,40276.025,4409626.275,NA,NA,NA,132078.175,NA,NA,NA,574.0625,2169511.725,NA,NA,NA,NA,43017.2375,NA,0,0
"3",33.6,NA,1005.05,43784.825,4328749.475,NA,NA,NA,139165.775,NA,NA,NA,NA,2319034.925,NA,NA,NA,NA,50034.7375,NA,0,0
"4",35.4,NA,1045.45,47328.625,4539835.875,NA,NA,NA,132113.175,NA,NA,NA,589.2625,2318170.925,NA,NA,NA,NA,50034.7375,NA,0,33.3
"5",37.1,NA,945.25,43819.925,4205592.575,NA,NA,NA,132078.175,NA,NA,NA,489.0625,2263860.525,123.4,NA,NA,NA,46526.0375,NA,0,0
"6",38.9,NA,664.45,40276.025,3822015.875,NA,NA,NA,128569.375,NA,NA,NA,448.7625,1896135.725,NA,NA,NA,NA,46490.9375,NA,0,0
"7",40.7,NA,664.25,43784.825,3639000.075,NA,NA,NA,121551.875,NA,NA,NA,NA,1788980.525,NA,NA,NA,NA,43017.2375,NA,0,0
"8",42.4,NA,965.25,43819.925,3515912.675,NA,NA,NA,121551.875,NA,NA,425.525,NA,1847361.325,116.3,NA,NA,NA,39473.4375,NA,0,0
"9",44.2,NA,764.45,36767.325,3804437.275,NA,NA,NA,128569.375,NA,NA,NA,529.2625,1883271.725,NA,NA,NA,NA,39473.4375,NA,0,0
"10",46,NA,664.45,43784.825,3836191.175,NA,NA,NA,118008.075,NA,NA,NA,NA,1868218.925,NA,NA,NA,NA,42982.2375,NA,0,0
"11",47.7,NA,1005.25,47302.325,3945243.075,NA,NA,NA,121551.875,NA,NA,NA,348.2625,1877735.725,NA,NA,NA,NA,42982.2375,192.875,0,0
"12",49.5,NA,904.85,47302.325,3793910.875,NA,NA,NA,125060.675,NA,NA,NA,789.8625,1893780.525,78.8,NA,NA,NA,42982.2375,NA,0,0
"13",51.3,NA,965.25,40276.025,3670648.975,NA,NA,NA,118043.175,NA,NA,NA,499.0625,1990149.925,NA,NA,NA,NA,35964.7375,NA,0,0
"14",53,NA,965.25,47302.325,3688402.575,NA,NA,NA,121551.875,NA,NA,NA,769.6625,1867898.925,NA,NA,NA,NA,42982.2375,NA,0,0
"15",54.8,NA,1065.65,47302.325,4195031.175,NA,NA,NA,132113.175,NA,NA,NA,428.6625,2314804.525,78.8,NA,NA,NA,42982.2375,NA,0,0
"16",56.6,NA,844.65,47293.525,4536362.275,NA,NA,NA,132113.175,NA,NA,NA,849.8625,2066467.025,103.8,NA,NA,NA,42982.2375,NA,0,0
"17",58.3,NA,824.85,40276.025,4022611.375,NA,NA,NA,118008.075,NA,NA,470.925,348.6625,1926962.725,NA,NA,NA,NA,49999.7375,NA,0,0
"18",60.1,NA,1145.65,43784.825,4441345.275,NA,NA,NA,128604.475,NA,NA,NA,850.0625,3168773.025,91.3,NA,NA,NA,50034.7375,NA,0,0
"19",61.9,NA,724.65,40276.025,3906471.575,NA,NA,NA,121516.775,NA,NA,NA,549.0625,1919425.325,NA,NA,NA,NA,53578.6375,NA,0,0
"20",63.6,NA,664.25,43784.825,4370924.975,NA,NA,NA,132078.175,NA,NA,NA,589.2625,2064174.125,NA,NA,NA,NA,39473.4375,NA,0,0
"21",65.4,NA,503.85,40241.025,4170399.675,NA,NA,NA,121551.875,NA,NA,NA,609.2625,1827246.125,141.3,NA,NA,NA,42982.2375,NA,0,0
"22",67.2,NA,343.45,40276.025,3392755.575,NA,NA,NA,114534.375,NA,NA,NA,348.6625,2085855.525,NA,NA,NA,NA,35964.7375,NA,0,0
"23",68.9,NA,664.25,47258.525,3301317.575,NA,NA,NA,118008.075,NA,NA,NA,488.8625,1545953.325,NA,NA,NA,NA,28947.2375,NA,0,0
"24",70.7,NA,739.35,40276.025,3255493.575,NA,NA,NA,114499.275,NA,NA,NA,NA,1521870.125,NA,NA,NA,NA,32455.9375,NA,0,0
"25",72.5,NA,383.65,40241.025,2847460.475,NA,NA,NA,114499.275,NA,NA,NA,488.8625,1395921.325,NA,NA,NA,NA,25438.4375,NA,0,0
"26",74.2,NA,403.65,36732.225,2706689.475,NA,NA,NA,110990.575,NA,NA,NA,449.0625,1340961.325,NA,NA,NA,NA,32491.0375,NA,0,0
"27",76,NA,423.65,36767.325,2847390.375,NA,NA,NA,107481.775,NA,NA,NA,428.8625,1483160.725,NA,NA,NA,NA,28947.2375,NA,0,0
"28",77.8,NA,644.25,43784.825,3061985.675,NA,NA,NA,114534.375,NA,NA,NA,NA,1622708.525,NA,NA,NA,NA,39473.4375,NA,0,0
"29",79.5,NA,443.65,36767.325,3009284.075,NA,NA,NA,107481.775,NA,NA,NA,NA,1844914.425,NA,NA,NA,170.3125,28947.2375,NA,0,0
"30",81.3,NA,423.65,40276.025,2594058.775,NA,NA,NA,111025.675,NA,NA,NA,624.2625,1810689.325,NA,NA,NA,NA,35964.7375,NA,0,0
"31",83.1,NA,543.85,40241.025,3230931.975,NA,NA,NA,118043.175,NA,NA,646.225,448.6625,2016632.925,78.8,NA,NA,NA,32455.9375,NA,0,0
"32",84.8,NA,664.25,43784.825,2931916.075,NA,NA,NA,107481.775,NA,NA,NA,NA,1559009.025,NA,NA,NA,NA,28947.2375,NA,0,25
