"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,NA,5.73239113866364e-06,NA,1,NA,NA,NA,1.32432896954047e-05,NA,NA,NA,NA,0.00620778996366285,NA,8.84584612873533e-07,NA,NA,1.18098828577016e-05,NA,NA,0
"2",31.8,NA,5.44836825825504e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,2.90067159251314e-07,0.00669275311996686,NA,NA,NA,NA,1.40954798737707e-05,NA,NA,0
"3",33.6,NA,4.82211859706272e-06,NA,1,NA,NA,NA,1.37850567852167e-05,NA,NA,2.17206884123165e-06,NA,0.0060958100177723,NA,NA,NA,NA,1.3078008889245e-05,NA,NA,0
"4",35.4,NA,3.68525204950575e-06,NA,1,NA,NA,NA,1.47875297260187e-05,NA,NA,NA,NA,0.00625069809535752,NA,NA,NA,NA,1.2943103543416e-05,NA,NA,0
"5",37.1,NA,4.04334998310823e-06,NA,1,7.3177875496555e-05,NA,NA,1.46212455040401e-05,NA,NA,2.92745345614541e-06,2.00468066793406e-07,0.00566468929621008,3.36763880187041e-08,NA,NA,NA,1.18695942380412e-05,NA,NA,0
"6",38.9,NA,3.0360916095729e-06,NA,1,NA,NA,NA,1.44661993192183e-05,NA,NA,NA,1.65984930765357e-07,0.00597859412848194,2.20010098472074e-08,NA,NA,NA,1.17018085374113e-05,NA,NA,0
"7",40.7,NA,3.67109245218372e-06,NA,1,NA,NA,NA,1.29370762861256e-05,NA,NA,NA,NA,0.0055006389134945,NA,NA,NA,NA,1.24140894093149e-05,NA,NA,0
"8",42.4,NA,4.2477204482657e-06,NA,1,NA,NA,NA,1.49966155866356e-05,NA,NA,NA,NA,0.00588808619907543,NA,NA,NA,NA,1.43755227108038e-05,NA,NA,0
"9",44.2,NA,4.87467420646591e-06,NA,1,NA,NA,NA,1.31666955025919e-05,NA,NA,NA,NA,0.00597586564951307,NA,NA,NA,NA,1.36252319608817e-05,NA,NA,0
"10",46,NA,3.51989719074399e-06,NA,1,9.04105510255097e-05,NA,NA,1.28378612313389e-05,NA,NA,NA,2.87065308871871e-07,0.00619085931203129,NA,NA,NA,NA,1.46538587586658e-05,NA,NA,NA
"11",47.7,NA,3.13094434195948e-06,NA,1,NA,NA,NA,1.25999148671033e-05,NA,NA,NA,2.11996395757838e-07,0.00600722167333521,NA,NA,NA,NA,1.22416381972966e-05,NA,NA,0
"12",49.5,NA,2.87646732108763e-06,NA,1,NA,NA,NA,1.22265355905223e-05,NA,NA,3.18873197597366e-06,NA,0.00556217458081094,NA,NA,NA,NA,1.29018017259349e-05,NA,NA,0
"13",51.3,NA,3.54439858484519e-06,NA,1,NA,NA,NA,1.26462079196246e-05,NA,NA,NA,2.74750476845301e-07,0.00592863667209546,3.03781404543474e-08,NA,NA,NA,1.22742460637876e-05,NA,NA,0
"14",53,NA,3.43337101029348e-06,NA,1,NA,NA,NA,1.28394045585131e-05,NA,NA,NA,NA,0.00621306723462549,4.15699602281787e-08,NA,NA,NA,1.46408666878292e-05,NA,NA,0
"15",54.8,NA,3.58268657850349e-06,NA,1,NA,NA,NA,1.38187175385126e-05,NA,NA,NA,2.00036596373592e-07,0.00563826562462478,NA,NA,NA,NA,1.40730158254764e-05,NA,NA,0
"16",56.6,NA,3.12720503358692e-06,NA,1,NA,NA,NA,1.05024620910847e-05,NA,NA,NA,2.18192558944397e-07,0.00562592391830751,4.27485688767773e-08,NA,NA,NA,1.33352882240189e-05,NA,NA,0
"17",58.3,NA,3.10610659838825e-06,NA,1,NA,NA,NA,1.31118424876933e-05,NA,NA,NA,NA,0.00598549136983279,2.85831310812478e-08,NA,NA,NA,1.35785697291894e-05,NA,NA,0
"18",60.1,NA,3.03534621002695e-06,NA,1,NA,NA,NA,1.19392817859447e-05,NA,NA,NA,NA,0.00486372989295684,NA,NA,NA,NA,1.23642707269443e-05,NA,NA,0
"19",61.9,NA,4.20234377919408e-06,NA,1,NA,NA,NA,1.42374387210329e-05,NA,NA,NA,2.17369495542864e-07,0.00693843104490585,NA,NA,NA,NA,1.47467750408055e-05,NA,NA,6.69372471601405e-09
"20",63.6,NA,2.5402901046372e-06,NA,1,NA,NA,NA,1.05574960700228e-05,NA,NA,NA,2.62380786891641e-07,0.0052903784259769,3.31130485898329e-08,NA,NA,NA,1.34000822512272e-05,NA,NA,0
"21",65.4,NA,3.55161732777171e-06,NA,1,NA,NA,NA,1.43035699864838e-05,NA,NA,NA,2.40506100121995e-07,0.00620164607302949,5.82615566643823e-08,NA,NA,NA,1.38828602787926e-05,NA,NA,0
