"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,NA,NA,0.000154044253740241,1,NA,NA,NA,4.13195406556245e-05,NA,NA,2.44268600297468e-06,8.54860529785467e-08,0.00431156686000005,NA,NA,NA,NA,5.16746699709517e-06,NA,0,0
"2",30.1,NA,7.81986392826044e-06,0.000172856835723214,1,NA,NA,NA,4.22170998066904e-05,NA,NA,3.48776655679082e-06,1.05511691007143e-07,0.00462599441458075,NA,NA,NA,NA,4.9992191884582e-06,NA,0,0
"3",31.8,NA,8.32035425134853e-06,0.000183139452058627,1,NA,NA,NA,4.47060189852992e-05,NA,NA,NA,1.00270503108091e-07,0.00516437615163917,1.61812843982682e-08,2.19315246123337e-07,NA,NA,5.29394934692945e-06,NA,0,0
"4",33.6,NA,8.41892753130723e-06,0.000146804016352931,1,NA,NA,NA,3.58541783115748e-05,NA,NA,2.51557004543978e-06,8.65044063628105e-08,0.0052674825683993,2.33592702890825e-08,2.45393131107803e-07,NA,NA,6.40661839629919e-06,NA,0,3.21570673084115e-09
"5",35.4,NA,6.34763775492812e-06,0.000108917837048148,1,NA,NA,NA,2.6406106577262e-05,NA,NA,1.57506786509521e-06,1.14958530625814e-07,0.00423365230975749,1.94257178899105e-08,NA,NA,NA,5.13571706607626e-06,NA,0,0
"6",37.1,NA,7.81200479765055e-06,0.000126197846196823,1,NA,NA,NA,2.95992111048288e-05,NA,NA,3.2329469223973e-06,1.41446149197778e-07,0.00483579308445568,NA,NA,NA,NA,4.66523482894987e-06,NA,0,3.34421899200659e-09
"7",38.9,NA,5.84918429696837e-06,0.000113095449871878,1,NA,NA,NA,2.66757957015258e-05,NA,NA,9.80903744826466e-07,9.25884203854764e-08,0.00276856582244434,7.99603222651803e-09,NA,NA,NA,3.74705521811261e-06,NA,NA,0
"8",40.7,NA,7.25799210000694e-06,0.00017142465188779,1,NA,NA,NA,4.45173723727016e-05,NA,NA,2.57838125803074e-06,NA,0.00326208703855657,2.76144736570714e-08,NA,NA,NA,4.94919572997507e-06,NA,0,0
"9",42.4,NA,6.89360830479337e-06,0.000183367191021974,1,NA,NA,NA,4.57741024350814e-05,NA,NA,1.97138015690928e-06,NA,0.00466712587845374,1.43290643960534e-08,NA,NA,NA,5.58091411235237e-06,NA,0,0
"10",44.2,NA,4.55139708210721e-06,0.000229218144547277,1,NA,NA,NA,5.6406924375644e-05,NA,NA,NA,NA,0.00370247827996865,NA,NA,NA,NA,3.43464966664369e-06,NA,0,0
"11",46,NA,6.18887928425182e-06,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"12",47.7,NA,4.81169459422248e-06,0.000170240947865435,1,NA,NA,NA,4.24973875795695e-05,NA,NA,1.83025995351114e-06,1.6143513330034e-07,0.00485091615477065,1.33033259178664e-08,NA,NA,NA,5.70776819285101e-06,NA,0,0
"13",49.5,NA,4.97899571847501e-06,0.000170292257040754,1,NA,NA,NA,4.03947588469356e-05,NA,NA,NA,1.18104716871836e-07,0.00461808213248128,1.98709056927007e-08,2.34641240891635e-07,NA,NA,4.92504861310303e-06,NA,0,0
"14",51.3,NA,4.99074271948502e-06,0.000150199998702056,1,NA,NA,NA,4.01942790644538e-05,NA,NA,1.65939052650974e-06,NA,0.00566965824694963,NA,2.00072851591779e-07,NA,NA,5.32007447053912e-06,NA,0,0
"15",53,NA,4.496793465905e-06,0.00017141447182788,1,NA,NA,NA,4.28193036992756e-05,NA,NA,2.78039647882684e-06,1.10094182232663e-07,0.00421058595254499,2.10604789237006e-08,NA,NA,NA,5.75015688341562e-06,NA,0,0
"16",54.8,NA,4.88533042532752e-06,0.000161123823523761,1,NA,NA,NA,3.87829198368321e-05,NA,NA,1.5575412642839e-06,1.1839399943952e-07,0.00426097265249154,NA,2.68761828805376e-07,NA,NA,4.65988693422303e-06,NA,0,NA
"17",56.6,NA,5.34807782111741e-06,0.00016296119788726,1,NA,NA,NA,4.06801376160096e-05,NA,NA,1.18256212155134e-06,2.00898624006856e-07,0.00488335277976518,2.24368993649404e-08,NA,NA,NA,5.46369574201985e-06,NA,0,0
"18",58.3,NA,4.54536202664182e-06,0.000128437927721921,1,NA,NA,NA,3.43706388410534e-05,NA,NA,9.4483597067448e-07,8.41409001402718e-08,0.0051281058628952,2.07175486738023e-08,NA,NA,NA,4.12973782093158e-06,NA,0,0
"19",60.1,NA,4.23583236729244e-06,0.000158719638094818,1,NA,NA,NA,3.96481365555024e-05,NA,NA,NA,1.71448848328868e-07,0.0041453128708286,NA,3.28435330423716e-07,NA,NA,5.32430435885583e-06,NA,0,NA
