"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,NA,NA,0.00740027916408101,1,NA,NA,NA,0.0285555567776363,NA,NA,0.000119116713649485,5.54943812505225e-05,0.38038851489148,NA,NA,NA,NA,0.00424708301825584,NA,0,0
"2",30.1,NA,0.000488139557580988,0.00830403477385477,1,NA,NA,NA,0.0291758517008825,NA,NA,0.000170079694940557,6.84942841916814e-05,0.408128924448276,NA,NA,NA,NA,0.00410880203623456,NA,0,0
"3",31.8,NA,0.000519381677281161,0.00879801120966207,1,NA,NA,NA,0.0308959209899402,NA,NA,NA,6.50918990149016e-05,0.455627719214582,9.62396784734895e-06,1.25635125866432e-05,NA,NA,0.00435103743932756,NA,0,0
"4",33.6,NA,0.000525534919551075,0.00705245847892476,1,NA,NA,NA,0.0247784948294749,NA,NA,0.000122670878042845,5.615545857232e-05,0.464724295475762,1.38931410304935e-05,1.40573888311207e-05,NA,NA,0.00526552761936616,NA,0,2.4698917387544e-06
"5",35.4,NA,0.000396238747093425,0.00523240809399709,1,NA,NA,NA,0.0182490188341598,NA,NA,7.68076239175127e-05,7.46268227888563e-05,0.373514494142744,1.15536245320661e-05,NA,NA,NA,0.00422098810697009,NA,0,0
"6",37.1,NA,0.000487648966878377,0.00606253897232054,1,NA,NA,NA,0.0204557441797729,NA,NA,0.000157653506152741,9.1821604302747e-05,0.426638437822709,NA,NA,NA,NA,0.00383430404671122,NA,0,2.56859830584801e-06
"7",38.9,NA,0.000365123774675061,0.00543310043002659,1,NA,NA,NA,0.0184353985222693,NA,NA,4.78334220394732e-05,6.01049752705828e-05,0.244257059156192,4.75571377156016e-06,NA,NA,NA,0.00307966254922554,NA,NA,0
"8",40.7,NA,0.000453065818680022,0.00823523272548825,1,NA,NA,NA,0.0307655490407011,NA,NA,0.00012573384447204,NA,0.287798028961394,1.64239624034766e-05,NA,NA,NA,0.00406768831820645,NA,0,0
"9",42.4,NA,0.000430319880103978,0.00880895177942942,1,NA,NA,NA,0.0316340636969879,NA,NA,9.61336517910502e-05,NA,0.411757752891855,8.52234295103111e-06,NA,NA,NA,0.00458689055319371,NA,0,0
"10",44.2,NA,0.000284111971565909,0.0110116295670651,1,NA,NA,NA,0.038982309728104,NA,NA,NA,NA,0.326651600234078,NA,NA,NA,NA,0.00282289993938239,NA,0,0
