"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,NA,5520.0125,67796.0875,9161287.8375,NA,NA,NA,261605.675,NA,NA,1091.2625,508.4,3484848.675,NA,NA,NA,NA,38908.75,NA,0,0
"2",30.1,NA,4196.2125,71384.2875,8596337.7375,NA,NA,NA,250805.475,NA,NA,1462.0625,588.8,3508414.075,NA,NA,NA,NA,35320.65,NA,0,0
"3",31.8,NA,4216.2125,71420.0875,8117753.6375,NA,NA,NA,250805.475,NA,NA,4551.0625,528.4,3698673.575,78.125,101.9875,NA,NA,35320.65,NA,0,0
"4",33.6,NA,5319.4125,71384.2875,10121901.1375,NA,NA,NA,250805.475,NA,NA,1241.6625,568.4,4703893.375,140.625,142.2875,NA,NA,53297.15,NA,0,25
"5",35.4,NA,5680.2125,75008.2875,14335328.2375,NA,NA,NA,261605.675,NA,NA,1101.0625,1069.8,5354452.875,165.625,NA,NA,NA,60509.25,NA,0,0
"6",37.1,NA,6322.0125,78596.3875,12964269.2375,NA,NA,NA,265193.775,NA,NA,2043.8625,1190.4,5531055.575,NA,NA,NA,NA,49708.95,NA,0,33.3
"7",38.9,NA,5038.4125,74972.3875,13799190.4375,NA,NA,NA,254393.575,NA,NA,660.0625,829.4,3370549.675,65.625,NA,NA,NA,42496.85,NA,20,0
"8",40.7,NA,3534.4125,64243.8875,7801101.6375,NA,NA,NA,240005.175,NA,NA,980.8625,NA,2245141.675,128.125,NA,NA,NA,31732.45,NA,0,0
"9",42.4,NA,3313.6125,67831.9875,7700347.2375,NA,NA,NA,243593.275,NA,NA,740.2625,NA,3170677.675,65.625,NA,NA,NA,35320.65,NA,0,0
"10",44.2,NA,1749.2125,67796.0875,6156771.5375,NA,NA,NA,240005.175,NA,NA,NA,NA,2011119.275,NA,NA,NA,NA,17379.95,NA,0,0
"11",46,NA,1127.4125,64207.9875,2918273.7375,NA,NA,NA,236417.075,NA,NA,NA,NA,2252801.475,103.125,NA,NA,NA,28144.35,NA,0,0
"12",47.7,NA,2491.2125,67831.9875,8294074.1375,NA,NA,NA,243593.275,NA,NA,740.2625,869.2,3549637.075,65.625,NA,NA,NA,38908.75,NA,0,0
"13",49.5,NA,2712.0125,71384.2875,8725797.4375,NA,NA,NA,243593.275,NA,NA,NA,669,3555159.175,103.125,117.2875,NA,NA,35320.65,NA,0,0
"14",51.3,NA,2772.2125,64207.9875,8898494.3375,NA,NA,NA,247181.475,NA,NA,720.0625,NA,4451082.875,NA,101.9875,NA,NA,38908.75,NA,0,0
"15",53,NA,2311.0125,67796.0875,8232932.3375,NA,NA,NA,243629.175,NA,NA,1116.2625,588.4,3058365.275,103.125,NA,NA,NA,38908.75,NA,0,0
"16",54.8,NA,2812.4125,71384.2875,9222321.7375,NA,NA,NA,247181.475,NA,NA,700.4625,708.8,3466899.775,NA,141.9875,NA,NA,35320.65,NA,0,167
"17",56.6,NA,2892.6125,67831.9875,8664584.3375,NA,NA,NA,243593.275,NA,NA,499.6625,1130,3733000.975,115.625,NA,NA,NA,38908.75,NA,0,0
"18",58.3,NA,2952.6125,64207.9875,10406223.9375,NA,NA,NA,247181.475,NA,NA,479.4625,568.4,4708064.675,128.225,NA,NA,NA,35320.65,NA,0,0
"19",60.1,NA,2351.0125,67796.0875,8891424.9375,NA,NA,NA,243629.175,NA,NA,NA,989.6,3251778.475,NA,167.2875,NA,NA,38908.75,NA,0,75
"20",61.9,NA,1949.8125,67796.0875,9715401.9375,NA,NA,NA,239969.275,NA,NA,660.0625,588.6,3721397.075,140.625,NA,NA,NA,38908.75,NA,0,0
"21",63.6,NA,1488.8125,64207.9875,9391466.4375,NA,NA,NA,232793.075,NA,NA,NA,909.2,4636911.875,140.625,NA,NA,NA,35320.65,NA,0,0
"22",65.4,NA,1769.4125,64207.9875,8419945.8375,NA,NA,NA,240005.175,NA,NA,NA,648.6,3589142.375,103.125,NA,NA,NA,35356.45,NA,0,0
"23",67.2,NA,1468.6125,67796.0875,8366052.0375,NA,NA,NA,229204.975,NA,NA,599.6625,1050,3175034.075,90.625,NA,NA,NA,46120.85,NA,0,0
"24",68.9,NA,1789.4125,64243.8875,8211331.7375,NA,NA,NA,236381.175,NA,NA,900.4625,849.2,4779719.575,NA,92.0875,NA,219.6875,35320.65,NA,0,0
"25",70.7,NA,1709.4125,67831.9875,7631957.6375,10502.7125,NA,NA,232793.075,NA,NA,865.2625,749.2,2794776.175,NA,NA,NA,NA,28144.35,NA,0,33.3
"26",72.5,NA,1408.2125,67796.0875,8132177.6375,NA,NA,NA,232793.075,NA,NA,499.6625,709,3678503.875,115.625,182.1875,NA,NA,35320.65,NA,0,0
"27",74.2,NA,1067.4125,64207.9875,7581651.6375,NA,NA,NA,232828.975,NA,NA,820.4625,548.4,2494481.375,65.625,NA,NA,NA,28144.35,NA,0,0
"28",76,NA,1669.2125,64207.9875,5969615.1375,NA,NA,NA,229204.975,NA,NA,519.6625,588.6,2216783.575,150.525,NA,NA,242.1875,31732.45,NA,0,0
"29",77.8,NA,1087.6125,64172.0875,5537856.0375,NA,NA,NA,232793.075,NA,NA,519.8625,688.6,2512143.275,NA,167.2875,NA,182.1875,20968.15,NA,0,0
"30",79.5,NA,846.6125,64207.9875,6113499.0375,NA,NA,NA,236417.075,NA,NA,NA,568.4,2231735.175,NA,NA,NA,NA,24556.25,NA,0,0
"31",81.3,NA,1729.2125,64207.9875,5721281.0375,NA,NA,NA,221992.775,NA,NA,NA,668.6,2567963.475,103.125,NA,NA,NA,20968.15,NA,0,0
"32",83.1,NA,826.6125,60619.8875,5955190.7375,NA,NA,NA,232793.075,NA,NA,NA,NA,2006280.275,NA,NA,NA,NA,24556.25,NA,0,0
"33",84.8,NA,726.4125,67796.0875,6250242.4375,NA,NA,NA,221992.775,NA,NA,NA,628.6,2332929.575,178.125,NA,NA,NA,20968.15,NA,0,0
