"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"16",28.3,10869.8,3389,64729.8,8128179.9,0,4261.5,11331,258990.9,16465.6,1162.8,1664.2,1283,3536396.8,225,100,922.2,330,53857.8,325.5,0,0
"17",30.1,10589,3068.2,68282,8264887.6,0,3750,11080.8,255402.7,16104.6,977.3,1604,1443.2,4335746.8,112.5,120.2,1784.6,220,43057.5,280.6,0,0
"18",31.8,10107.8,2025,64729.8,8354770.5,0,4361.8,11582,255366.9,14941.4,1343,1554,1684.2,3467217.6,125,100,922,440,64693.9,180.4,0,0
"19",33.6,11090.2,2667.2,71870.1,11488674.6,5980.2,4010.8,12008.3,258990.9,15182,1278,2155.8,2105.6,4720897,112.5,120,1243,270,61069.9,220.2,0,0
"20",35.4,10930.2,3429,71906,12503396,0,3549.4,11431.3,258990.9,16104.8,1042.4,1744.4,2165.8,4867556.2,187.5,200,1383.4,380,79082.3,576.3,0,0
"21",37.1,10468.8,2647,71870.1,16421700.4,0,3634.8,11381.5,251778.7,16505.6,1263,2145.2,2446.2,4940504.3,162.5,300.4,1403.2,500,57481.8,551,0,0
"22",38.9,10549,2286,68282,12064532.4,0,3459.5,10609,240978.5,15804,1754.5,1528.8,1564,3886016.5,200,200,1323.2,290,64693.9,280.4,0,0
"23",40.7,11311.2,1483.8,61105.8,9117641.5,7176.3,3609.5,11857.5,244602.5,15843.6,1223,1624,2130.5,4145159.8,175,25,1303.2,260,53857.8,581,0,0
"24",42.4,10789.6,1323.2,61105.8,6087972.3,0,4737.8,9084.6,240978.5,16786.6,952.3,1554,1423.6,3094924.2,112.5,100,1403.4,275,25116.9,280.4,0,0
"25",44.2,11852.8,1142.6,68282,6534155.5,5980.2,3785.3,13136.3,251778.7,16084.4,1278,1343,1283.2,3383647.1,125,180,1022.4,230,32293.1,375.3,0,33.3
"26",46,9987.4,1443.8,61069.9,8552727.3,5980.2,4035.8,12785.3,248190.6,16385.4,751.5,1644,1784.6,4159130.6,237.5,100,1102.8,290,57445.9,460.8,0,0
"27",47.7,10548.8,1604,64693.9,7764739,8970.3,3759.8,11431.5,244566.6,16064.6,1077.5,1323.2,1363.2,2398701.9,200,225,1584,470.2,40411.3,521.2,0,0
"28",49.5,9867,1423.4,61141.7,2576166.6,4485.2,3634.8,11481.8,226626,14901.2,1042.2,1423.2,1428.5,2279800.1,50,175.3,1263.2,275,28705,420.8,0,0
"29",51.3,10128,1403.6,68282,8059790.4,7176.3,4286.5,11682.3,244566.6,14961.2,1052.5,1884.8,1744.4,3328423.5,150,60,761.4,230,46645.6,340.6,0,0
"30",53,11110.6,1664.2,64729.8,8408914.8,4485.2,3890.4,13387,237354.5,14761,841.6,1644.4,2381,3171720,62.5,75,1543.8,350,50269.6,360.8,0,0
"31",54.8,9767,1383.4,64693.9,9182478.9,4485.2,3684.8,12259,240978.5,15081.8,942.2,1654.3,1583.8,3721559.9,112.5,300.3,1202.6,280,53857.8,500.8,20,0
"32",56.6,9827.2,2045.2,61069.9,9221948.8,5980.2,3885.5,10554.3,240978.5,15262.4,1022.4,1929.8,1584,4000747.8,262.5,160,1263,275,53893.6,340.4,0,0
"33",58.3,10408.6,1945,64693.9,8970133.8,5980.2,4361.8,11381.5,244566.6,14801.2,1062.4,1453.5,1583.8,4983296.5,125,100,1222.8,370,53857.8,180,0,0
"34",60.1,10368.4,1824.6,64693.9,8657105.6,4485.2,3935.5,12283.8,237390.4,14760.6,1122.6,1905,2155.5,3468308.4,62.5,250.3,1202.8,330,50269.6,400.8,0,0
"35",61.9,9847,1864.4,61105.8,9103360.6,8970.3,3735,9526.2,248190.6,14680.6,1182.6,1724.4,1704.4,6366841.4,137.5,100,1102.6,200,61069.9,340.4,0,0
"36",63.6,10388.8,1503.8,68246.1,9704227.8,0,2967.8,12760.3,251814.6,14981.4,701.4,1283.2,2085.4,4100974.8,112.5,100,1644,380,46645.6,220,0,0
"37",65.4,9506,1845,64693.9,8671458.5,3588.1,4086,11381.3,237390.4,15683.6,902.2,1628.8,2265.8,3972467.4,150,60,1564,330,53857.8,240.2,0,0
"38",67.2,10007.6,1584.2,61105.8,10017076.9,8970.3,3509.4,10654.3,240942.6,15884,1202.8,1463.8,1904.8,3380940.3,287.5,160.2,1243,230,53857.8,240.2,0,0
"39",68.9,11110.6,2045.4,68282,9704120.6,0,3449.2,12710.3,233802.2,15583.2,902,2105.4,2004.8,3499181.5,75,60,1243,350,50233.8,200.2,0,0
"40",70.7,10228.2,1804.6,64693.9,9070852.3,4485.2,4412,11707.3,240978.5,15242,821.8,2105.5,2185.6,3402774.3,112.5,100,1443.4,320,53857.8,375.3,0,0
"41",72.5,10047.8,1523.8,61105.8,9898345.5,0,4186,12384.3,233802.2,14760.8,977.3,1664,2265.8,3539586.3,212.5,225,1142.8,400,53821.9,380.6,0,0
