"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,NA,0.000293316410817352,0.00707173185099586,1,NA,NA,NA,0.0280558517944076,NA,NA,8.26902501227359e-05,0.000100108928690323,0.36662459240574,1.08538430515483e-05,NA,NA,NA,0.00606863213478294,NA,0,0
"2",30.1,NA,0.000245610054097432,0.00751711864572254,1,NA,NA,NA,0.0320202345229283,NA,NA,5.82577727818132e-05,0.000117638833031812,0.42691691675414,2.30428653769831e-05,NA,NA,NA,0.00637514375874793,NA,0,0
"3",31.8,NA,0.000181130276390525,0.00745329084492875,1,NA,NA,NA,0.0295614356638964,NA,NA,0.000103349680039246,0.000114745101599026,0.45384292391586,7.08755531867345e-06,NA,NA,NA,0.0076440334281034,NA,0,0
"4",33.6,NA,0.000158009936627562,0.00619011717546788,1,NA,NA,NA,0.0214671884536803,NA,NA,NA,8.57584459308342e-05,0.37643838542929,NA,NA,NA,NA,0.0063420244024835,NA,0,0
"5",35.4,NA,0.000174807962855629,0.00519165651428401,1,NA,NA,NA,0.0206141980878184,NA,NA,9.1643616194428e-05,8.03484412963657e-05,0.389304450970329,4.67851441430785e-06,NA,NA,NA,0.00807047943593268,NA,0,0
"6",37.1,NA,0.000178997673476715,0.00526996649398279,1,NA,NA,NA,0.0206437383415344,NA,NA,NA,9.40305094100712e-05,0.30310499243828,1.34843710490722e-05,NA,NA,NA,0.00596335608918896,NA,0,0
"7",38.9,NA,0.000125394486611021,0.0064922843402893,1,NA,NA,NA,0.0239280822357085,NA,NA,NA,0.000114162455460397,0.312294957549067,8.69719060000574e-06,NA,NA,NA,0.00556826745636871,NA,0,0
"8",40.7,NA,0.000118195797864937,0.00648378428229517,1,NA,NA,NA,0.0277161501150231,NA,NA,NA,6.00240737951395e-05,0.308630849373294,1.26132818586998e-05,NA,NA,NA,0.00421553523845299,NA,0,0
"9",42.4,NA,8.74736718659956e-05,0.00680478189966445,1,NA,NA,NA,0.0265616030189748,NA,7.26216076832849e-05,7.24129168531053e-05,7.72688303311757e-05,0.291792277887443,9.6544019626014e-06,NA,NA,NA,0.00416284282738651,NA,0,0
"10",44.2,NA,0.000131816491794676,0.00766966395658688,1,NA,NA,NA,0.0323193059520406,NA,NA,9.69090780311225e-05,NA,0.352167475406289,6.53559187137566e-06,NA,NA,NA,0.00547158643459591,NA,0,0
"11",46,NA,9.47637605806018e-05,0.00820621732049191,1,NA,NA,NA,0.0320698436953295,NA,NA,NA,0.000181457770893695,0.389804771535105,8.27436883045228e-06,NA,NA,NA,0.00697265148444054,NA,0,0
"12",47.7,NA,8.84563388435647e-05,0.00901599255951584,1,NA,NA,NA,0.0362931491617443,NA,NA,NA,0.000181688554265627,0.380521759464034,2.34708678297826e-05,NA,NA,NA,0.0058655757069962,NA,0,0
"13",49.5,NA,0.000184921926539594,0.00933854959718966,1,NA,NA,NA,0.0353637422372747,NA,NA,NA,0.000109933825491453,0.323782653380121,0.000287883916527085,NA,NA,NA,0.00461210670909481,NA,0,0
"14",51.3,NA,0.000128849699696344,0.0105015309631042,1,NA,NA,NA,0.042273063908904,NA,NA,NA,0.000126776298527362,0.394238259052112,NA,NA,NA,NA,0.00683202925211376,NA,0,0
"15",53,NA,9.28995334452156e-05,0.00828369413652108,1,NA,NA,NA,0.0318637654392929,NA,NA,NA,0.000113252334598509,0.342719999731404,1.1759585779518e-05,NA,NA,NA,0.00654459589950051,NA,0,0
"16",54.8,NA,0.00010885352414519,0.00757086485230272,1,NA,NA,NA,0.0323881840429218,NA,NA,NA,0.000134602786669441,0.414727634897027,2.79947413967162e-05,NA,NA,NA,0.00731339542757993,NA,0,0
"17",56.6,NA,0.000128404089677954,0.00718166018466429,1,NA,NA,NA,0.0297929347926819,NA,NA,NA,0.000144607380608759,0.433855167382022,1.23999006512356e-05,NA,NA,NA,0.00738853256747894,NA,0,0
"18",58.3,NA,0.000109272252085142,0.00661071800738022,1,NA,NA,NA,0.0241413634196089,NA,NA,NA,9.06028290937927e-05,0.348455449074585,1.44799431091765e-05,NA,NA,NA,0.00572258479790354,NA,0,0
"19",60.1,NA,0.000128660012707196,0.00764013605471073,1,NA,NA,NA,0.0307547500310412,NA,NA,0.000103225352696489,0.000153962557645193,0.432438691423551,8.18277279455518e-06,NA,NA,NA,0.00737550789172998,NA,0,0
"20",61.9,NA,0.000165416122568891,0.00715868132834769,1,NA,NA,NA,0.0283869682360324,NA,NA,NA,0.000166468789385717,0.577673540697944,NA,NA,NA,NA,0.00693385587517544,NA,0,0
"21",63.6,NA,0.000113338673029119,0.00660383485658521,1,NA,NA,NA,0.0261867852068722,NA,NA,NA,0.000133938038734582,0.525404149395544,1.20949530713509e-05,NA,NA,NA,0.00599822220918505,NA,0,0
"22",65.4,NA,0.000101089645463651,0.00634432658174338,1,NA,NA,NA,0.0224854253200659,NA,NA,4.86877165933253e-05,0.00013001144559041,0.326713882901123,4.54699006112068e-06,NA,NA,NA,0.00515452890243133,NA,0,0
"23",67.2,NA,8.93897324690325e-05,0.00615779293298517,1,NA,NA,NA,0.0240540229408655,NA,NA,NA,0.000157458632683867,0.672825888851255,6.20526006541691e-06,NA,NA,NA,0.00522905332032484,NA,0,0
