"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,-1476.4,2666.275,64282.7375,9090098.275,2317.3125,-820.3125,592.775000000001,255030.45,-1218.25,6.22500000000014,751.6625,910,3332653.575,98.6625,-38.0875,258.175,120,55164.4625,52.2,0,0
"2",30.1,-1075.6,1984.275,60730.5375,8078964.875,822.3125,-991.3125,317.275000000001,258690.35,-456.25,187.025,470.6625,950.4,3449046.775,186.1625,-58.2875,458.975,110,51504.5625,-108.4,0,0
"3",31.8,-1476.8,1563.075,64318.6375,8629562.275,-3662.8875,-419.3125,1721.075,255102.25,-1399.05,146.625,891.8625,990.2,3916465.775,61.1625,27.0125,-22.825,-20,65964.6625,-98.3,0,0
"4",33.6,-1777.6,1824.075,71459.0375,11544052.475,-3662.8875,-1572.5125,422.175000000001,247818.35,-817.25,-129.175,129.8625,990,4345624.475,11.1625,21.9125,398.375,90,73212.6625,72,0,0
"5",35.4,-1476.6,2285.275,67870.8375,13073060.075,822.3125,-1351.9125,1044.075,269490.65,-15.25,-214.175,1198.0625,1050.4,5089400.475,61.1625,-98.2875,37.575,170,105505.8625,101.9,0,0
"6",37.1,-995.200000000001,2305.275,67870.8375,12878798.675,5307.4125,-1773.3125,1344.775,265866.55,-1539.45,246.825,290.4625,1211,3903628.175,173.6625,1.91249999999999,218.175,-30,76800.8625,92.2,0,0
"7",38.9,-1215.8,1242.275,64318.6375,9906934.775,-3662.8875,-1732.9125,-1402.825,237053.95,887.349999999999,-73.775,350.4625,1131,3093885.775,86.1625,-38.2875,-62.625,-50,55164.4625,-168.6,0,0
"8",40.7,-2339,1041.675,57142.4375,8813130.575,-3662.8875,-1722.8125,1470.275,244266.05,-1017.65,347.425,330.4625,529,2720003.975,111.1625,-78.2875,-62.825,-30,37152.0625,112,0,0
"9",42.4,-2078.4,780.675,60730.5375,8924685.375,2317.3125,-519.5125,1645.775,237053.95,-2161.05,648.125,646.2625,689.6,2604154.275,86.1625,-123.2875,-62.625,70,37152.0625,31.8,0,0
"10",44.2,-1235.8,981.475,57106.5375,7445767.875,2317.3125,-1322.0125,743.275000000001,240642.05,-1880.25,196.825,721.5625,228,2622157.275,48.6625,2.01250000000002,77.9749999999999,40,40740.1625,32,0,0
"11",46,-2078,700.475,60658.7375,7391802.475,3513.4125,-670.0125,-159.424999999999,237053.95,-1599.65,-73.775,345.2625,1341.3,2881359.875,61.1625,-98.2875,-243.425,-80,51540.4625,102.2,0,0
"12",47.7,-1135.6,560.275,57106.5375,6333915.775,822.3125,-945.8125,768.275000000001,229877.75,-1539.45,-93.775,149.8625,1150.8,2410192.775,148.6625,-73.2875,-263.025,-30,37152.0625,152.4,0,0
"13",49.5,-2218.6,1201.875,60694.6375,6499364.475,-3662.8875,-1647.8125,618.075000000001,229841.85,-476.25,-294.575,89.6625000000001,714.5,2104381.475,1871.0625,-98.2875,-123.025,60,29975.7625,51.8,0,0
"14",51.3,-2399.2,700.675,57106.5375,5437924.975,-3662.8875,-1472.3125,1671.075,229877.75,-917.65,46.2250000000001,350.4625,689.4,2143838.075,23.6625,-48.2875,197.975,100,37152.0625,26.9,0,0
"15",53,-1336.2,680.675,60694.6375,7327001.275,-3662.8875,-1271.9125,1871.275,233465.85,-1760.05,26.2250000000001,210.0625,829.8,2511109.875,86.1625,41.9125,-42.825,30,47952.2625,-108.4,0,0
"16",54.8,-433.6,821.075,57106.5375,7542934.475,-3662.8875,-594.8125,918.775000000001,244301.95,-1880.05,-53.9749999999999,149.6625,1015.3,3128263.375,211.1625,-38.0875,-102.825,-140,55164.4625,-48.3,0,0
"17",56.6,-1978,1021.675,57142.4375,7956716.975,5307.4125,-619.8125,993.775000000001,237053.95,-636.85,-294.575,144.7625,1150.6,3452062.775,98.6625,-58.2875,-403.625,-70,58788.4625,-48.3,0,0
"18",58.3,-1958,1121.875,67870.8375,10266787.575,822.3125,-1271.5125,1445.275,247854.25,265.75,-93.775,270.0625,930.2,3577518.075,148.6625,41.7125,137.775,-140,58752.5625,-23.1,0,0
"19",60.1,-2579.8,961.675,57106.5375,7474544.575,-3662.8875,-1146.5125,1470.275,229877.75,-1278.65,247.125,771.5625,1150.8,3232282.275,61.1625,52.0125,17.7749999999999,20,55128.5625,31.8,0,0
"20",61.9,-1897.8,1402.475,60694.6375,8478466.175,-3662.8875,-1798.0125,1821.275,240677.95,-436.25,227.025,290.4625,1411.4,4897785.575,11.1625,-98.2875,37.575,-10,58788.4625,-68.2,0,0
"21",63.6,-2138.6,1041.675,60694.6375,9190816.975,-3662.8875,-1447.3125,1996.775,240677.95,-1118.05,-254.375,345.2625,1231,4828893.375,111.1625,62.1125,97.9749999999999,80,55128.5625,-208.4,0,0
"22",65.4,-1456.6,1081.875,67897.8375,10702134.675,-3662.8875,-1397.0125,-259.624999999998,240642.05,-375.85,347.125,521.0625,1391.4,3496535.975,48.6625,-131.5875,478.775,-30,55164.4625,51.8,0,0
"23",67.2,-1817.6,881.075,60694.6375,9856557.075,-3662.8875,-720.0125,1044.075,237089.85,-1098.25,-29.175,245.2625,1552,6631746.775,61.1625,-48.2875,-43.0250000000001,-10,51540.4625,71.8,0,0
"24",68.9,-2379.2,1442.475,60694.6375,8820342.575,-3662.8875,-519.8125,-179.224999999999,244266.05,-376.049999999999,-134.175,330.2625,1050.6,3512663.175,11.1625,-22.9875,-42.425,20,62376.5625,31.8,0,0
"25",70.7,-2118.4,1202.075,60694.6375,8557656.175,-3662.8875,-820.3125,693.275000000001,237053.95,-2261.45,146.825,230.0625,829.8,3456787.375,61.1625,177.2125,77.575,60,55164.4625,31.8,66.7,0
"26",72.5,-2780.4,1322.275,57034.7375,9194476.875,-3662.8875,-1045.8125,1284.775,237089.85,-697.049999999999,-33.775,-90.5374999999999,890,3534543.775,23.6625,41.9125,-163.225,30,51540.4625,32,20,0
"27",74.2,-2579.8,1402.475,57070.6375,9673024.975,2317.3125,-845.3125,818.775000000001,233501.75,-1037.65,-129.175,470.8625,1171,3402901.275,148.6625,-98.2875,97.9749999999999,10,62340.6625,152.4,0,0
"28",76,-2158.6,1182.075,57106.5375,9550741.475,9792.6125,-1146.5125,1.17500000000109,226253.65,-2481.85,-78.875,851.8625,1391.5,3858540.675,36.1625,68.7125,-363.425,50,58752.5625,112.4,0,0
"29",77.8,-3341.8,1141.875,57070.6375,9449950.575,-3662.8875,-1552.5125,2047.075,240677.95,-1479.25,-13.7749999999999,420.7625,1271.2,4485114.975,48.6625,35.4125,-183.225,-20,69552.7625,32,0,0
"30",79.5,-2118.6,840.875,60694.6375,11054668.475,-3662.8875,-1772.9125,2072.275,233501.75,-1178.45,186.625,-30.5374999999999,1251.2,4448648.275,36.1625,2.11250000000001,-2.42499999999995,50,58752.5625,-48.2,20,25
"31",81.3,-2258.8,820.875,60658.7375,9136994.475,7101.5125,-1091.1125,1019.275,233465.85,-1819.85,6.22500000000014,149.8625,1130.8,3810986.975,136.1625,2.01250000000002,-423.825,20,62376.5625,-28.2,0,0
"32",83.1,-1416.4,1222.275,60658.7375,10525742.675,-3662.8875,-945.5125,1370.075,233465.85,-1439.05,86.2250000000001,771.7625,930.2,3643718.775,148.6625,-23.2875,-17.825,40,58752.5625,-173.3,0,0
"33",84.8,-2138.6,1482.875,57106.5375,8877824.775,822.3125,-1071.0125,2247.575,233465.85,-2862.85,166.625,220.2625,1050.4,3800723.575,86.1625,-23.2875,-22.625,100,58788.4625,-28,0,25
