"","","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,0.0623856743554489,0.0634657240205589,NA,1,0.0123716320436086,NA,0.0236431844929926,0.444852620806925,0.0671588356574436,0.0761058197745856,NA,0.263884924162331,0.0939449388997444,0.2695835849654,0.028453913482868,0.0175007464762242,0.114377830598181,0.427953811795197,NA,0.39961128408593,0.425032845737119
"2",31.8,0.0708976702258172,NA,NA,1,NA,0.254673410017022,0.0250826811475324,NA,NA,NA,NA,0.250154775575825,0.084155397342918,0.228151367111022,0.0227863134279641,0.0210103171097553,0.108526825333095,0.351206269814579,0.262786307218745,0.325345439793541,0.4171546832913
"3",33.6,0.0721301944526975,0.0976664279162283,NA,1,0.0154818872083496,0.270361882544764,0.0243025616663055,0.451078305399754,0.0742200601992027,0.0846363171396152,NA,0.266472802521465,0.0827785563057353,0.254797075358526,0.0253203025767345,0.0202736244191073,0.106384866168118,0.3981371406169,0.301073435660404,0.348669345633169,0.448542004174337
"4",35.4,0.0685497598491818,0.0683360301658135,0.0816481668978205,1,0.0154540824191982,0.271829856122054,0.0252827310151201,0.430020206684952,NA,NA,NA,NA,NA,NA,0.0297238603627309,NA,0.125126605510727,0.437267199503061,0.351431903408401,0.443185009129706,NA
"5",37.1,0.0691118177174701,0.0441364182539698,0.0597017783921475,1,0.0132744540067722,0.265599899431713,0.0244105309868743,0.342401787723551,0.0645199379960738,0.0626412754442887,0.0257035566798505,0.235347850748697,0.077656889924231,0.220313677288931,0.0227499070923132,0.0172132714714681,0.0891546074447293,0.295519536577021,0.206136260623154,0.259062246948109,0.29432448165582
"6",38.9,0.0732278688990463,0.0483145525888696,0.0737924799233959,1,0.0122070138115572,0.262002345701813,NA,0.359733304504163,0.0733114981334077,0.0662793322669598,0.024678984157248,0.232490877732211,0.0764756691903834,0.237338059312353,0.0232219651182589,0.0188926887526479,0.0943142115890457,0.327034312572677,0.257905703359936,0.32874697504409,0.410607058738927
"7",40.7,0.0646389116270707,0.0394512367283776,0.0621338791157031,1,0.0123247445542704,0.277429431391142,0.0230693457997286,0.349613666305967,0.0615925501300588,0.0686035144681721,0.0250727439555231,0.250713295175516,0.081176213927834,0.256384936056442,0.0283968185612483,0.0187282667185566,0.124163152685428,0.434856774443199,0.286365473311375,0.373170227051948,0.438788079057056
"8",42.4,0.0675230093209691,0.035742548798835,0.0630352005145935,1,0.0122606288125828,0.281474011357874,0.0233123147471775,0.357622604480693,0.0637683377770521,0.0689551042288645,0.0263612412039795,0.267778574361837,0.0899745140070554,0.255896566567524,0.0275095819241276,0.0187022171654553,0.114865032275093,0.408236361446103,0.291724579293654,0.375359746104091,0.460146494255328
"9",44.2,0.0742958291867768,0.0320337175817613,0.0575413376819617,1,0.0118400949615247,0.255820192423915,0.0206493977912009,0.309126506355896,0.0547534677716548,0.0538784771770083,0.018262216838056,NA,NA,NA,NA,0.0125271667233429,0.0824758533429399,0.315179115391756,0.237005524712036,0.311732673079833,0.375734601127435
"10",46,0.072225444133364,0.030234928259759,0.0631272685608138,1,0.0127963571753986,0.259605640033499,0.0209421282898851,0.346466863311276,0.0590417269129689,0.0601030329571254,0.0209800843288553,0.228130522543729,0.0751567150877814,0.244212956699299,0.026108817639489,0.0167292428346147,0.11186238221652,0.421894432928019,0.299754468417136,0.411787351881292,0.494728553548641
"11",47.7,0.0696672705692447,0.0243360367050185,0.0538820110165291,1,0.0133155134461658,0.263431545692787,0.0234636391171065,0.327803976631867,0.0599469251207441,0.0668814182945926,0.0194463201475963,0.257104630071072,0.0808008927134988,0.254478390019381,0.0277305409945737,0.0165453952461516,0.112656409175479,0.407909995586216,0.268441781157487,0.359355163193415,0.423241411408376
"12",49.5,0.0711857389353348,0.026688148721921,0.0588719057667139,1,0.0133442453056973,0.26520167739523,0.0230700734528166,0.332884643286413,0.0627435561847272,0.0670780352039317,0.020668834103475,0.260349056331633,0.0852661919388873,0.257633355591763,0.0264509586260317,0.015893458692807,0.103209748123614,0.356612995005208,0.251127113437859,0.33943662170464,0.393044891156281
"13",51.3,0.067379422028363,0.0241032054417807,0.0587445143015681,1,0.0113895449078491,0.275383796782476,0.023207081929822,0.334953329713903,0.0606264870246204,0.0636420935009705,0.0185141641216232,0.237829291529602,0.0776636260633679,0.22778064391738,0.0217003482198636,0.0129701532472072,NA,0.285739427660653,0.208003007522166,0.278124686666824,0.321445933699148
"14",53,0.0617489367444059,0.0306615193303787,0.0613759054948129,1,0.0121520423993486,0.272177143863226,0.0237354525906673,0.365349781917718,0.0662056013639285,0.0698109707486531,0.0215428077667317,0.278604629850167,0.0929022663293581,0.292438882675861,0.030580626641246,0.0187977398558401,0.126884978674249,0.460864163399752,0.326643924682742,0.430572975556445,0.518231564853542
"15",54.8,0.0713978390735916,0.0395809411133321,0.0604918782390661,1,0.0138997019369615,0.270462132687413,0.0237516659698944,0.33558519533523,0.0594394835318175,0.0653132464344949,0.0207867086725678,0.245857750778106,0.07927705664207,0.246877520573317,0.0270932820166674,0.0140463499122008,0.100780161153053,0.337878914297408,0.2297273504892,0.303895837802989,0.357208520613834
"16",56.6,0.0736948081343517,0.0269934441037406,0.0730125077316219,1,0.0120893221519456,0.282561823740655,0.0218799808740511,0.380831630309043,0.0608549003147652,0.0679011292320176,0.0214683157130152,0.241761012093105,0.0803665104596362,0.25690995176832,0.0277956579048498,0.0166009265672604,0.112262218068041,0.399926142569113,0.284712160695855,0.386611344281038,0.457874984369702
"17",58.3,0.0664164219165183,0.0296528703498725,0.0658797382387061,1,0.0103509095114299,0.277688047362464,0.0219239328866986,0.354777486914855,0.0576596370566324,0.0608885222281858,0.0197737828513332,0.245936864400956,0.0793109043866742,0.246777016437737,0.0255212778526613,0.0151320565447903,0.108029686539901,0.393164774406045,0.275123687526039,0.374460902295599,0.442973696164626
"18",60.1,0.0615542827076671,0.0229089104258431,0.0610787523029922,1,0.0118421674195256,0.271188202846323,0.022237829406056,0.348926748092224,0.0630583669603356,0.0588826205345526,0.0186614560148554,0.247591295924197,0.0807083822144001,0.246471707763881,0.0263048257196579,0.0136721808913391,0.0995368489180483,0.358628277770028,0.229011833531832,0.324431883297914,0.377280258351495
