"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",28.3,84919.425,458477.525,98201.925,1352123.9375,20445.1375,375811.6625,30685.875,629005.025,86757.2,83477.2125,65543.825,321288.45,104123.15,338200.2375,41969.7,26972.975,125370.875,487087.625,317205.95,346820.4625,391392
"2",30.1,90716.225,72564.125,91420.025,1354078.9375,16040.8375,376134.0625,30425.275,599167.425,82545.6,77962.0125,42880.825,324800.45,107352.35,342306.2375,33325.3,25047.775,130876.475,471141.325,287721.95,355863.6625,386979.2
"3",31.8,93062.625,95974.325,84787.025,1277086.6375,18910.2375,356418.8625,30044.275,533456.725,76549.2,83758.8125,46289.825,315310.05,103040.75,342331.2375,32543.3,27013.375,122218.075,469083.125,290149.95,344593.2625,355211.2
"4",33.6,84538.625,45488.725,83796.025,1406505.5375,16736.1375,372402.8625,30084.275,600026.525,79918.8,77701.4125,34537.425,332080.45,104343.55,353778.2375,32503.1,30342.375,120926.875,492994.325,279599.55,357508.4625,354086.4
"5",35.4,85983.025,43984.325,79167.825,1340833.8375,20140.4375,383274.8625,30585.675,507001.025,91069.2,74632.8125,36482.825,309374.05,101195.55,357833.2375,31580.5,24706.575,124670.875,483974.525,284875.55,351530.8625,356252.8
"6",37.1,87125.825,36242.925,85859.125,1324472.8375,19167.0375,373884.4625,29502.875,511821.925,75826.8,71965.6125,35339.625,308333.25,104965.95,356932.7375,33927.3,25388.375,126352.475,471359.125,271117.15,351711.6625,367684.8
"7",38.9,84017.425,36944.725,82273.025,1369396.3375,19150.2375,374186.8625,28279.475,486728.025,77250.8,80549.8125,32090.625,310036.45,102939.55,350163.7375,31640.5,23202.375,118444.475,446301.225,249917.15,342526.0625,336699.2
"8",40.7,82472.625,40935.925,77749.425,1230398.9375,19755.6375,347615.6625,27015.675,459756.025,73179.2,72847.6125,29082.025,299246.05,96742.75,330318.2375,29875.7,20695.575,109956.075,419899.725,262873.95,337252.4625,326870.4
"9",42.4,78863.025,32131.325,79571.025,1215708.8375,12260.2375,333633.2625,25892.475,463240.725,69810,67373.0125,31408.425,283442.85,92210.75,334222.7375,29093.5,20254.175,108404.475,429385.625,229902.75,323714.0625,324805.6
"10",44.2,77559.625,23968.325,79463.025,1228357.1375,19333.9375,341596.4625,25792.275,466202.025,77190.4,65006.4125,30666.425,278890.85,90024.75,326564.2375,28491.7,19532.175,104800.475,404063.625,232268.35,318120.4625,306034.4
"11",46,74410.225,31629.725,74236.225,1149784.1375,19743.9375,335941.2625,26453.875,438649.425,67965,64765.6125,28139.225,278590.85,86855.55,326540.2375,27850.1,20073.575,105791.675,405757.525,226293.15,318701.2625,307456.8
"12",47.7,72665.625,44205.125,77108.325,1189328.2375,16058.0375,322724.4625,24348.075,455301.725,67724,64083.4125,31228.225,270427.65,90324.35,323699.2375,28912.9,19271.575,101407.675,410207.725,216565.15,303116.4625,303526.4
"13",49.5,74531.025,23246.325,72762.225,1138857.3375,12322.7375,323746.8625,26654.475,451042.225,64435,61817.4125,27577.825,270368.45,82403.15,312914.2375,27488.9,18409.175,107123.275,395543.625,221899.55,305182.0625,293136.8
"14",51.3,70399.225,21661.725,76812.125,1116587.7375,12403.9375,305978.0625,22743.875,428469.325,59441.2,60634.0125,26073.625,259777.25,82001.55,313676.7375,25363.1,16924.975,98865.275,387042.825,215803.55,301091.6625,295240.8
"15",53,68072.425,22684.725,73301.125,1103839.9375,12425.2375,307040.4625,22803.675,421822.025,61647,58407.8125,24649.625,252859.65,80858.35,300100.2375,28010.5,18047.975,98774.475,373249.225,213375.55,298506.0625,287340.8
"16",54.8,68192.825,27658.925,75557.725,1088674.1375,11299.8375,304654.0625,22843.875,414660.325,60003,60192.2125,24028.025,244594.85,81379.55,296910.2375,27369.1,16142.775,95201.675,366822.325,207440.35,290843.6625,283630.4
"17",56.6,66248.025,21180.725,75654.125,1068809.4375,11316.2375,296651.6625,23525.675,411576.025,61045.8,59110.0125,23706.825,249207.65,80377.55,299975.2375,24761.3,17145.575,97002.875,370884.625,210046.75,283985.2625,272479.2
