"","Temps","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",30.1,109517.925,111413.95,188191.925,1755497.975,21718.375,429796.5875,41505.5625,780937.875,117897.2,133603.6125,71585.525,463249.45,164920.15,473253.4375,49950.7875,30722.525,200790.05,751272.05,685973.5875,701516.8,746144.3
"2",31.8,205526.325,645941.95,303361.925,2898915.075,56856.575,738276.5875,72712.5625,1464457.175,236306.4,291082.8125,131050.325,725177.45,243959.35,661391.4375,66055.5875,60907.125,314610.05,1018117.15,761795.1875,943148.8,1209296
"3",33.6,200571.925,271580.35,298513.825,2780692.975,43050.375,751793.3875,67577.9625,1254310.275,206383.2,235347.6125,105841.525,740979.05,230181.75,708512.4375,70407.9875,56374.725,295823.65,1107097.15,837192.7875,969542.4,1247257.6
"4",35.4,189479.925,188889.15,225685.525,2764122.375,42716.975,751370.9875,69884.5625,1188628.475,216352,247862.8125,108890.325,831417.45,274122.55,847547.4375,82160.3875,65419.525,345865.25,1208660.05,971400.7875,1225017.6,1551673.6
"5",37.1,279571.925,178541.15,241506.325,4045211.575,53697.975,1074407.7875,98745.7625,1385087.675,260996.8,253397.2125,103976.325,952031.85,314138.55,891215.4375,92028.1875,69631.325,360649.25,1195439.05,833864.7875,1047961.6,1190604.8
"6",38.9,189200.725,124831.55,190659.525,2583725.675,31539.575,676942.1875,69503.5625,929452.175,189416.8,171247.6125,63763.725,600692.65,197592.15,613216.4375,59999.1875,48813.525,243682.05,844966.95,666357.5875,849392,1060896
"7",40.7,205647.125,125513.15,197677.425,3181475.675,39210.875,882634.9875,73394.5625,1112287.375,195955.2,218260.4125,79768.325,797638.25,258260.15,815682.4375,90343.7875,59583.525,395022.05,1383486.25,911064.7875,1187232,1395993.6
"8",42.4,198467.125,105056.35,185276.325,2939251.775,36037.075,827322.9875,68520.7625,1051142.875,187431.2,202676.4125,77482.325,787068.65,264457.75,752144.4375,80857.5875,54970.525,337617.25,1199909.45,857451.9875,1103276.8,1352486.4
"9",44.2,246680.725,106359.95,191051.625,3320249.975,39312.075,849386.9875,68561.1625,1026377.275,181795.2,178890.0125,60635.125,656006.25,212310.55,654647.4375,65434.1875,41593.325,273840.45,1046473.45,786917.5875,1035030.4,1247532.8
"10",46,184507.125,77238.15,161264.925,2554600.075,32689.575,663188.5875,53498.7625,885084.275,150828,153539.2125,53595.725,582782.25,191995.35,623866.4375,66697.5875,42736.525,285763.65,1077771.55,765752.7875,1051952,1263833.6
"11",47.7,223695.125,78140.75,173010.125,3210906.975,42754.875,845854.1875,75339.5625,1052548.075,192484,214750.0125,62440.325,825539.05,259444.15,817106.4375,89040.1875,53125.725,361729.25,1309761.05,861941.5875,1153856,1358988.8
"12",49.5,208212.725,78060.75,172195.725,2924921.875,39030.875,775694.1875,67478.1625,973661.575,183520,196198.0125,60454.725,761500.65,249396.95,753557.4375,77366.9875,46487.125,301880.45,1043065.15,734527.1875,992825.6,1149625.6
"13",51.3,190966.325,68313.15,166493.325,2834193.575,32280.175,780490.9875,65773.3625,949322.575,171827.2,180374.0125,52472.725,674054.25,220113.75,645574.4375,61502.9875,36759.925,229038.85,809840.85,589520.7875,788259.2,911040
"14",53,146380.725,72685.55,145496.425,2370578.875,28807.375,645217.3875,56266.7625,866090.475,156945.6,165492.4125,51068.925,660454.25,220232.15,693249.4375,72493.7875,44561.525,300790.85,1092514.85,774335.1875,1020707.2,1228508.8
