"","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"NIST 612 -1.csv Mean",0.0671294178370247,0.0330312652828537,0.0668787054906531,1,0.012207339727431,0.266272841504429,0.0227812015656791,0.365071604644806,0.0626864970095795,0.0658319358845117,0.0198744995606555,0.253323343342584,0.0831364624360448,0.257759228027604,0.0270864226123091,0.0162461666529369,0.109050023917091,0.379082189775209,0.2655886858503,0.35297002918358,0.413335715783878
"NIST 612 -2.csv Mean",0.0661840433115826,0.0219420896310992,0.0181645606021278,1,0.0126617078052906,0.267962133045364,0.0227644845583411,0.266331820984705,0.0604765971356569,0.0630048867992874,0.0193440796524121,0.246161329599293,0.0816274204270142,0.259085228885862,0.0271657266295332,0.0161630957229788,0.109001867023906,0.390640637530341,0.263537158590138,0.357731335934784,0.413919432886678
"NIST 612 -3.csv Mean",0.0633559132521556,0.0257492984680562,0.0691320827104854,1,0.0125007917661974,0.276815026115847,0.0216294140696229,0.389297224765973,0.0568062447446424,0.0546581059957697,0.0237291850241949,0.232939006553108,0.0748123718207961,0.276081966772564,0.0246175770127042,0.016268179668153,0.0911428883405144,0.348026780927595,0.199778520334532,0.269108711889828,0.260915940976669
"NIST 612 -4.csv Mean",0.0625632057108867,0.0212408626810855,0.0207942414803965,1,0.0124001235037289,0.279948346691116,0.021323653347374,0.228407373204301,0.0574612573941294,0.0552157532114875,0.0240220279777842,0.233289352216399,0.0764020219660911,0.27703349123128,0.0243198953278769,0.0162672134884093,0.0886257652500468,0.341096357300387,0.195105068329827,0.25939901839205,0.253836712183434
"NIST 612 -1.csv SD",0.00478149671167474,0.0166962703748931,0.00838257137906288,0,0.00136680736732327,0.00818822352446943,0.00139986023813858,0.0341747310084639,0.00481283130648391,0.0060073803599117,0.0027310425147851,0.0150291474039011,0.00597601250089518,0.0202655229404911,0.00256961238318112,0.0021294370588171,0.0113386825581975,0.0464352370937743,0.0369894295832746,0.0440179373792706,0.0539784822626274
"NIST 612 -2.csv SD",0.00316317238648673,0.00131179972061262,0.00484623638964778,0,0.00142412222055321,0.00974485212746391,0.00124462756328314,0.0102170346569066,0.00353732453977357,0.00394089003532754,0.00165403921761798,0.0180114721160727,0.00709138760386519,0.0243654308935371,0.00285483560083856,0.00161471429286176,0.00971929495530406,0.0406113046318911,0.0258235562564851,0.0315324519496822,0.0417961225635409
"NIST 612 -3.csv SD",0.00198283311095584,0.0116010489844105,0.00527883729653874,0,0.00210324384156938,0.00505351715660758,0.000891206892553993,0.0143481602595801,0.00233785231555442,0.00199006584952373,0.0022294607581608,0.00506691263115727,0.00237218085769016,0.00767440268579153,0.000985519098115381,0.00128144679377257,0.00312028166372309,0.00813172250037839,0.00891194337782799,0.00828764847494425,0.00860526170740514
"NIST 612 -4.csv SD",0.00242446985406946,0.00370026248754386,0.00338870698738153,0,0.00170572791114042,0.00576780820957757,0.000924503089166383,0.010013236020032,0.00196438895707805,0.00197063834349043,0.00210306496466638,0.00696039336052081,0.00221149196074849,0.00941401290214916,0.000788070122910553,0.00136593546701675,0.0030180139462421,0.0089696674814766,0.00834434640373489,0.00547953679041386,0.00870154226314164
"Total Mean",0.0648081450279124,0.0254908790157736,0.0437423975709157,1,0.012442490700662,0.272749586839189,0.0221246883852543,0.312277005899946,0.059357649071002,0.0596776704727641,0.0217424480537617,0.241428257927846,0.0789945691624865,0.267489978729327,0.0257974053956059,0.0162361638831195,0.0994551361328895,0.364711491383383,0.231002358276199,0.309802273850061,0.335501950457665
"Total SD",0.00219318134293358,0.00540310869197789,0.028052144704699,0,0.000190215765900878,0.00666377980521692,0.000758793445500604,0.0771674782020672,0.00273491247868769,0.00559910958477322,0.00247554781689378,0.0100366694268947,0.00401244984355165,0.0104917144858909,0.00153936127419939,4.97597558619891e-05,0.0110991092642144,0.0239087969370446,0.0388083786822393,0.0527797443426692,0.0902582969926619
