Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;37564.8;1704.2;4461.3;0;0;16746.4;10288.2;7138.1;7640.8;2080.5;2380.8;3489.4;61170.6;75;25;220.2;450;0;520.8;0;0
3.5;42097.2;1744.4;5948.4;3569.1;4461.3;18852.5;10077.8;4461.3;7239.8;2065.2;1664;3108.2;62374.2;0;125;340.6;340;0;541.2;0;0
5.3;42638.8;1744.4;3569.1;5948.4;4461.3;16826.6;10549.2;7138.1;8423.2;1985.2;1543.8;3990.6;61130.4;75;150.3;300.4;400;5948.4;420.6;0;0
7.1;45366.6;1764.4;3569.1;0;0;17889.4;11130.5;8922.7;9305.8;2306;1644;3409.2;60067.4;25;175.3;300.4;330;4461.3;420.8;0;0
8.8;43561.4;1724.2;0;8922.7;8922.7;15543.2;9385.8;4461.3;9265.4;2406;1543.8;3509.2;58061.8;75;100;340.8;390;3569.1;521;0;0
10.6;43902.4;2005.4;4461.3;0;0;16445.6;9205.4;3569.1;9205.4;2025.2;1904.8;3870.4;60870;12.5;33.3;526;510;0;320.4;0;0
12.4;45246.4;1503.6;4461.3;0;0;16846.6;11607;3569.1;8523.4;1844.8;1804.8;3529.6;62133;75;40;340.4;440;3569.1;626.3;0;0
14.1;43200.6;2225.8;4461.3;0;7138.1;17107.4;9185.2;4461.3;8844.2;2045.4;1905;3689.8;62594.6;75;60;380.6;330;7138.1;501;0;0
15.9;43842.2;1864.8;0;8922.7;4461.3;16646;9225.4;8922.7;9105;2005.3;1584;4251.4;62755;112.5;180.2;300.5;400;0;460.8;0;0
17.7;44062.8;1784.4;10707.2;5948.4;0;17508.4;9827;3569.1;9185.2;2255.8;1945;3730;61411.4;25;180.2;350.5;312.5;3569.1;460.8;0;0
19.4;42137.4;1724.4;4461.3;0;0;18150.3;9125.2;8922.7;8483.4;1925;2005;3469.4;63156.4;62.5;267;375.5;440;0;400.4;0;0
21.2;43782.2;1784.4;5948.4;0;5948.4;18370.8;11281;3569.1;8984.6;2356.3;1704.5;3669.6;61110.4;100;175;400.8;500;3569.1;420.8;0;0
23;41736.4;1543.8;4461.3;4461.3;4461.3;16987;11933;8922.7;11431.6;10468.8;14620.4;37704.8;70978;9408.9;1162.8;3950.8;29929.2;4461.3;169612.8;91956.6;168750.4
24.7;85056.8;282446.4;8922.7;35690.6;7138.1;168972;23204.6;28552.5;72823.4;153989.6;64761;242756;162694.4;235332.3;21820.8;22803.4;131740;32121.6;397950.4;407256;462008
26.5;130725.2;203628.8;47327.5;1772045.7;35495.6;378275.2;42177.6;1239743.9;105855.2;164318.8;60669.2;438782.4;227855.2;467149.5;41114.6;29863;184712.8;1109061.4;536577.6;650291.2;763286.4
28.3;158863.6;165440.8;197504.2;1635650.7;21896.3;399894.4;46690.2;1028247.9;119634;134415.2;52646.8;478035.2;258340.8;548554;44303.4;29161.4;174201.6;607402;426249.6;578030.4;640467.2
30.1;152465.2;113216;192058.4;1757803;24841.3;446828.8;51684.2;786403;126453.2;135698.4;73384.4;466824;225970.4;473305;50039.4;31066.2;201188.8;754357.8;686457.6;701516.8;746144.3
31.8;248473.6;647744;307228.4;2901220.1;59979.5;755308.8;82891.2;1469922.3;244862.4;293177.6;132849.2;728752;305009.6;661443;66144.2;61250.8;315008.8;1021202.9;762279.2;943148.8;1209296
33.6;243519.2;273382.4;302380.3;2782998;46173.3;768825.6;77756.6;1259775.4;214939.2;237442.4;107640.4;744553.6;291232;708564;70496.6;56718.4;296222.4;1110182.9;837676.8;969542.4;1247257.6
35.4;232427.2;190691.2;229552;2766427.4;45839.9;768403.2;80063.2;1194093.6;224908;249957.6;110689.2;834992;335172.8;847599;82249;65763.2;346264;1211745.8;971884.8;1225017.6;1551673.6
37.1;322519.2;180343.2;245372.8;4047516.6;56820.9;1091440;108924.4;1390552.8;269552.8;255492;105775.2;955606.4;375188.8;891267;92116.8;69975;361048;1198524.8;834348.8;1047961.6;1190604.8
38.9;232148;126633.6;194526;2586030.7;34662.5;693974.4;79682.2;934917.3;197972.8;173342.4;65562.6;604267.2;258642.4;613268;60087.8;49157.2;244080.8;848052.7;666841.6;849392;1060896
40.7;248594.4;127315.2;201543.9;3183780.7;42333.8;899667.2;83573.2;1117752.5;204511.2;220355.2;81567.2;801212.8;319310.4;815734;90432.4;59927.2;395420.8;1386572;911548.8;1187232;1395993.6
42.4;241414.4;106858.4;189142.8;2941556.8;39160;844355.2;78699.4;1056608;195987.2;204771.2;79281.2;790643.2;325508;752196;80946.2;55314.2;338016;1202995.2;857936;1103276.8;1352486.4
44.2;289628;108162;194918.1;3322555;42435;866419.2;78739.8;1031842.4;190351.2;180984.8;62434;659580.8;273360.8;654699;65522.8;41937;274239.2;1049559.2;787401.6;1035030.4;1247532.8
46;227454.4;79040.2;165131.4;2556905.1;35812.5;680220.8;63677.4;890549.4;159384;155634;55394.6;586356.8;253045.6;623918;66786.2;43080.2;286162.4;1080857.3;766236.8;1051952;1263833.6
47.7;266642.4;79942.8;176876.6;3213212;45877.8;862886.4;85518.2;1058013.2;201040;216844.8;64239.2;829113.6;320494.4;817158;89128.8;53469.4;362128;1312846.8;862425.6;1153856;1358988.8
49.5;251160;79862.8;176062.2;2927226.9;42153.8;792726.4;77656.8;979126.7;192076;198292.8;62253.6;765075.2;310447.2;753609;77455.6;46830.8;302279.2;1046150.9;735011.2;992825.6;1149625.6
51.3;233913.6;70115.2;170359.8;2836498.6;35403.1;797523.2;75952;954787.7;180383.2;182468.8;54271.6;677628.8;281164;645626;61591.6;37103.6;229437.6;812926.6;590004.8;788259.2;911040
53;189328;74487.6;149362.9;2372883.9;31930.3;662249.6;66445.4;871555.6;165501.6;167587.2;52867.8;664028.8;281282.4;693301;72582.4;44905.2;301189.6;1095600.6;774819.2;1020707.2;1228508.8
54.8;225108;102786.8;158202.3;2553652.9;38585.9;707075.2;70777.4;861659.7;160206.8;168731.6;54833;630843.2;263313.6;629922;69213;36180.8;257524;865132.4;586598.4;775344;911363.2
56.6;176392.8;50681.4;136076.5;1813091;25014.1;528691.2;49798.6;695069.7;118751.2;125049.2;40673.4;441352;206576.8;465260.5;50420.6;30404.4;203681.6;727266.4;516036.8;700070.4;829113.6
58.3;183692;64640.2;143473.9;2121430.4;25057.8;605488;56638.2;757283.1;130744;131125.2;43702;524745.6;229120;523003;54171.4;32410.4;229327.2;836251.2;583505.6;793529.6;938716.8
60.1;198693.6;59766.8;158409.6;2532532.3;33086.3;703200;66445.4;888329.1;168108;151081.2;49016.6;630036.8;265260.8;623681;66645.8;34937.4;252249.6;910496.8;579936;820886.4;954604.8
61.9;179340;56798.4;136290.7;1981083.1;25053.4;546784;54391.8;721253.1;128638.8;130162.8;38427.2;497526.4;226111.2;526621;55514.8;32009.2;209948;732061.7;485934.4;693718.4;787900.8
63.6;156716.8;42197.6;135410.1;1800620.5;24891.6;493195.2;48194.4;663111.6;118069.6;120235.6;33794;457558.4;214840;493248.5;50821.8;29843;208256;709481.1;495323.2;674339.2;761968
65.4;159924.8;41756.2;131402.3;1762590.4;21262.5;476571.2;51182.8;646663.5;115923.6;122902.4;36922.6;461086.4;209585.6;459890.5;47051.2;28198.4;185673.6;632453.1;424684.8;585212.8;683628.8
67.2;142437.6;37103.4;133205.3;1599110;18985.9;422459.2;45968.2;635725.6;106416.8;99537.6;30404.6;402121.6;190050.4;426560.5;45205.8;24267.2;185583.2;696670.4;472760;657254.4;767302.4
68.9;168268.8;47853.4;142385.5;2192038.3;29147.5;610803.2;62454.2;799917.3;150620;142818.4;44223.2;586675.2;241172.8;586818;63677.6;34957.2;248936;894974.4;587718.4;828291.2;975001.6
70.7;194523.2;54311.6;140693.3;2126056.1;31592.8;574904;54432;735586.2;140150.8;136259.6;38547.4;527670.4;228357.6;530061.5;54773;30745.6;221049.6;735516.2;510360;695440;812483.2
72.5;162854.4;45948.2;136350.2;1884877.6;21483.8;516020.8;50240.4;685654.3;127776.4;127716.4;34776.8;506891.2;218870.4;528999;54692.6;28599.4;219627.2;732381.3;486256;673520;766620.8
74.2;163536;45527;131854.2;1879064.5;24891.6;561288;57540.8;745111.6;147049.6;144964.4;40131.8;568182.4;237884.8;545288.5;58784;30404.6;217244.8;748738.4;502481.6;730816;969164.5
76;179380;52025.2;133024.5;2082831.1;25112.5;579395.2;59084.8;740998.1;138346.4;144643.2;40934.2;570950.4;241955.2;557036;62193;32069.2;242470.4;820138.4;511569.6;684368;806992
77.8;154531.2;41856.6;123150.5;1514010.8;21947.3;398971.2;41054.6;542115.6;97652.8;91655.6;26012.2;346646.4;171298.4;345804.5;35519;21118.6;144042.4;478836.7;343636.8;465177.6;549812.8
79.5;122221.2;32771.4;114700.6;1370460.9;18470.3;378475.2;38607.6;555476.8;93982;88506.8;26152.8;367465.6;172902.4;357891.5;39169.2;22061;147154.8;514804.6;348771.2;460446.4;548008
81.3;121458.8;32590.8;121904.3;1411981.4;22117.5;373801.6;40753.6;572880.1;95246;92498;27717;361188.8;186640;411956.5;44885.2;25450.8;199577.6;765081.2;495763.2;699126.4;828332.8
83.1;204911.2;59004.8;140653.3;2399350.6;31575.9;635692.8;62955.4;756209.2;135477.2;141534.8;40352.6;571254.4;242796;559201;60709.4;31768.6;224552.8;763331;507979.2;693193.6;762284.8
84.8;166243.6;69213.4;131263.2;2037588.6;28320;559683.2;57841.4;759613.2;142196.4;144102.4;39811;590225.6;257938.4;601633;71138.2;37484.6;270357.6;908682.6;580497.6;780758.4;877913.6
86.6;167467.2;48394.8;129673.8;1834409.7;21564.4;470953.6;46228.8;626948.5;108803.6;101222.4;28318.8;373078.4;177656;366964.5;38607.6;24628.6;148856.8;479268.2;348030.4;450857.6;532406.4
88.4;121759.6;35699.4;117036.8;1391029.1;17695.3;403064;42338;567630.8;100199.6;102927.6;35859.8;414739.2;197872.8;481639;64439.6;31949;252190.4;855073.5;553843.2;738963.2;885792
