Temps;Li7;B11;Mg25;Ca43;Ti49;V51;Cr53;Mn55;Ni60;Cu65;Zn66;Rb85;Sr86;Y89;Mo97;Cd111;Sn118;Ba138;Pb208;Th232;U238
1.8;9225.2;220.2;0;3508.8;8771.9;2782.5;6066.3;7017.5;15442.8;621.2;1142.6;420.6;18270.6;37.5;225.3;1027.3;210;4385.9;220.2;0;0
3.5;7600.8;320.4;4385.9;3508.8;5847.9;2286;4612.2;13157.8;14500;927;1202.8;661;18290.6;57.1;150;841.8;275;8771.9;100;0;0
5.3;8162.4;240.2;5847.9;0;0;2882.5;5790.8;8771.9;15884.2;1027.3;902;681.2;18752;50;100;661.2;240;0;140;0;0
7.1;8944.6;525.8;8771.9;0;0;2165.6;5891;13157.8;13738;1002.3;922.2;701.8;19193.2;12.5;300.3;781.8;120;0;175.3;0;0
8.8;8001.8;250.3;5847.9;0;5847.9;2531.5;5539.8;14035;13777.8;877;1243;741.4;17107.4;12.5;200.2;601;300;4385.9;80;0;0
10.6;8503.2;425.5;3508.8;0;0;2045.4;5554.8;13157.8;14440;952.3;1002.5;681.2;17729.2;0;100;841.8;262.5;3508.8;175.3;0;0
12.4;8142.2;420.8;8771.9;4385.9;0;2682;4672.6;14035;13517.2;1202.8;1127.5;701.5;17488.4;62.5;50;621.2;240;0;50;0;0
14.1;8022;300.4;5847.9;8771.9;3508.8;2506.8;5715.3;13157.8;13878.6;776.8;922;641.2;17849.2;37.5;25;741.6;190;0;120.2;0;0
15.9;8242.4;400.8;7017.5;8771.9;8771.9;2983;5765.8;17543.8;12635;1122.6;942;641.2;16566;12.5;120;721.4;270;0;80;0;0
17.7;7761.2;425.8;8771.9;8771.9;0;3108.5;3970.8;13157.8;13457;882;721.4;641.2;16265;25;200.3;922;162.5;0;150.3;0;0
19.4;7159.8;300.4;11695.8;0;5847.9;2025;5239.3;13157.8;13758.2;1027.3;821.6;1077.3;16365.2;25;180;741.4;150;5847.9;100;0;0
21.2;7721.2;200;11695.8;5847.9;11695.8;2807.3;6267;21929.7;13156.2;561;821.8;877;81026;12.5;100;761.6;150;14035;125;0;0
