Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,396;267,0;534,3;347624,0;10492,0;66089,5;1140,2;833592,0;42034,0;2997,5;399,0;699,0;449,0;149,0;349,0;27985,5;0,0;0,0;23237,3;0,0;2197,5;0,0;49,5;149,0;49,5;0,0;0,0;0,0;0,0;0,0
2,789;0,0;334,0;364932,0;8743,5;72494,0;1207,2;788008,0;37084,5;2997,5;399,0;699,0;749,0;199,0;249,0;26635,5;149,5;99,0;26943,0;0,0;2447,5;99,5;0,0;249,0;0,0;49,5;0,0;0,0;0,0;0,0
4,183;133,3;601,0;350744,0;9343,0;69542,0;804,7;776664,0;37834,0;3347,0;99,0;449,0;749,0;199,0;299,0;26486,0;49,5;49,5;23826,8;0,0;1998,0;49,5;49,5;99,5;49,5;49,5;0,0;0,0;0,0;0,0
5,577;200,3;333,7;374096,0;10442,5;70042,0;972,5;756144,0;37234,0;2697,5;349,0;399,0;949,0;299,0;399,0;26436,5;199,0;99,5;25005,8;49,5;2397,5;0,0;0,0;49,5;0,0;49,5;0,0;49,5;0,0;0,0
6,970;0,0;267,3;371276,0;10442,0;68642,0;1073,0;777240,0;38784,0;3846,5;399,0;899,0;699,0;199,0;449,0;25285,5;0,0;0,0;22984,7;149,5;2297,5;0,0;0,0;99,5;49,5;0,0;0,0;0,0;0,0;0,0
8,364;200,0;601,3;373188,0;10592,0;70393,0;1073,0;766040,0;33584,5;3596,5;199,0;499,0;699,0;299,0;499,0;26285,5;49,5;99,0;20963,5;0,0;2247,5;99,5;0,0;49,5;149,0;49,5;0,0;0,0;0,0;0,0
9,758;200,0;401,0;383556,0;10042,5;73294,0;838,2;769824,0;34584,5;2997,0;399,0;549,0;549,0;299,0;399,0;27885,5;49,5;99,0;22900,5;0,0;2547,5;0,0;49,5;299,0;49,5;0,0;0,0;0,0;0,0;0,0
11,152;267,0;668,0;404000,0;10392,5;71743,0;838,2;760632,0;37084,5;3047,0;349,0;799,0;549,0;249,0;199,5;27235,5;149,0;0,0;28037,7;0,0;1748,0;99,0;0,0;99,5;0,0;0,0;0,0;0,0;0,0;0,0
12,545;200,0;668,0;394032,0;10442,5;75195,0;1241,0;767160,0;35034,5;3147,0;449,0;199,0;199,0;149,0;99,5;26135,5;149,5;149,5;20711,0;99,0;2198,0;0,0;49,5;349,0;49,5;0,0;0,0;0,0;0,0;0,0
13,939;200,3;333,7;397356,0;11042,0;80299,0;1207,3;789152,0;38534,0;3946,5;299,0;549,0;848,5;449,0;399,0;27035,0;49,5;149,0;25089,8;0,0;1998,0;149,5;0,0;49,5;49,5;99,5;0,0;0,0;0,0;49,5
15,333;267,3;534,7;397652,0;10242,5;82301,0;1609,8;785664,0;34934,5;2997,5;249,0;449,0;699,0;399,0;299,0;25436,0;0,0;0,0;24247,8;49,5;2747,5;99,5;0,0;49,5;49,5;0,0;0,0;0,0;0,0;49,5
16,726;133,3;401,0;398360,0;11391,5;77397,0;871,8;766728,0;37184,5;3646,5;99,5;499,0;849,0;249,0;249,0;26786,0;149,5;149,0;25174,5;149,5;2697,0;0,0;99,5;49,5;0,0;49,5;0,0;0,0;0,0;0,0
18,120;267,3;534,3;413368,0;11292,0;77997,0;1207,3;769784,0;38084,0;3796,5;449,0;499,0;1098,5;549,0;99,0;25686,0;49,5;49,5;23405,8;0,0;2148,0;49,5;99,5;49,5;0,0;0,0;0,0;0,0;0,0;0,0
19,514;200,3;534,7;402084,0;12641,0;80049,0;905,3;761360,0;35534,5;4296,0;299,0;549,0;749,0;299,0;399,0;28186,0;199,0;149,5;25511,2;49,5;2797,0;49,5;49,5;149,5;0,0;49,5;0,0;0,0;0,0;0,0
20,908;133,7;1136,0;414076,0;11542,0;75095,0;1408,7;772400,0;37234,5;3496,5;199,0;349,0;849,0;199,0;299,0;29436,0;0,0;149,5;22311,0;0,0;2847,0;99,0;0,0;49,5;0,0;0,0;0,0;0,0;0,0;0,0
