Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,395;267,0;400,7;447432,0;9792,5;69591,0;1006,0;843528,0;38934,5;3447,0;699,0;499,0;599,0;299,0;399,0;25586,0;0,0;149,0;26943,0;0,0;2647,5;0,0;0,0;99,5;49,5;0,0;0,0;0,0;0,0;0,0
2,789;267,0;601,3;428180,0;11841,5;70692,0;1576,2;794560,0;37884,0;4596,5;1198,5;449,0;499,0;549,0;199,0;25536,0;49,5;49,5;23911,2;49,5;2148,0;49,5;199,0;249,5;99,0;1448,5;0,0;99,5;0,0;0,0
4,183;133,3;200,0;419212,0;19988,5;71993,0;3354,5;768352,0;33484,5;3796,5;949,0;599,0;799,0;99,5;199,0;25786,5;149,5;99,5;21216,2;0,0;2347,5;0,0;0,0;49,5;0,0;0,0;0,0;0,0;0,0;49,5
5,576;200,3;333,7;438472,0;11192,0;71393,0;1140,2;762672,0;34084,5;3696,5;699,0;449,0;499,0;99,5;449,0;24836,5;99,5;99,0;25932,2;0,0;2947,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6,970;334,0;133,7;463164,0;11442,0;72894,0;1140,2;791024,0;35984,5;4396,0;899,0;499,0;699,0;399,0;349,0;26886,0;99,5;49,5;24079,3;0,0;2447,5;99,0;0,0;99,5;49,5;99,5;0,0;0,0;0,0;0,0
8,364;267,0;267,3;442292,0;9643,0;71543,0;1307,8;775040,0;34934,5;4096,5;749,0;299,0;649,0;349,0;249,0;26136,0;49,5;149,5;25932,3;0,0;2597,5;0,0;49,5;249,0;99,5;0,0;0,0;0,0;0,0;49,5
9,758;133,3;133,3;451768,0;10892,0;77998,0;1207,2;784456,0;33284,5;3446,5;799,0;199,5;149,0;99,5;249,5;29235,5;99,0;299,0;24669,3;199,0;2547,5;49,5;0,0;0,0;0,0;49,5;0,0;0,0;0,0;0,0
11,151;133,3;400,7;465584,0;13290,5;76647,0;1207,2;795360,0;35634,5;4096,0;449,0;349,0;499,0;49,5;349,0;24636,0;49,5;299,0;24416,3;0,0;2747,0;0,0;149,0;49,5;0,0;99,5;0,0;0,0;0,0;0,0
12,545;66,7;267,3;472444,0;10442,5;77797,0;1442,2;775344,0;33035,0;4446,5;699,0;699,0;349,0;249,5;349,0;25836,0;49,5;199,0;22984,8;0,0;2897,0;0,0;0,0;0,0;49,5;49,5;0,0;49,5;0,0;0,0
13,939;334,0;734,7;461952,0;12691,0;73144,0;871,8;787904,0;32984,5;4646,0;899,0;149,5;549,0;249,0;349,0;24386,5;0,0;99,5;22984,8;0,0;3347,0;99,5;0,0;199,0;149,5;49,5;0,0;0,0;0,0;0,0
15,333;133,7;467,3;479504,0;12091,5;79899,0;938,7;773024,0;34784,5;2347,5;998,5;499,0;399,0;249,0;399,0;28485,5;199,5;99,5;23405,8;0,0;2048,0;99,0;0,0;99,0;0,0;0,0;99,0;0,0;0,0;49,5
16,726;334,0;467,7;494436,0;13340,5;86555,0;1073,0;774992,0;34484,5;3247,0;699,0;249,0;749,0;199,0;449,0;27736,0;149,0;149,0;25595,5;0,0;2048,0;0,0;0,0;0,0;49,5;49,5;0,0;0,0;0,0;49,5
18,120;0,0;200,3;471736,0;12741,0;79799,0;1408,5;782040,0;38934,0;3896,5;949,0;799,0;349,0;99,5;499,0;26735,5;49,5;49,5;23574,5;0,0;2847,5;0,0;0,0;0,0;99,5;99,0;0,0;0,0;0,0;49,5
19,514;133,7;467,7;479304,0;10342,5;80800,0;1307,8;782504,0;35084,5;3497,0;799,0;499,0;299,0;49,5;549,0;25986,0;49,5;0,0;23153,0;49,5;3247,0;49,5;0,0;49,5;149,5;49,5;0,0;0,0;0,0;0,0
20,907;200,3;333,7;504124,0;11741,5;80500,0;1308,0;787416,0;33684,5;5345,5;1498,5;699,0;599,0;299,0;0,0;25486,0;0,0;99,5;25342,7;0,0;2297,5;0,0;49,5;149,5;99,5;0,0;0,0;0,0;0,0;49,5
22,301;200,3;601,3;478900,0;11592,0;79198,0;1811,2;779568,0;33785,0;4146,5;649,0;799,0;449,0;349,0;99,0;27186,0;0,0;0,0;24921,5;49,5;3347,0;99,5;0,0;0,0;49,5;149,0;0,0;0,0;0,0;0,0
23,695;333,7;133,3;488484,0;12491,0;79548,0;1207,3;774240,0;34884,5;4196,5;649,0;549,0;499,0;199,0;499,0;27685,5;49,5;49,5;25342,8;149,0;3047,0;0,0;0,0;49,5;99,0;99,0;0,0;0,0;0,0;149,5
25,089;66,7;200,0;488684,0;13340,5;82601,0;838,2;764376,0;35984,0;3946,5;999,0;349,0;299,0;399,0;449,0;24886,0;49,5;99,5;24248,0;0,0;3047,0;99,5;99,5;149,0;99,5;249,0;0,0;0,0;0,0;0,0
26,482;133,7;133,3;491004,0;11841,5;81850,0;1173,7;773200,0;36734,5;3197,0;549,0;549,0;949,0;249,0;249,0;25086,0;149,5;0,0;23321,7;0,0;3097,0;99,5;0,0;149,0;149,5;99,5;0,0;0,0;0,0;0,0
27,876;267,0;267,0;516236,0;12341,5;80600,0;1106,8;777880,0;35434,0;4346,0;799,0;449,0;449,0;349,0;349,0;24286,5;199,5;0,0;20121,5;49,5;2447,5;0,0;49,5;99,5;49,5;99,5;0,0;0,0;0,0;0,0
29,270;267,0;534,3;486464,0;10842,0;78247,0;1039,5;779848,0;35834,0;3797,0;849,0;599,0;399,0;349,0;149,5;24536,5;0,0;99,0;21637,5;199,0;2947,5;99,5;0,0;49,5;99,0;299,0;0,0;0,0;0,0;0,0
30,663;200,0;467,3;499480,0;14140,0;80149,0;1274,3;754056,0;35884,5;3746,5;699,0;499,0;549,0;299,0;99,5;25536,0;49,5;99,5;24500,3;49,5;2897,0;0,0;49,5;149,0;49,5;49,5;0,0;0,0;0,0;0,0
32,057;200,3;400,7;485956,0;12141,5;81701,0;1174,0;769704,0;38234,0;3347,0;949,0;549,0;549,0;149,5;549,0;25686,0;49,5;49,5;21468,8;99,5;2547,5;0,0;99,0;99,5;49,5;49,5;0,0;0,0;0,0;0,0
33,451;200,3;267,0;495048,0;13240,5;81050,0;905,3;776960,0;38334,5;4146,5;649,0;849,0;749,0;449,0;299,0;26185,5;49,5;149,5;22395,5;49,5;3097,5;49,5;99,5;49,5;49,5;0,0;0,0;0,0;0,0;99,5
34,845;267,0;467,7;493020,0;13190,5;81451,0;1140,3;768704,0;31734,5;3797,0;949,0;349,0;649,0;299,0;499,0;25486,0;99,5;249,0;23237,5;0,0;2547,5;0,0;0,0;99,0;99,5;99,0;0,0;0,0;0,0;0,0
36,238;267,0;668,0;480716,0;11391,5;78799,0;1207,2;771728,0;36884,0;4046,5;849,0;849,0;99,0;199,0;399,0;26836,0;0,0;199,0;21637,2;99,5;2697,5;149,0;0,0;99,5;0,0;49,5;49,5;0,0;0,0;0,0
37,632;668,3;200,3;502812,0;11341,5;75596,0;1207,3;768304,0;34384,5;4896,0;899,0;749,0;849,0;449,0;499,0;25936,0;0,0;0,0;24837,7;49,5;3297,0;49,5;0,0;49,5;0,0;0,0;99,5;0,0;0,0;0,0
