Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,395;467,3;935,7;540872,0;16739,0;112987,0;1375,0;906840,0;43734,5;4446,0;549,0;1198,5;1298,5;249,0;249,0;29285,5;0,0;49,5;27869,3;49,5;4596,0;49,5;0,0;0,0;0,0;49,5;0,0;0,0;0,0;0,0
2,789;734,7;400,7;469816,0;15889,5;93262,0;1744,0;829560,0;39734,0;3946,5;149,0;699,0;799,0;249,0;299,0;28285,5;0,0;0,0;25595,3;149,0;2947,0;0,0;0,0;0,0;199,0;49,5;0,0;0,0;0,0;99,0
4,183;133,3;668,0;457516,0;14390,0;92010,0;1475,7;815984,0;37634,5;4146,0;349,0;999,0;699,0;249,0;249,0;27635,5;0,0;199,0;26016,5;49,5;2647,5;0,0;99,5;49,5;149,0;49,5;0,0;0,0;0,0;0,0
5,577;133,3;334,0;428184,0;14890,0;88656,0;1341,5;843112,0;36734,5;3646,5;299,0;599,0;749,0;199,0;449,0;30135,0;0,0;249,0;26269,2;0,0;2797,0;99,5;49,5;99,0;49,5;0,0;0,0;0,0;0,0;0,0
6,970;267,0;668,0;422240,0;13790,5;86154,0;1073,2;827608,0;38134,0;4046,5;399,0;799,0;749,0;149,5;199,0;27085,5;49,5;49,5;27701,3;0,0;3347,0;99,5;99,0;0,0;0,0;0,0;0,0;0,0;0,0;49,5
8,364;400,7;668,0;412056,0;13190,5;88357,0;871,8;821728,0;37734,0;3047,0;399,0;449,0;899,0;649,0;149,0;28486,0;49,5;299,0;22563,5;0,0;3197,0;0,0;149,5;0,0;0,0;49,5;0,0;0,0;0,0;0,0
9,758;467,7;801,7;426468,0;14140,0;87505,0;972,5;817320,0;40084,0;4696,0;199,5;649,0;749,0;299,0;449,0;28685,5;0,0;0,0;25932,3;0,0;2497,5;0,0;49,5;299,5;99,0;0,0;0,0;0,0;0,0;0,0
11,152;66,7;601,3;423948,0;13141,0;87505,0;1509,2;815784,0;40984,0;3746,5;199,0;649,0;599,0;199,0;549,0;29835,0;49,5;99,5;27111,3;0,0;2947,5;0,0;0,0;99,5;0,0;0,0;0,0;0,0;0,0;0,0
12,545;133,7;668,3;423344,0;13440,5;85303,0;1173,8;814448,0;39734,0;4196,5;449,0;699,0;749,0;299,0;299,0;30685,0;99,5;99,5;27532,3;99,5;3097,0;0,0;49,5;99,5;0,0;0,0;0,0;0,0;0,0;0,0
13,939;400,7;400,7;425560,0;12291,5;84152,0;1341,5;810480,0;42735,0;4546,5;299,0;449,0;699,0;399,0;499,0;28035,5;299,0;149,0;22395,2;0,0;3197,0;0,0;0,0;49,5;99,5;99,0;0,0;0,0;49,5;49,5
