Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,395;400,7;467,3;437296;10692,5;72043;1509,2;886696;39784,5;3846,5;1248,5;349;499;449;99,5;30185;199;249;26017,2;99;2547,5;0;0;0;0;49,5;0;0;0;49,5
2,789;66,7;200,3;425812;11741,5;63139;1475,5;822616;33384,5;4746;949;299;549;399;299;25735,5;49,5;49,5;24669,2;0;1948;49,5;0;49,5;149,5;49,5;0;0;0;0
4,183;467,3;267;418264;11641,5;63339;1408,7;820600;36684,5;4246,5;1548;799;849;349;449;25635,5;49,5;249;22732;49,5;2647,5;49,5;0;0;0;49,5;0;0;0;0
5,576;0;534,3;410404;9592,5;62638,5;1207,3;800448;38184;4496;649;499;399;299,5;349;26585,5;49,5;0;25848,2;0;2947;49,5;0;0;49,5;99,5;0;0;0;49,5
6,97;267;267;444552;10542,5;66240;1308;815592;35334,5;5295,5;1148,5;449;549;499;649;24636,5;0;149,5;23489,8;49,5;1998;0;0;49,5;0;0;0;49,5;0;0
8,364;334;467,7;434176;13440,5;67991;1609,8;800800;35184,5;4196;1398,5;249;449;99,5;299;26735,5;49,5;199;24500,5;0;2248;0;0;0;0;0;0;0;0;0
9,758;333,7;467,7;429644;10792;66190;1375;814192;35384,5;5046;1148,5;349;649;299;249;24486,5;0;0;23658,5;0;2597,5;0;0;0;49,5;0;0;0;0;0
11,151;0;200,3;433468;10642;69642;1106,7;790688;36084,5;4296;1398;399;699;199;399;24786;99,5;0;27785;0;2497,5;0;0;0;0;299,5;49,5;0;0;49,5
12,545;133,3;334;466128;10442;65890;1408,7;808392;38034,5;4696;999;399;649;199;249;26485,5;149;49,5;26774,7;0;3047;0;0;0;0;0;0;0;0;99,5
13,939;333,7;334;459164;11542;70493;1743,8;795728;33284,5;4346,5;1798,5;699;549;249;549;25486;49,5;199,5;24669,2;99,5;2298;0;149,5;0;99;49,5;0;0;49,5;0
15,333;334;601,3;469852;12691;68391;1307,8;802000;33085;4696;2048;799;799;299;699;27385,5;49,5;149;25511,3;0;2397,5;0;49,5;0;0;0;0;0;0;0
16,726;267,3;1069;471772;11791,5;71443;1274,2;797520;35934,5;4046,5;1298,5;549;699;249;249;24886;99,5;149,5;22647,8;99,5;2597,5;0;0;0;49,5;149,5;0;0;0;49,5
18,12;133,3;267;440324;13890;71993;1375;802712;38034;5295,5;1398,5;349;549;199;399;27486;99,5;0;23321,5;0;2447,5;49,5;49,5;49,5;0;0;0;0;0;0
19,514;467,7;267;463704;11092;69592;2046;807744;36034;3347;899;499;699;249;149,5;27186;0;99;22984,5;0;3197;0;49,5;99,5;0;0;0;0;0;0
20,907;400,7;333,7;465212;10692;70492;1677;812752;36784;4996;1598,5;699;1198,5;199;149;27186;0;149;25342,8;49,5;2697,5;0;49,5;49,5;99,5;49,5;0;0;0;0
22,301;534,3;801,7;452916;10692;71943;1475,7;803296;36034;3846,5;1548,5;449;749;99,5;349;26035,5;49,5;49,5;25258,8;0;2447,5;0;0;0;0;0;0;0;0;0
23,695;267;334;467936;11042;71793;1777,5;798760;35634,5;4746;1248,5;599;399;99,5;349;25086;0;49,5;24247,7;0;3047,5;0;49,5;0;0;0;0;0;0;0
25,089;200,3;334;465216;12541;70492;1173,7;818712;36684;3946,5;1648;299;649;149;199;25586;99,5;99;27364,5;49,5;2947;49,5;0;99,5;49,5;99,5;0;0;0;0
26,482;267;267;473080;13340,5;74394;1878,3;787120;34385;4246;1099;449;749;149;449;24336,5;49,5;99,5;26690,5;0;3197;99,5;249;0;99,5;99,5;0;0;0;0
27,876;334;400,7;467532;11791,5;71093;1274,5;805176;36334,5;4296,5;2297,5;449;449;249,5;299;24936,5;99,5;99,5;24163,7;0;2847;0;49,5;0;49,5;49,5;0;0;0;0
29,27;66,7;267;477820;14940;72894;1341,5;799160;37684;4546;1548,5;399;848,5;99,5;299;25935,5;49,5;199;25005,7;199;3247;0;0;0;149,5;49,5;0;0;0;0
30,663;334;400,7;488612;11691,5;73394;1609,8;799304;35184;4496;1398,5;449;749;99,5;449;26686;99;0;22816,3;0;2947;0;0;49,5;0;49,5;0;0;0;0
32,057;66,7;467,3;502632;14490;67990;1710,3;780800;34234,5;4346,5;2048;499;849;149;349;26185,5;49,5;49,5;23406,2;0;2048;99,5;49,5;99,5;49,5;49,5;0;0;0;0
33,451;133,3;400,7;481548;13240,5;74295;1307,8;793200;35235;3796,5;1398,5;499;799;199;449;25436;0;49,5;24248;0;2497,5;99;99,5;0;49,5;99,5;0;0;0;0
34,845;133,3;534,3;483264;12241,5;72293;1743,8;796536;34084;5545,5;2247,5;799;849;149,5;499;25686;49,5;149;21805,7;0;2597,5;99,5;0;0;0;0;0;0;0;0
36,238;133,7;334;484376;13640,5;74495;1240,7;783520;34384,5;3996,5;1648,5;399;898,5;249;299;27035,5;99;249;21721,7;49,5;3097;0;0;199;149,5;99,5;49,5;0;0;0
37,632;267;133,3;478120;13340,5;70843;1475,8;787368;35034,5;3996,5;1848;499;499;149;349;23286,5;0;149;22395,2;0;2997,5;49,5;0;99,5;0;299,5;0;0;0;0
39,026;400,7;267,3;506968;11691,5;73245;1375,2;788664;31184,5;4596;1548,5;549;699;199,5;199;25686;0;49,5;22732,3;99,5;2448;199;0;0;0;149;0;0;0;0
40,419;467,7;401;476308;13540,5;69492;1408,7;783856;38534;4596;1798;599;399;149,5;349,5;27135,5;99,5;99;21048;0;2647,5;0;0;0;49,5;149;0;0;0;49,5
41,813;133,3;334;457860;13340,5;77047;1643,5;791704;36384;4696;1898;599;599;49,5;499;27636;49,5;0;26690,2;0;3047;0;0;0;49,5;0;0;0;0;0
43,207;200,3;400,7;501116;10942;74344;1140,3;814400;37934,5;3746,5;2097,5;499;549;149;499;25936;0;99,5;25595,5;49,5;2297,5;0;49,5;0;49,5;99,5;0;0;0;0
44,601;267;400,7;502328;10992;71043;1609,8;812296;37284;3746,5;1948;499;1098,5;0;199;25586;49,5;99,5;24837,5;49,5;2348;0;0;0;49,5;0;0;0;0;0
45,994;400,7;200;485784;12991;72243;1710,5;797624;35434,5;4646;1948;699;899;499;299;27085,5;0;249;21974,7;0;2797,5;0;0;49,5;149,5;49,5;0;0;49,5;0
