Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,395;400,7;467,3;417296,0;10692,5;72043,0;1509,2;886696,0;39784,5;3846,5;1248,5;349,0;499,0;449,0;99,5;30185,0;199,0;249,0;26017,2;99,0;2547,5;0,0;0,0;0,0;0,0;49,5;0,0;0,0;0,0;49,5
2,789;66,7;200,3;405812,0;11741,5;63139,0;1475,5;822616,0;33384,5;4746,0;949,0;299,0;549,0;399,0;299,0;25735,5;49,5;49,5;24669,2;0,0;1948,0;49,5;0,0;49,5;149,5;49,5;0,0;0,0;0,0;0,0
4,183;467,3;267,0;398264,0;11641,5;63339,0;1408,7;820600,0;36684,5;4246,5;1548,0;799,0;849,0;349,0;449,0;25635,5;49,5;249,0;22732,0;49,5;2647,5;49,5;0,0;0,0;0,0;49,5;0,0;0,0;0,0;0,0
5,576;0,0;534,3;390404,0;9592,5;62638,5;1207,3;800448,0;38184,0;4496,0;649,0;499,0;399,0;299,5;349,0;26585,5;49,5;0,0;25848,2;0,0;2947,0;49,5;0,0;0,0;49,5;99,5;0,0;0,0;0,0;49,5
6,970;267,0;267,0;424552,0;10542,5;66240,0;1308,0;815592,0;35334,5;5295,5;1148,5;449,0;549,0;499,0;649,0;24636,5;0,0;149,5;23489,8;49,5;1998,0;0,0;0,0;49,5;0,0;0,0;0,0;49,5;0,0;0,0
8,364;334,0;467,7;414176,0;13440,5;67991,0;1609,8;800800,0;35184,5;4196,0;1398,5;249,0;449,0;99,5;299,0;26735,5;49,5;199,0;24500,5;0,0;2248,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
9,758;333,7;467,7;409644,0;10792,0;66190,0;1375,0;814192,0;35384,5;5046,0;1148,5;349,0;649,0;299,0;249,0;24486,5;0,0;0,0;23658,5;0,0;2597,5;0,0;0,0;0,0;49,5;0,0;0,0;0,0;0,0;0,0
11,151;0,0;200,3;413468,0;10642,0;69642,0;1106,7;790688,0;36084,5;4296,0;1398,0;399,0;699,0;199,0;399,0;24786,0;99,5;0,0;27785,0;0,0;2497,5;0,0;0,0;0,0;0,0;299,5;49,5;0,0;0,0;49,5
12,545;133,3;334,0;446128,0;10442,0;65890,0;1408,7;808392,0;38034,5;4696,0;999,0;399,0;649,0;199,0;249,0;26485,5;149,0;49,5;26774,7;0,0;3047,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;99,5
13,939;333,7;334,0;439164,0;11542,0;70493,0;1743,8;795728,0;33284,5;4346,5;1798,5;699,0;549,0;249,0;549,0;25486,0;49,5;199,5;24669,2;99,5;2298,0;0,0;149,5;0,0;99,0;49,5;0,0;0,0;49,5;0,0
15,333;334,0;601,3;449852,0;12691,0;68391,0;1307,8;802000,0;33085,0;4696,0;2048,0;799,0;799,0;299,0;699,0;27385,5;49,5;149,0;25511,3;0,0;2397,5;0,0;49,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0
16,726;267,3;1069,0;451772,0;11791,5;71443,0;1274,2;797520,0;35934,5;4046,5;1298,5;549,0;699,0;249,0;249,0;24886,0;99,5;149,5;22647,8;99,5;2597,5;0,0;0,0;0,0;49,5;149,5;0,0;0,0;0,0;49,5
18,120;133,3;267,0;420324,0;13890,0;71993,0;1375,0;802712,0;38034,0;5295,5;1398,5;349,0;549,0;199,0;399,0;27486,0;99,5;0,0;23321,5;0,0;2447,5;49,5;49,5;49,5;0,0;0,0;0,0;0,0;0,0;0,0
19,514;467,7;267,0;443704,0;11092,0;69592,0;2046,0;807744,0;36034,0;3347,0;899,0;499,0;699,0;249,0;149,5;27186,0;0,0;99,0;22984,5;0,0;3197,0;0,0;49,5;99,5;0,0;0,0;0,0;0,0;0,0;0,0
20,907;400,7;333,7;445212,0;10692,0;70492,0;1677,0;812752,0;36784,0;4996,0;1598,5;699,0;1198,5;199,0;149,0;27186,0;0,0;149,0;25342,8;49,5;2697,5;0,0;49,5;49,5;99,5;49,5;0,0;0,0;0,0;0,0
22,301;534,3;801,7;432916,0;10692,0;71943,0;1475,7;803296,0;36034,0;3846,5;1548,5;449,0;749,0;99,5;349,0;26035,5;49,5;49,5;25258,8;0,0;2447,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
