Temps;Li7;B11;Na23;Mg24;Al27;Ca43;Cr52;Mn55;Fe57;Co59;Ni62;Cu63;Cu65;Zn66;Zn68;As75;Rb85;Sr86;Y89;Zr90;Cd111;Sn117;Sb121;Cs133;Ba138;La139;Ce140;Pr141;Pb208
1,396;534,3;267,0;472540,0;10642,0;66790,0;972,3;825128,0;35484,5;4346,0;998,5;249,0;249,0;249,0;199,0;23986,5;249,0;199,0;25511,2;49,5;1898,0;0,0;0,0;99,0;49,5;0,0;0,0;0,0;0,0;0,0
2,790;66,7;334,0;495848,0;9892,5;68341,0;1307,8;772840,0;34184,5;4196,5;1448,5;799,0;599,0;149,5;299,0;23936,5;99,5;0,0;26690,2;0,0;2198,0;0,0;49,5;0,0;0,0;99,5;0,0;0,0;0,0;0,0
4,183;400,7;400,7;476884,0;10942,0;69992,0;1374,8;764488,0;34084,5;4146,0;1098,5;799,0;749,0;199,0;449,0;21887,0;49,5;49,5;26016,7;0,0;2197,5;49,5;0,0;199,0;49,5;49,5;0,0;0,0;0,0;0,0
5,577;334,0;333,7;474460,0;12041,5;66890,5;1140,2;757944,0;32934,5;4246,0;1548,0;299,0;599,0;149,0;249,5;23436,5;99,5;0,0;23405,7;99,5;2447,5;0,0;0,0;199,0;0,0;0,0;0,0;0,0;0,0;49,5
6,971;334,0;467,7;490704,0;10742,0;64589,5;1241,0;747848,0;35684,5;3996,5;1148,5;749,0;599,0;149,0;249,5;26236,0;99,0;0,0;24416,5;0,0;3297,0;0,0;0,0;99,5;0,0;0,0;0,0;0,0;49,5;0,0
8,365;267,3;200,3;484044,0;12691,5;76496,0;1274,5;759800,0;33134,5;3546,5;1998,0;549,0;949,0;149,0;649,0;25186,5;49,5;149,5;22732,0;0,0;1598,5;149,0;49,5;0,0;0,0;149,5;0,0;0,0;0,0;0,0
9,758;133,3;534,7;513512,0;10742,0;74044,0;1173,7;754352,0;33284,5;3297,0;1848,0;849,0;599,0;399,0;399,0;23036,5;0,0;99,5;24248,0;0,0;2747,0;0,0;0,0;49,5;49,5;149,0;0,0;0,0;0,0;0,0
11,152;267,0;200,0;508464,0;10842,0;72193,0;1509,0;738976,0;31885,0;4096,0;1648,5;649,0;449,0;199,5;249,0;23136,5;149,5;49,5;22479,3;0,0;2497,5;99,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
12,546;334,0;334,0;517752,0;11991,5;76196,0;1039,3;765248,0;32935,0;4096,5;1448,5;649,0;349,0;299,0;299,5;23136,5;0,0;99,0;24332,3;0,0;2248,0;0,0;99,0;249,0;99,0;0,0;0,0;0,0;0,0;0,0
13,939;200,0;267,0;509676,0;12940,5;73944,0;1408,7;759008,0;33834,5;3347,0;1798,0;699,0;549,0;249,0;499,0;25636,0;49,5;0,0;21890,0;0,0;2697,5;99,5;0,0;49,5;149,5;49,5;0,0;0,0;0,0;0,0
