"","name","Rank in analysis","blank beginning","blank end","plateau beginning","plateau end","Blank average Li7","Blank average B11","Blank average Mg25","Blank average Ca43","Blank average Ti49","Blank average V51","Blank average Cr53","Blank average Mn55","Blank average Ni60","Blank average Cu65","Blank average Zn66","Blank average Rb85","Blank average Sr86","Blank average Y89","Blank average Mo97","Blank average Cd111","Blank average Sn118","Blank average Ba138","Blank average Pb208","Blank average Th232","Blank average U238","LOD Li7","LOD B11","LOD Mg25","LOD Ca43","LOD Ti49","LOD V51","LOD Cr53","LOD Mn55","LOD Ni60","LOD Cu65","LOD Zn66","LOD Rb85","LOD Sr86","LOD Y89","LOD Mo97","LOD Cd111","LOD Sn118","LOD Ba138","LOD Pb208","LOD Th232","LOD U238"
"Stand1.csv","Stand1.csv","1","0","14.1","28.3","88.4","5582.6","751.55","2241.475","2075.4375","2186.125","5314.425","5853.35","4399.9375","5274.3","4941.425","692.6","391.3375","55998.85","37.725","118.4375","1418.5","181.25","1937.075","67.1125","5.625","0","1598.12211226623","554.438379933115","6018.61603829556","7178.81783591491","7191.97977367845","1065.45797497066","808.728955124733","5629.08987757536","1384.78221082904","2031.64157676214","469.587883148618","400.562160103951","3574.81067111053","51.9656686119376","200.210321109006","564.440527045524","193.095091304037","6337.97778131389","152.170730595604","31.5025509171196","0"
"Stand2.csv","Stand2.csv","5","0","14.1","28.3","88.4","5800.8","675.05","6888.5875","11858.875","2179.925","4725.275","5464.825","152794.0125","5331.9","4549.8","730.25","510.9625","54963.425","18.75","95.6625","1410.925","165.3125","2470.5875","69.825","15.65","8.3375","895.557722475617","482.029788646778","6752.37849415988","3874.97373659303","7083.91354745787","1324.84452322312","1144.68864856032","14120.4118127864","1713.7025779622","1021.79256351627","520.247081408715","327.388822732237","3112.78517075717","34.7182537414707","232.689679539695","966.907662528922","171.3285143268","8428.35355976438","72.0690294093101","84.0738960676856","70.7460334577141"
"Stand3.csv","Stand3.csv","9","0","14.1","38.9","88.4","3649.775","355.4875","5341.3625","7500.6375","1335.3375","1965.6125","3536.9375","111387.7125","3233.6","2779.15","646.4","216.55","41375.425","26.5625","110.4875","1458.625","170.3125","767.1125","32.5","4.1625","0","1439.24442454068","252.760558278835","4862.73761503524","5356.68729465129","5721.67521733614","1386.16075540373","1396.2254427435","5798.36998226657","1323.57303430633","761.179096627631","295.140324978766","344.810258382366","3919.27351568046","42.2246859922351","215.750357970238","710.46337344018","170.999882518757","4296.18015016579","82.1583836257749","35.319983720268","0"
"Sample1_Rep1.csv","Sample1_Rep1.csv","2","0","19.4","37.1","205","3123.69090909091","191.527272727273","1849.65454545455","4747.4","1685.23636363636","1783.60909090909","1983.21818181818","2404.52727272727","3394.43636363636","2472.36363636364","498.118181818182","166.072727272727","19594.3272727273","21.5909090909091","115.409090909091","1179.18181818182","126.063636363636","411.036363636364","30.4545454545455","0","0","1081.69661281795","209.58611031355","6482.60326647755","4983.73183066665","6000.21930690113","1075.15940594026","495.665985041613","7299.85652322266","1065.39382526326","788.94983421577","456.410633889344","215.281015503838","1724.6138337716","67.2723433649979","265.708035598885","634.427156360187","163.152692006877","4089.7601801217","107.216857561927","0","0"
"Sample1_Rep2.csv","Sample1_Rep2.csv","3","0","15.9","38.9","208.6","2702.6","196.211111111111","1381.53333333333","5048.82222222222","1381.53333333333","1517.7","1799.48888888889","1657.82222222222","3255.24444444444","2356.14444444444","484.8","136.3","19186.4888888889","26.3888888888889","90.7777777777778","1103.6","120","1180.57777777778","63","0","0","895.965908949665","229.522079547916","6293.5044871677","5488.81300647052","6293.5044871677","459.399556486508","675.004807390288","4783.5941707047","1097.5876593694","794.94622616879","549.99733181171","194.318848802683","2069.11322551474","68.75","181.489262767801","598.292821284026","141.26106151378","5486.53044008689","153.220356023604","0","0"
"Sample1_Rep3.csv","Sample1_Rep3.csv","4","0","15.9","37.1","206.8","2762.86666666667","213.488888888889","1381.53333333333","5274.88888888889","376.777777777778","1393.41111111111","1753.33333333333","1657.82222222222","3146.13333333333","2373.93333333333","527.122222222222","146.822222222222","18814.4","15.2777777777778","112.344444444444","1136","107.033333333333","1004.75555555556","52.8333333333333","0","0","1056.01515969232","178.285171845558","6293.5044871677","4747.4","3391","960.101167846389","296.352172254566","4783.5941707047","916.248328784287","930.924532387024","545.457170637622","184.870468166227","1542.7022136498","52.2912516583797","206.430854040766","340.33965387536","114.46376064065","5981.24998892372","176.718844495996","0","0"
"Sample2_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep2.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep3.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample3_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
