"","Norm.","Homosc.","Indep.","Regress.Test","intercept","A"
"Li7",0,NA,0,0.288000721953156,0.0668818867511292,0.00129128889932606
"B11",0,NA,1,0.461171897716778,0.0218031769008732,8.784548923094e-05
"Mg25",0,NA,0,0.716655445945378,0.0290158973237048,0.000246061234878623
"Ca43",NA,NA,NA,NA,1,0
"Ti49",0,NA,0,0.436129313237419,0.0100546451818693,0.000423215621065321
"V51",0,NA,1,0.28712106591899,0.254810495163873,0.00693909742646706
"Cr53",0,NA,0,0.32693579093708,0.0218726009156059,0.000456111982406415
"Mn55",0,NA,0,0.508798521388557,0.362765347115798,-0.00988695170997445
"Ni60",0,NA,1,0.284740370136083,0.0594557875937337,0.000871118548071438
"Cu65",0,NA,0,0.429172617096758,0.0593029849463655,0.00053109544282431
"Zn66",0,NA,0,0.257545825365773,0.0193062842680527,0.000547171527966473
"Rb85",0,NA,0,0.318944683695148,0.232670013748272,0.00347667755486652
"Sr86",0,NA,0,0.290362002921029,0.0785640710707777,0.000681631162597699
"Y89",0,NA,0,0.298088991595888,0.276289394327828,0.00296809558119292
"Mo97",0,NA,0,0.26985897829745,0.0247165445591056,0.000337302305035246
"Cd111",0,NA,0,0.210334096971168,0.0140227110451634,0.000227166377797099
"Sn118",0,NA,1,0.272972073835436,0.0943462428778624,0.000775577839776333
"Ba138",0,NA,0,0.134345093560476,0.346460284508409,0.00306535630160642
"Pb208",0,NA,0,0.322493219160601,0.197961349328913,-0.000557799050065639
"Th232",0,NA,0,0.246744423401602,0.279187424609795,-0.00300754758864128
"U238",0,NA,0,0.252205654267996,0.270873743969282,-0.0026206338944051
