"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",38.9,NA,0.000301865593261376,0.00419455988265423,1,NA,NA,NA,0.0196707411767872,NA,NA,NA,0.00014414494325516,0.683396324100934,2.05131072959014e-05,NA,NA,NA,0.0100650194565632,NA,0,0
"2",40.7,NA,0.000327890123079712,0.00300932403246484,1,NA,NA,NA,0.0217445235014357,NA,NA,NA,0.000120965147905178,0.678035000890764,1.81833345783543e-05,NA,NA,NA,0.00976681107125358,NA,0,0
"3",42.4,NA,0.000344001209569546,0.00430326686964466,1,NA,NA,NA,0.0228523786408874,NA,NA,NA,0.000167529618215492,0.603524804702202,NA,NA,NA,NA,0.00899327882956768,NA,0,0
"4",44.2,NA,0.000327382148358356,0.00295962283507747,1,NA,NA,NA,0.0260185142388398,NA,NA,NA,0.000108035056221783,0.546611010090849,2.0919763279085e-05,NA,NA,NA,0.00893987593360281,NA,0,8.08987490934421e-06
"5",46,NA,0.000345286242937397,0.00361382962172774,1,NA,NA,NA,0.0292712977481301,NA,NA,NA,5.20485770217612e-05,0.514150813555845,NA,NA,NA,NA,0.00917491854179828,NA,0,0
"6",47.7,NA,0.000251191448046096,0.00281629657104936,1,NA,NA,NA,0.0304215182728993,NA,NA,NA,8.88865262302533e-05,0.686127813127556,NA,NA,NA,NA,0.0104008845777492,NA,0,0
"7",49.5,NA,0.000263653940284991,0.00290207259640615,1,NA,NA,NA,0.0339394437736937,NA,NA,NA,7.25365294346024e-05,0.512960782347853,NA,NA,NA,NA,0.0100649549600295,NA,0,0
"8",51.3,NA,0.000189196849970739,0.00293248832200437,1,NA,NA,NA,0.0356011829468921,NA,NA,NA,0.000155331365381905,0.481912374339748,NA,NA,NA,NA,0.0121425227233938,NA,0,0
"9",53,NA,0.000284912456994393,0.00402247492169064,1,NA,NA,NA,0.0356520853872432,NA,NA,NA,0.000146318196329895,0.48859045250785,NA,NA,NA,NA,0.0121433873752127,NA,0,0
"10",54.8,NA,0.000302174493451138,0.00349622395852248,1,NA,NA,NA,0.0366250612391369,NA,NA,NA,0.000109120812846753,0.51474238194604,NA,NA,NA,NA,0.0124833417068429,NA,0,0
"11",56.6,NA,0.000315900265251724,0.00349175502990487,1,NA,0.000143651883851513,NA,0.0384924172371675,NA,NA,NA,0.000193606545158232,0.495329865587137,2.01860694054473e-05,NA,NA,NA,0.0124610091092673,NA,1.17209435257436e-05,0
"12",58.3,NA,0.000438731143746745,0.00349620163753406,1,NA,NA,NA,0.0385414357607143,NA,NA,NA,0.000175028760248208,0.511473777707935,2.31457429589326e-05,NA,NA,NA,0.0150365882297557,NA,0,0
"13",60.1,NA,0.000401421362531344,0.00408858149218855,1,NA,NA,NA,0.0400300516873574,NA,NA,NA,0.000159171744904084,0.504846964745753,3.03508616103677e-05,NA,NA,NA,0.0148688984548225,NA,0,0
