"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",38.9,NA,1267.18888888889,17608.1666666667,4197857.97777778,NA,NA,NA,82574.9777777778,NA,NA,NA,605.1,2868800.71111111,86.1111111111111,NA,NA,NA,42251.5222222222,NA,0,0
"2",40.7,NA,1327.38888888889,12182.5666666667,4048273.47777778,NA,NA,NA,88027.7777777778,NA,NA,NA,489.7,2744871.11111111,73.6111111111111,NA,NA,NA,39538.7222222222,NA,0,0
"3",42.4,NA,1407.58888888889,17608.1666666667,4091813.77777778,NA,NA,NA,93507.6777777778,NA,NA,NA,685.5,2469511.11111111,NA,NA,NA,NA,36798.8222222222,NA,0,0
"4",44.2,NA,1347.58888888889,12182.5666666667,4116256.47777778,NA,NA,NA,107098.877777778,NA,NA,NA,444.7,2249991.11111111,86.1111111111111,NA,NA,NA,36798.8222222222,NA,0,33.3
"5",46,NA,1487.98888888889,15573.5666666667,4309435.77777778,NA,NA,NA,126142.777777778,NA,NA,NA,224.3,2215699.91111111,NA,NA,NA,NA,39538.7222222222,NA,0,0
"6",47.7,NA,1086.58888888889,12182.5666666667,4325739.97777778,NA,NA,NA,131595.577777778,NA,NA,NA,384.5,2968010.51111111,NA,NA,NA,NA,44991.5222222222,NA,0,0
"7",49.5,NA,1106.78888888889,12182.5666666667,4197884.87777778,NA,NA,NA,142473.877777778,NA,NA,NA,304.5,2153350.31111111,NA,NA,NA,NA,42251.5222222222,NA,0,0
"8",51.3,NA,785.988888888889,12182.5666666667,4154344.47777778,NA,NA,NA,147899.577777778,NA,NA,NA,645.3,2002030.01111111,NA,NA,NA,NA,50444.2222222222,NA,0,0
"9",53,NA,1247.18888888889,17608.1666666667,4377445.97777778,NA,NA,NA,156065.077777778,NA,NA,NA,640.5,2138778.31111111,NA,NA,NA,NA,53157.0222222222,NA,0,0
"10",54.8,NA,1287.38888888889,14895.3666666667,4260415.47777778,NA,NA,NA,156037.977777778,NA,NA,NA,464.9,2193016.41111111,NA,NA,NA,NA,53184.2222222222,NA,0,0
"11",56.6,NA,1347.58888888889,14895.3666666667,4265868.17777778,NA,612.8,NA,164203.577777778,NA,NA,NA,825.9,2113011.91111111,86.1111111111111,NA,NA,NA,53157.0222222222,NA,50,0
"12",58.3,NA,1869.18888888889,14895.3666666667,4260442.67777778,NA,NA,NA,164203.577777778,NA,NA,NA,745.7,2179104.71111111,98.6111111111111,NA,NA,NA,64062.5222222222,NA,0,0
"13",60.1,NA,1728.78888888889,17608.1666666667,4306668.87777778,NA,NA,NA,172396.177777778,NA,NA,NA,685.5,2174208.71111111,130.711111111111,NA,NA,NA,64035.4222222222,NA,0,0
"14",61.9,NA,1928.98888888889,17608.1666666667,4208736.57777778,NA,NA,757.011111111111,166943.477777778,NA,NA,NA,585.5,2123719.11111111,NA,NA,NA,NA,74913.8222222222,NA,0,0
"15",63.6,NA,2430.58888888889,14895.3666666667,4333932.47777778,NA,NA,NA,161490.677777778,NA,NA,NA,1026.7,2277901.51111111,NA,NA,NA,NA,80339.4222222222,NA,0,0
"16",65.4,NA,2430.78888888889,14895.3666666667,4567912.37777778,NA,NA,NA,153352.277777778,NA,NA,NA,740.5,2181850.31111111,NA,NA,NA,NA,91244.9222222222,NA,0,0
"17",67.2,NA,2310.38888888889,14895.3666666667,4461760.37777778,NA,NA,NA,147926.677777778,NA,NA,NA,805.9,2221274.31111111,NA,NA,NA,NA,91244.9222222222,NA,0,0
"18",68.9,NA,1608.38888888889,14895.3666666667,4355688.97777778,NA,NA,NA,139733.977777778,NA,NA,NA,805.9,2025552.61111111,73.6111111111111,NA,NA,NA,102096.222222222,NA,0,33.3
"19",70.7,NA,1708.78888888889,14895.3666666667,4393777.17777778,NA,NA,NA,145186.677777778,NA,NA,NA,1267.1,2156967.11111111,NA,NA,NA,NA,110288.922222222,NA,0,0
"20",72.5,NA,1447.98888888889,14895.3666666667,4418219.87777778,NA,NA,NA,131568.377777778,NA,802.155555555556,NA,1207.3,2229805.51111111,73.6111111111111,NA,NA,NA,112974.522222222,NA,0,0
"21",74.2,NA,1126.98888888889,14895.3666666667,4592327.87777778,NA,NA,NA,126169.877777778,NA,NA,NA,645.3,2241965.51111111,NA,NA,NA,NA,118427.322222222,NA,0,0
"22",76,NA,1467.98888888889,15573.5666666667,4434577.67777778,NA,NA,NA,109811.677777778,NA,NA,NA,765.9,2309075.91111111,NA,NA,NA,NA,118427.322222222,NA,0,0
"23",77.8,NA,1287.18888888889,12182.5666666667,4649432.97777778,NA,NA,NA,96220.4777777778,NA,NA,NA,966.1,2268467.91111111,NA,NA,NA,NA,123852.922222222,NA,0,0
"24",79.5,NA,1427.78888888889,12182.5666666667,4660446.17777778,NA,NA,NA,90740.5777777778,NA,NA,NA,906.1,2261722.31111111,98.6111111111111,NA,NA,NA,126592.922222222,NA,0,0
"25",81.3,NA,1387.58888888889,9469.76666666667,4559692.67777778,NA,NA,NA,79862.1777777778,NA,NA,NA,1106.7,2353197.51111111,NA,NA,NA,NA,137525.522222222,NA,0,0
"26",83.1,NA,2210.18888888889,9469.76666666667,4777314.67777778,NA,NA,NA,71723.7777777778,NA,NA,NA,945.9,2455872.71111111,NA,NA,NA,NA,156542.322222222,NA,0,0
"27",84.8,NA,2691.38888888889,6756.86666666667,4807237.07777778,NA,NA,NA,69010.9777777778,NA,NA,NA,1307.3,2572999.11111111,73.6111111111111,NA,NA,NA,172819.222222222,NA,0,0
"28",86.6,NA,3353.38888888889,6756.86666666667,4790959.97777778,NA,NA,NA,69010.9777777778,NA,NA,NA,525.1,2692762.31111111,98.6111111111111,NA,NA,NA,197343.022222222,NA,0,0
