"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",38.9,666.4,1267.18888888889,17608.1666666667,4197857.97777778,2009.46666666667,-64.2,265.711111111111,82574.9777777778,-147.044444444445,-0.144444444444616,156.4,605.1,2868800.71111111,86.1111111111111,-30.7777777777778,-221.4,80,42251.5222222222,-43,0,0
"2",40.7,506.2,1327.38888888889,12182.5666666667,4048273.47777778,-1381.53333333333,-63.9000000000001,426.511111111111,88027.7777777778,33.5555555555557,752.155555555556,216.6,489.7,2744871.11111111,73.6111111111111,176.222222222222,139.6,40,39538.7222222222,-63,0,0
"3",42.4,-175.8,1407.58888888889,17608.1666666667,4091813.77777778,-1381.53333333333,86.3,-155.288888888889,93507.6777777778,-387.644444444445,275.855555555555,216.7,685.5,2469511.11111111,61.1111111111111,29.2222222222222,-302,10,36798.8222222222,-43,0,0
"4",44.2,305.4,1347.58888888889,12182.5666666667,4116256.47777778,-1381.53333333333,-74.3,366.111111111111,107098.877777778,655.255555555555,-225.644444444445,417.2,444.7,2249991.11111111,86.1111111111111,34.2222222222222,-221.8,-30,36798.8222222222,-23,0,33.3
"5",46,325.4,1487.98888888889,15573.5666666667,4309435.77777778,5400.46666666667,61.3,466.511111111111,126142.777777778,-548.044444444445,-275.844444444444,-164.2,224.3,2215699.91111111,11.1111111111111,29.4222222222222,19,40,39538.7222222222,62,0,0
"6",47.7,606.2,1086.58888888889,12182.5666666667,4325739.97777778,-1381.53333333333,236.8,285.911111111111,131595.577777778,-508.244444444445,50.1555555555556,266.7,384.5,2968010.51111111,11.1111111111111,-50.7777777777778,300,10,44991.5222222222,77,0,0
"7",49.5,-155.8,1106.78888888889,12182.5666666667,4197884.87777778,3139.86666666667,-63.9000000000001,285.711111111111,142473.877777778,-427.844444444444,-476.344444444445,116.6,304.5,2153350.31111111,-1.38888888888889,42.9222222222222,-81.1999999999999,20,42251.5222222222,-63,0,0
"8",51.3,606.2,785.988888888889,12182.5666666667,4154344.47777778,-1381.53333333333,186.8,-34.8888888888889,147899.577777778,-227.044444444445,275.655555555556,76.4,645.3,2002030.01111111,61.1111111111111,59.2222222222222,-221.6,-70,50444.2222222222,-3,0,0
"9",53,565.8,1247.18888888889,17608.1666666667,4377445.97777778,-1381.53333333333,11.0999999999999,-35.0888888888887,156065.077777778,-327.444444444444,601.655555555556,91.4999999999999,640.5,2138778.31111111,-1.38888888888889,-65.7777777777778,59,30,53157.0222222222,37,0,0
"10",54.8,666.4,1287.38888888889,14895.3666666667,4260415.47777778,-1381.53333333333,11.0999999999999,25.1111111111111,156037.977777778,-187.044444444445,100.655555555556,-4.19999999999999,464.9,2193016.41111111,-13.8888888888889,-90.7777777777778,79.2,-30,53184.2222222222,17,0,0
"11",56.6,566,1347.58888888889,14895.3666666667,4265868.17777778,2009.46666666667,612.8,626.711111111111,164203.577777778,73.5555555555557,200.655555555556,191.7,825.9,2113011.91111111,86.1111111111111,9.22222222222223,119.4,80,53157.0222222222,-29.7,50,0
"12",58.3,185,1869.18888888889,14895.3666666667,4260442.67777778,2009.46666666667,-395.1,4.91111111111127,164203.577777778,-46.6444444444446,-175.344444444444,291.7,745.7,2179104.71111111,98.6111111111111,-15.7777777777778,279.8,-20,64062.5222222222,-43,0,0
"13",60.1,686.4,1728.78888888889,17608.1666666667,4306668.87777778,-1381.53333333333,-334.7,466.511111111111,172396.177777778,-46.9444444444443,-49.8444444444444,-59,685.5,2174208.71111111,130.711111111111,-30.7777777777778,-201.6,-30,64035.4222222222,3.7,0,0
"14",61.9,365.4,1928.98888888889,17608.1666666667,4208736.57777778,-1381.53333333333,-139.2,757.011111111111,166943.477777778,-387.844444444444,0.155555555555566,417.2,585.5,2123719.11111111,-1.38888888888889,42.5222222222222,-1,80,74913.8222222222,-63,0,0
"15",63.6,555.9,2430.58888888889,14895.3666666667,4333932.47777778,-1381.53333333333,86.5999999999999,44.9111111111113,161490.677777778,-327.444444444444,-426.344444444445,241.7,1026.7,2277901.51111111,36.1111111111111,134.722222222222,-121.4,-60,80339.4222222222,-13,0,0
"16",65.4,-256.4,2430.78888888889,14895.3666666667,4567912.37777778,-1381.53333333333,-114.3,205.511111111111,153352.277777778,53.5555555555557,451.155555555556,166.5,740.5,2181850.31111111,11.1111111111111,142.922222222222,-51.3,-30,91244.9222222222,-38,0,0
"17",67.2,285.6,2310.38888888889,14895.3666666667,4461760.37777778,-1381.53333333333,-214.5,205.711111111111,147926.677777778,-267.444444444444,426.355555555555,316.7,805.9,2221274.31111111,23.6111111111111,-15.7777777777778,-161.4,-10,91244.9222222222,-63,0,0
"18",68.9,305.4,1608.38888888889,14895.3666666667,4355688.97777778,-1381.53333333333,-139.2,245.711111111111,139733.977777778,-468.044444444445,651.855555555555,276.8,805.9,2025552.61111111,73.6111111111111,59.2222222222222,-61.1999999999998,20,102096.222222222,-63,0,33.3
"19",70.7,506,1708.78888888889,14895.3666666667,4393777.17777778,-1381.53333333333,-339.9,125.511111111111,145186.677777778,-187.244444444445,351.155555555556,216.7,1267.1,2156967.11111111,23.6111111111111,49.4222222222222,-21,-45,110288.922222222,-63,0,0
"20",72.5,104.8,1447.98888888889,14895.3666666667,4418219.87777778,3139.86666666667,-264.7,105.511111111111,131568.377777778,73.3555555555554,802.155555555556,91.2,1207.3,2229805.51111111,73.6111111111111,42.9222222222222,59.4000000000001,67.5,112974.522222222,12,0,0
"21",74.2,506.2,1126.98888888889,14895.3666666667,4592327.87777778,-1381.53333333333,66.3,326.311111111111,126169.877777778,-227.044444444445,-300.844444444444,292,645.3,2241965.51111111,36.1111111111111,-40.7777777777778,-101.4,-40,118427.322222222,-63,0,0
"22",76,205,1467.98888888889,15573.5666666667,4434577.67777778,-1381.53333333333,-174.5,225.711111111111,109811.677777778,-287.444444444444,300.655555555556,216.7,765.9,2309075.91111111,48.6111111111111,59.2222222222222,39.2,70,118427.322222222,12,0,0
"23",77.8,44.8000000000002,1287.18888888889,12182.5666666667,4649432.97777778,-1381.53333333333,-174.5,285.911111111111,96220.4777777778,-548.244444444445,350.855555555555,-4,966.1,2268467.91111111,61.1111111111111,-10.7777777777778,-141.6,30,123852.922222222,-29.7,0,0
"24",79.5,144.8,1427.78888888889,12182.5666666667,4660446.17777778,-1381.53333333333,-94.3,-14.8888888888889,90740.5777777778,-307.444444444444,150.355555555555,35.9999999999999,906.1,2261722.31111111,98.6111111111111,-10.5777777777778,179.6,130,126592.922222222,-63,0,0
"25",81.3,385.6,1387.58888888889,9469.76666666667,4559692.67777778,-1381.53333333333,261.8,566.511111111111,79862.1777777778,-287.444444444444,-125.344444444444,176.4,1106.7,2353197.51111111,2.21111111111111,-40.7777777777778,-302,0,137525.522222222,-3,0,0
"26",83.1,566,2210.18888888889,9469.76666666667,4777314.67777778,-1381.53333333333,-590.4,305.911111111111,71723.7777777778,404.555555555556,200.355555555555,91.2,945.9,2455872.71111111,23.6111111111111,34.2222222222222,-301.6,-40,156542.322222222,-13,0,0
"27",84.8,666.2,2691.38888888889,6756.86666666667,4807237.07777778,-1381.53333333333,-64.2,566.511111111111,69010.9777777778,93.7555555555555,-526.344444444445,342,1307.3,2572999.11111111,73.6111111111111,-57.4777777777778,-161.6,-50,172819.222222222,-13,0,0
"28",86.6,445.8,3353.38888888889,6756.86666666667,4790959.97777778,-1381.53333333333,-334.9,125.311111111111,69010.9777777778,93.9555555555553,25.1555555555556,16.2,525.1,2692762.31111111,98.6111111111111,109.522222222222,-281.8,-10,197343.022222222,-63,0,0
"29",88.4,-55.5999999999999,3012.18888888889,8791.46666666667,4967781.17777778,-1381.53333333333,11.3,787.311111111111,71723.7777777778,253.955555555555,-551.644444444445,116.2,1166.9,2745991.11111111,48.6111111111111,34.2222222222222,-101.2,67.5,219126.922222222,-13,0,0
"30",90.2,325.4,2831.78888888889,4044.06666666667,5022172.97777778,-1381.53333333333,-114.5,145.511111111111,71723.7777777778,-287.644444444445,-626.644444444445,241.5,1267.1,2822720.71111111,48.6111111111111,-24.0777777777778,-281.6,-70,229951.222222222,-63,0,0
"31",91.9,305.4,3192.58888888889,9469.76666666667,5122818.37777778,-1381.53333333333,-134.3,646.911111111111,69010.9777777778,-86.8444444444444,250.655555555556,-109,885.9,2769920.71111111,36.1111111111111,9.22222222222223,-181.6,20,248968.222222222,-13,0,0
"32",93.7,225.2,2430.78888888889,4044.06666666667,4973206.87777778,-1381.53333333333,-38.9000000000001,-215.488888888889,71723.7777777778,-87.0444444444447,-0.144444444444616,216.5,1227.1,2711360.71111111,123.611111111111,109.222222222222,224.7,150,232745.222222222,-63,0,0
"33",95.5,405.6,2751.38888888889,8791.46666666667,5087443.47777778,-1381.53333333333,-114.3,727.111111111111,66270.9777777778,13.3555555555554,677.155555555556,166.5,1647.9,2733619.91111111,11.1111111111111,-30.7777777777778,274.7,60,229951.222222222,-23,33.3,0
"34",97.2,425.8,2430.58888888889,8791.46666666667,4935172.87777778,2009.46666666667,166.5,306.111111111111,69010.9777777778,-86.6444444444446,300.655555555556,166.7,1427.5,2626509.51111111,98.6111111111111,42.9222222222222,-101.4,-30,197370.122222222,-63,0,0
"35",99,485.8,2109.78888888889,8791.46666666667,4578763.77777778,-1381.53333333333,136.6,787.111111111111,63558.1777777778,-87.0444444444447,-325.844444444445,36.2,1447.7,2504570.31111111,102.211111111111,84.5222222222222,-101.4,70,183724.722222222,-3,0,0
"36",100.8,325.6,2109.78888888889,5400.46666666667,4486256.87777778,-1381.53333333333,-54.1000000000001,265.911111111111,63558.1777777778,-26.6444444444446,-777.144444444445,96.4,1146.9,2380531.91111111,61.1111111111111,-30.7777777777778,-101.4,30,164680.822222222,-29.7,0,0
"37",102.5,806.9,1909.38888888889,8791.46666666667,4276800.67777778,-1381.53333333333,-475.3,586.711111111111,66298.1777777778,113.755555555555,225.655555555556,-164.4,1026.5,2389965.51111111,61.1111111111111,49.2222222222222,19.2,-20,151116.722222222,70.7,0,0
"38",104.3,425.8,1668.58888888889,5400.46666666667,4442743.27777778,-1381.53333333333,36.0999999999999,4.91111111111127,63558.1777777778,153.755555555555,-0.144444444444616,442.5,1066.5,2389312.71111111,23.6111111111111,-24.0777777777778,-221.4,10,148376.822222222,-13,40,0
"39",106.1,-156,1828.98888888889,4044.06666666667,4578763.77777778,-1381.53333333333,-239.7,25.1111111111111,66298.1777777778,-1029.64444444444,-200.844444444444,216.7,986.3,2357427.91111111,136.111111111111,9.22222222222223,159.4,30,145691.122222222,-63,0,0
"40",107.8,245.2,1447.78888888889,4044.06666666667,4529770.57777778,-1381.53333333333,-64.2,431.011111111111,63558.1777777778,394.555555555556,300.855555555555,-164.4,1016.5,2321114.31111111,23.6111111111111,-24.0777777777778,239.6,20,140211.222222222,3.7,0,0
"41",109.6,24.4000000000001,1427.78888888889,5400.46666666667,4508040.57777778,2009.46666666667,-314.9,586.711111111111,66298.1777777778,414.755555555555,-426.144444444445,141.2,1066.7,2183411.91111111,48.6111111111111,9.22222222222223,79.2,100,118454.422222222,-13,0,0
"42",111.4,-256.2,1568.18888888889,5400.46666666667,4260442.37777778,-1381.53333333333,-174.3,807.511111111111,63558.1777777778,253.955555555555,-150.644444444445,116.5,846.1,2066323.91111111,61.1111111111111,59.2222222222222,-342,-20,102150.422222222,-43,0,0
"43",113.1,64.8000000000002,1528.18888888889,5400.46666666667,4257702.77777778,-1381.53333333333,-294.7,4.91111111111127,63558.1777777778,-427.844444444444,175.655555555556,236.6,885.9,2061344.71111111,11.1111111111111,-40.7777777777778,-141.4,30,88505.0222222222,37,0,0
"44",114.9,-376.8,1327.58888888889,6756.86666666667,4401888.77777778,-1381.53333333333,-390.2,225.711111111111,60872.4777777778,153.755555555555,25.1555555555556,-24,865.9,2083917.51111111,11.1111111111111,-30.7777777777778,-141.6,40,72201.0222222222,-63,0,0
"45",116.7,325.4,1909.38888888889,5400.46666666667,4543361.77777778,1331.26666666667,-234.7,5.11111111111109,63558.1777777778,73.5555555555557,501.355555555555,16.2,1207.1,2017651.91111111,61.1111111111111,9.22222222222223,19,80,64062.5222222222,-63,0,0
"46",118.4,706.4,1648.58888888889,4044.06666666667,4415533.97777778,2009.46666666667,-114.4,105.311111111111,60845.3777777778,-6.44444444444434,125.355555555555,141.7,946.3,1939559.11111111,48.6111111111111,134.522222222222,59.2,30,61349.7222222222,3.7,0,0
"47",120.2,285.2,1548.18888888889,5400.46666666667,4363827.87777778,3139.86666666667,-88.9000000000001,205.711111111111,60845.3777777778,574.955555555555,-325.844444444445,342,946.3,1869690.31111111,6.91111111111111,-90.7777777777778,-41.3999999999999,0,58609.8222222222,37,0,0
"48",122,445.8,1166.78888888889,9469.76666666667,4350209.27777778,-1381.53333333333,-615.9,-195.688888888889,63558.1777777778,-6.64444444444462,225.655555555556,166.5,1267.1,1787699.91111111,33.6111111111111,-24.0777777777778,-241.6,90,53184.2222222222,104,0,0
"49",123.7,85,1548.18888888889,4044.06666666667,4453594.87777778,1331.26666666667,86.3,165.711111111111,66270.9777777778,-227.444444444444,-200.844444444444,76.4,986.3,1677261.51111111,36.1111111111111,89.2222222222222,-121.4,90,55897.0222222222,-23,0,0
"50",125.5,-136,1327.58888888889,4044.06666666667,4230574.17777778,-1381.53333333333,86.0999999999999,205.711111111111,63558.1777777778,13.5555555555557,24.8555555555554,35.9999999999999,1146.7,1612211.91111111,148.611111111111,69.4222222222222,-41,0,55897.0222222222,-29.7,0,0
"51",127.3,-55.7999999999997,1166.98888888889,8791.46666666667,4271293.97777778,2009.46666666667,-114.4,-15.0888888888887,60845.3777777778,53.7555555555555,827.355555555555,-64,1046.7,1569043.91111111,98.6111111111111,-24.0777777777778,-382,60,55897.0222222222,37,25,0
"52",129,145,1407.78888888889,6756.86666666667,4434604.67777778,-1381.53333333333,-174.5,-75.2888888888888,60872.4777777778,-347.844444444444,50.1555555555556,116.5,1267.2,1614010.31111111,-26.3888888888889,209.522222222222,-281.8,-10,53184.2222222222,-38,0,0
"53",130.8,225.4,1367.78888888889,5400.46666666667,4235972.97777778,-1381.53333333333,-254.7,306.111111111111,60845.3777777778,314.155555555556,-75.3444444444444,116.5,1046.3,1501517.51111111,-1.38888888888889,-57.4777777777778,139.4,-40,61322.6222222222,-63,0,0
"54",132.6,104.8,1568.18888888889,1331.26666666667,4287625.07777778,-1381.53333333333,-389.9,105.511111111111,60872.4777777778,73.5555555555557,125.655555555556,76.2,865.9,1433683.91111111,61.1111111111111,-24.0777777777778,-121.2,17.5,61349.7222222222,-29.7,0,0
"55",134.3,-15.5999999999999,1187.18888888889,5400.46666666667,4094499.67777778,-1381.53333333333,-515.3,787.111111111111,58132.5777777778,-287.444444444444,-501.644444444445,136.4,845.9,1383744.71111111,23.6111111111111,-15.7777777777778,59,30,61349.7222222222,-63,0,0
"56",136.1,4.40000000000009,1247.38888888889,5400.46666666667,4189773.37777778,-1381.53333333333,61.3,346.111111111111,63585.2777777778,-67.0444444444447,601.655555555556,-84.3,825.9,1357895.11111111,36.1111111111111,109.222222222222,-101.2,30,58609.8222222222,-63,0,0
"57",137.9,-216.2,946.788888888889,5400.46666666667,4034628.27777778,3139.86666666667,-14.2,-55.0888888888887,63558.1777777778,153.755555555555,175.355555555555,216.8,886.3,1386759.11111111,61.1111111111111,-24.0777777777778,-61.1999999999998,110,55897.0222222222,-63,0,0
"58",139.6,165.2,1407.78888888889,4044.06666666667,4168016.67777778,2009.46666666667,-54.3,65.3111111111111,63558.1777777778,-267.444444444444,100.355555555555,36.4,865.9,1435431.11111111,-1.38888888888889,-90.7777777777778,-0.799999999999955,-80,55924.1222222222,-13,0,0
"59",141.4,330.4,1267.38888888889,5400.46666666667,4293158.67777778,-1381.53333333333,-490.2,365.911111111111,60872.4777777778,494.755555555555,200.355555555555,-64.2,1227.1,1514893.51111111,61.1111111111111,34.2222222222222,-462.2,-70,55897.0222222222,-43,0,0
"60",143.2,165,1387.78888888889,6756.86666666667,4336645.37777778,3139.86666666667,-89.2,346.111111111111,60845.3777777778,374.355555555555,-250.844444444444,-24,785.9,1542067.91111111,86.1111111111111,-40.7777777777778,-141.4,67.5,50471.3222222222,87.3,0,0
"61",144.9,124.6,1688.58888888889,5400.46666666667,4007391.57777778,-1381.53333333333,11.0999999999999,305.711111111111,60845.3777777778,655.155555555556,-300.844444444444,191.7,1327.3,1417319.11111111,-26.3888888888889,-30.7777777777778,219.6,60,50471.3222222222,-63,0,0
