"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",37.1,NA,6.03081872381226e-06,0.000100140990902373,1,NA,NA,1.70070671120479e-06,3.09797822616692e-05,NA,NA,NA,1.57564180557758e-07,0.00729743501173636,NA,NA,NA,NA,1.08783876336001e-05,NA,0,0
"2",38.9,NA,6.64186212439051e-06,8.23519713987616e-05,1,NA,NA,1.53478464732086e-06,3.37938408983804e-05,NA,NA,NA,1.71786833304996e-07,0.00667464952774864,4.67331335222584e-08,NA,NA,NA,1.09380284195342e-05,NA,0,0
"3",40.7,NA,5.84199903388482e-06,0.000108868246543602,1,NA,NA,NA,3.76819265994373e-05,NA,NA,NA,2.05349801821782e-07,0.00784449460274305,NA,NA,NA,1.29752033546804e-07,1.13114162890879e-05,NA,0,0
"4",42.4,NA,4.9387246913117e-06,0.000106756069645381,1,NA,NA,1.71968726770464e-06,4.23774656162774e-05,NA,NA,NA,1.25340045846558e-07,0.00582899984414817,3.11594065276547e-08,NA,NA,NA,1.23970919339896e-05,NA,0,0
"5",44.2,NA,5.47350544579987e-06,8.6086187780508e-05,1,NA,NA,2.70080056437275e-06,4.73101006372151e-05,NA,NA,NA,1.93680638768795e-07,0.00559782452359447,NA,NA,NA,NA,1.30038962453547e-05,NA,0,0
"6",46,NA,5.49299232432003e-06,0.000103992954054527,1,NA,NA,1.35956212077532e-06,4.76497814425209e-05,NA,NA,NA,2.18950985400707e-07,0.0055189107041018,NA,NA,NA,NA,1.43989060373527e-05,NA,0,0
"7",47.7,NA,3.96497891170999e-06,8.91029707377763e-05,1,4.68018363039354e-05,NA,NA,5.08689889963361e-05,NA,NA,NA,1.64260848248847e-07,0.00557844811061139,NA,NA,NA,NA,1.42841511892681e-05,NA,0,0
"8",49.5,NA,5.05237753899408e-06,0.000107313303410218,1,NA,NA,4.31468959401815e-06,5.19799648997184e-05,NA,NA,NA,1.88461470632998e-07,0.00543614406617169,2.67007631003689e-08,NA,NA,NA,1.56629227859477e-05,NA,0,0
"9",51.3,NA,5.30728351601518e-06,0.000107101932368101,1,NA,NA,2.00440367226895e-06,5.37557335692696e-05,NA,NA,NA,2.8958156644065e-07,0.00552510034215571,2.66481715954716e-08,NA,NA,NA,1.56320721066129e-05,NA,0,0
"10",53,NA,7.53096869505006e-06,0.000138432609143621,1,NA,NA,2.5084264357359e-06,5.93250846523877e-05,NA,NA,NA,1.71077261538735e-07,0.00555013276401515,NA,NA,NA,NA,1.66764008980226e-05,NA,0,0
"11",54.8,NA,5.70749481818171e-06,0.000104788674279375,1,NA,NA,4.66822508554469e-06,5.71749815924676e-05,NA,NA,2.60162389436163e-06,3.52978952304853e-07,0.00540659873380086,NA,NA,NA,NA,1.84124570230213e-05,NA,0,0
"12",56.6,NA,7.36857124573969e-06,0.000100447085160226,1,NA,NA,2.83921296892576e-06,5.5691219049119e-05,NA,NA,NA,3.11701226195565e-07,0.00539587440502801,2.06667678100412e-08,NA,NA,NA,1.7649594780344e-05,NA,0,0
"13",58.3,NA,8.46708923354223e-06,0.000101747382798982,1,NA,NA,NA,5.46190260323275e-05,NA,NA,NA,3.76684624100772e-07,0.00551784745829862,2.53158991277449e-08,NA,NA,NA,1.93880884239318e-05,NA,0,0
"14",60.1,NA,8.96888350743757e-06,0.000119173968886025,1,NA,NA,3.02415652230359e-06,5.32469209443962e-05,NA,NA,NA,3.5309739568382e-07,0.0055528385918043,2.94249045076224e-08,NA,NA,1.20514749228566e-07,2.29504503466899e-05,NA,0,0
"15",61.9,NA,1.08377601088642e-05,0.00011881092533883,1,NA,NA,1.96799573363631e-06,5.21902961158267e-05,NA,NA,NA,2.98550648956988e-07,0.00546132439884814,NA,NA,1.71243394169886e-06,NA,2.43795854579031e-05,NA,0,0
"16",63.6,1.65527999465629e-06,9.28293104528855e-06,8.23023341066202e-05,1,5.26608650518207e-05,NA,NA,4.9629115802108e-05,NA,NA,NA,1.18213516597288e-07,0.00542044191878282,NA,NA,NA,NA,2.51635765104365e-05,NA,0,0
"17",65.4,NA,6.52402412927177e-06,0.000101434568408134,1,NA,NA,NA,4.73624877949987e-05,NA,NA,NA,3.95780207623794e-07,0.00547150206275701,2.52380673708332e-08,NA,NA,NA,2.76229869469896e-05,NA,0,0
"18",67.2,NA,5.42089069176021e-06,0.000101061225135323,1,NA,NA,NA,4.63064573344707e-05,NA,NA,NA,1.99303307798213e-07,0.00563054676328169,2.45184802044527e-08,NA,NA,NA,3.05359412495542e-05,NA,0,0
"19",68.9,NA,6.2532958986539e-06,0.000102442287289124,1,NA,NA,1.47190247615819e-06,4.60365788270668e-05,NA,NA,NA,2.7705080227326e-07,0.00563825965443598,NA,NA,NA,NA,3.24735359852858e-05,NA,0,0
"20",70.7,NA,5.95984709932002e-06,7.98640382911727e-05,1,NA,NA,NA,4.04658477962661e-05,NA,NA,NA,3.35597885992e-07,0.00558940395527184,4.95263473594472e-08,NA,NA,NA,3.24029545780243e-05,NA,0,0
"21",72.5,NA,6.81929583197213e-06,8.15064293046284e-05,1,NA,NA,4.00682396597056e-06,3.43163137890698e-05,NA,NA,NA,2.89348384021889e-07,0.00540580733858149,2.47955861410248e-08,NA,NA,NA,3.30693160912543e-05,NA,0,0
"22",74.2,NA,6.49813202541049e-06,7.95819582609492e-05,1,4.18008709747372e-05,NA,NA,3.01018716627728e-05,NA,NA,NA,3.1491925907024e-07,0.00552993382359628,2.42101306383539e-08,NA,NA,NA,3.30177643093961e-05,NA,0,0
"23",76,NA,4.77635973704995e-06,6.33948942142904e-05,1,NA,NA,NA,2.73510972328603e-05,NA,NA,NA,2.76293325882612e-07,0.00567805209454122,2.48105453993817e-08,NA,NA,NA,3.38366096664754e-05,NA,0,0
"24",77.8,NA,6.2465917897315e-06,4.34969501427687e-05,1,NA,NA,NA,2.46279100078686e-05,NA,NA,NA,2.91193162906745e-07,0.00547770461039255,NA,NA,NA,NA,3.32491008665091e-05,NA,0,0
"25",79.5,NA,6.91940829441203e-06,4.32705323501322e-05,1,NA,NA,1.70259928017996e-06,2.28352746183848e-05,NA,NA,NA,4.48377380749477e-07,0.00571435336287853,2.78416319842971e-08,NA,NA,NA,4.01824987997925e-05,NA,0,0
"26",81.3,NA,8.88811430923932e-06,4.1492647659874e-05,1,NA,NA,NA,2.10990016848424e-05,NA,NA,NA,3.8735894304115e-07,0.00592017902289695,NA,NA,NA,NA,4.60179286918637e-05,NA,0,0
"27",83.1,NA,1.23294798481666e-05,5.36011427955922e-05,1,NA,NA,NA,2.09403575629232e-05,NA,NA,NA,5.11466495999242e-07,0.00586604383873183,2.25961278493056e-08,NA,NA,NA,4.56825132738318e-05,NA,0,0
"28",84.8,NA,1.42650632231053e-05,5.56245955617131e-05,1,NA,NA,NA,2.09086242509722e-05,NA,NA,NA,4.68130990197186e-07,0.00631720471574228,1.93906314718375e-08,NA,NA,NA,5.44212720076476e-05,NA,0,0
