"","Time","Li7","B11","Mg25","Ca43","Ti49","V51","Cr53","Mn55","Ni60","Cu65","Zn66","Rb85","Sr86","Y89","Mo97","Cd111","Sn118","Ba138","Pb208","Th232","U238"
"1",37.1323,NA,5.54206848073542e-06,0.000126274457715393,1,NA,NA,NA,2.83676126852647e-05,NA,NA,NA,2.1438825900695e-07,0.00746467440197179,3.1689181773097e-08,NA,NA,NA,1.23451960375168e-05,NA,0,0
"2",38.9323,NA,6.01986300138247e-06,9.05937144587722e-05,1,NA,NA,NA,3.13582602287645e-05,NA,NA,NA,1.79912710597158e-07,0.00740611316785877,2.8090088272957e-08,NA,NA,NA,1.19794301299032e-05,NA,0,0
"3",40.6323,NA,6.31565273899725e-06,0.000129547009834355,1,NA,NA,NA,3.29559227278488e-05,NA,NA,NA,2.49168526971774e-07,0.00659224523418737,NA,NA,NA,NA,1.10306582764394e-05,NA,0,0
"4",42.4323,NA,6.01053689481358e-06,8.9097492704054e-05,1,NA,NA,NA,3.75218771850062e-05,NA,NA,NA,1.60681652037605e-07,0.00597058115615277,3.2317394514557e-08,NA,NA,NA,1.09651572386618e-05,NA,0,1.37088818454845e-08
"5",44.2323,NA,6.33924516915041e-06,0.000108791956373439,1,NA,NA,NA,4.22127885193209e-05,NA,NA,NA,7.74123847808655e-08,0.00561602145248947,NA,NA,NA,NA,1.12534474985927e-05,NA,0,0
"6",45.9323,NA,4.61172203100724e-06,8.47827500915177e-05,1,NA,NA,NA,4.38715470813929e-05,NA,NA,NA,1.32201846123363e-07,0.00749451020222009,NA,NA,NA,NA,1.27571496140697e-05,NA,0,0
"7",47.7323,NA,4.8405257998713e-06,8.73649807402448e-05,1,NA,NA,NA,4.89448255697456e-05,NA,NA,NA,1.07884327460332e-07,0.00560302285243476,NA,NA,NA,NA,1.23451169296367e-05,NA,0,0
"8",49.5323,NA,3.47353896000118e-06,8.8280626091219e-05,1,NA,NA,NA,5.13412565341698e-05,NA,NA,NA,2.31025939872551e-07,0.00526388398336785,NA,NA,NA,NA,1.48933466107262e-05,NA,0,0
"9",51.2323,NA,5.23081922195187e-06,0.000121093953506475,1,NA,NA,NA,5.14146640738063e-05,NA,NA,NA,2.17620560692685e-07,0.00533682800925411,NA,NA,NA,NA,1.48944071448121e-05,NA,0,0
"10",53.0323,NA,5.54773970012441e-06,0.000105251515478337,1,NA,NA,NA,5.28178141569972e-05,NA,NA,NA,1.62296509050803e-07,0.00562248309892152,NA,NA,NA,NA,1.53113763206681e-05,NA,0,0
