"","name","Rank in analysis","blank beginning","blank end","plateau beginning","plateau end","Blank average Li7","Blank average B11","Blank average Mg25","Blank average Ca43","Blank average Ti49","Blank average V51","Blank average Cr53","Blank average Mn55","Blank average Ni60","Blank average Cu65","Blank average Zn66","Blank average Rb85","Blank average Sr86","Blank average Y89","Blank average Mo97","Blank average Cd111","Blank average Sn118","Blank average Ba138","Blank average Pb208","Blank average Th232","Blank average U238","LOD Li7","LOD B11","LOD Mg25","LOD Ca43","LOD Ti49","LOD V51","LOD Cr53","LOD Mn55","LOD Ni60","LOD Cu65","LOD Zn66","LOD Rb85","LOD Sr86","LOD Y89","LOD Mo97","LOD Cd111","LOD Sn118","LOD Ba138","LOD Pb208","LOD Th232","LOD U238"
"Stand1.csv","Stand1.csv","1","1.8","23","28.3","88.4","5661.49230769231","1243.28461538462","1634.80769230769","2792.79230769231","2775.76153846154","6746.10769230769","5854.33846153846","5210.95384615385","6408.23076923077","6467.21538461538","1499.76923076923","6883.03846153846","57833.7692307692","5591.2","680.638461538462","2213.4","4462.29230769231","2043.50769230769","12012.6538461538","10293.6307692308","13813.8615384615","1426.94956355264","5074.38818358355","5786.90322944173","6367.52495573618","7000.37014936188","16086.1698249435","1539.87358022564","9052.01595442865","13761.980136985","14983.987143871","8528.17043484529","69996.0458708424","20686.2493253555","60093.3929331669","6222.1428051819","8847.3650077297","46054.6989152239","7281.11641178213","128898.24274599","110473.444084317","148374.936252735"
"Stand2.ods","Stand2.ods","5","1.8","23","28.3","88.4","5843.6","1738.52307692308","6474.45384615385","15906.5769230769","1699.22307692308","5649.18461538462","5667.34615384615","153854.207692308","5854.33846153846","7253.69230769231","1305.43846153846","2507.7","55752.5384615385","2700.87692307692","646.969230769231","1886.29230769231","2465.16153846154","14805.7384615385","7643.99230769231","5200.20769230769","7917.88461538462","962.035997247505","11434.0696811025","6422.84672471878","43932.3767189109","6771.54226689221","9915.19015993603","3354.33976502542","31154.6380574694","6605.60628883352","29833.5013453319","6068.222040522","21477.6639305815","10574.3977059252","29021.3010938053","5945.42477336727","5125.07441672051","24819.9993539097","128957.004419838","81892.071153146","54838.9046302616","85044.4294706461"
"Stand3.xls","Stand3.xls","9","1.8","19.4","33.6","88.4","3622.39090909091","365.527272727273","5248.38181818182","7748.59090909091","1219.10909090909","2035.63636363636","3536.7","111574.609090909","3296.05454545455","2825.59090909091","604.454545454545","189.763636363636","41218.6","25","109.445454545455","1454.49090909091","155.909090909091","557.9","44.0909090909091","3.02727272727273","0","1323.07638183962","269.52598694071","5518.15919439873","5197.03855865837","5266.54436914585","1229.26924101642","1353.82278086905","4945.39452199537","1154.93093063848","910.734784765476","338.486647514277","338.131815878203","3454.04356081391","50.3115294937453","181.252361489318","637.692711407162","174.454344118506","3751.73816916906","108.751175542236","30.1209833233186","0"
"Sample1_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample1_Rep2.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample1_Rep3.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep2.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample2_Rep3.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sample3_Rep1.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
